turn_index,x_calls,model,model_display,calls,cost,latency_seconds,input_tokens,output_tokens,reasoning_tokens,total_tokens,cumulative_calls,cumulative_cost,cumulative_input_tokens,cumulative_output_tokens,cumulative_reasoning_tokens,cumulative_total_tokens,cumulative_latency_seconds
12,54,x-ai/grok-4.3,grok-4.3,0,0.0,0.0,0,0,0,0,9,0.05979165,33223,7789,6360,41012,106.285
13,56,openai/gpt-5.4-mini,gpt-5.4-mini,0,0.0,0.0,0,0,0,0,15,0.0750348,50616,8968,7097,59584,108.334
13,56,anthropic/claude-haiku-4.5,claude-haiku-4.5,0,0.0,0.0,0,0,0,0,11,0.128708,50398,15662,8430,66060,180.057
13,56,google/gemini-3-flash-preview,gemini-3-flash-preview,2,0.017751,23.94,11100,4067,3546,15167,21,0.139738,97088,31007,24611,128095,192.293
13,56,x-ai/grok-4.3,grok-4.3,0,0.0,0.0,0,0,0,0,9,0.05979165,33223,7789,6360,41012,106.285
14,64,openai/gpt-5.4-mini,gpt-5.4-mini,1,0.0068445,8.529,4794,722,516,5516,16,0.0818793,55410,9690,7613,65100,116.863
14,64,anthropic/claude-haiku-4.5,claude-haiku-4.5,1,0.011396,11.767,6626,954,536,7580,12,0.140104,57024,16616,8966,73640,191.824
14,64,google/gemini-3-flash-preview,gemini-3-flash-preview,1,0.0063455,7.1,5701,1165,850,6866,22,0.1460835,102789,32172,25461,134961,199.393
14,64,x-ai/grok-4.3,grok-4.3,5,0.04298175,75.451,25769,4577,3531,30346,14,0.1027734,58992,12366,9891,71358,181.736
15,71,openai/gpt-5.4-mini,gpt-5.4-mini,5,0.03959475,42.168,24413,4730,3968,29143,21,0.12147405,79823,14420,11581,94243,159.031
15,71,anthropic/claude-haiku-4.5,claude-haiku-4.5,0,0.0,0.0,0,0,0,0,12,0.140104,57024,16616,8966,73640,191.824
15,71,google/gemini-3-flash-preview,gemini-3-flash-preview,0,0.0,0.0,0,0,0,0,22,0.1460835,102789,32172,25461,134961,199.393
15,71,x-ai/grok-4.3,grok-4.3,2,0.01673425,21.518,10949,1488,1107,12437,16,0.11950765,69941,13854,10998,83795,203.254
16,72,openai/gpt-5.4-mini,gpt-5.4-mini,0,0.0,0.0,0,0,0,0,21,0.12147405,79823,14420,11581,94243,159.031
16,72,anthropic/claude-haiku-4.5,claude-haiku-4.5,1,0.018975,29.885,6770,2441,1211,9211,13,0.159079,63794,19057,10177,82851,221.709
16,72,google/gemini-3-flash-preview,gemini-3-flash-preview,0,0.0,0.0,0,0,0,0,22,0.1460835,102789,32172,25461,134961,199.393
16,72,x-ai/grok-4.3,grok-4.3,0,0.0,0.0,0,0,0,0,16,0.11950765,69941,13854,10998,83795,203.254
17,86,openai/gpt-5.4-mini,gpt-5.4-mini,3,0.03240075,53.857,13429,4962,4542,18391,24,0.1538748,93252,19382,16123,112634,212.888
17,86,anthropic/claude-haiku-4.5,claude-haiku-4.5,4,0.054992,65.563,25222,5954,3343,31176,17,0.214071,89016,25011,13520,114027,287.272
17,86,google/gemini-3-flash-preview,gemini-3-flash-preview,4,0.0251295,31.666,21927,4722,3611,26649,26,0.171213,124716,36894,29072,161610,231.059
17,86,x-ai/grok-4.3,grok-4.3,3,0.02227165,39.51,14517,2134,1622,16651,19,0.1417793,84458,15988,12620,100446,242.764
18,103,openai/gpt-5.4-mini,gpt-5.4-mini,4,0.03840375,56.469,18187,5503,4854,23690,28,0.19227855,111439,24885,20977,136324,269.357
18,103,anthropic/claude-haiku-4.5,claude-haiku-4.5,1,0.012746,14.156,6531,1243,759,7774,18,0.226817,95547,26254,14279,121801,301.428
18,103,google/gemini-3-flash-preview,gemini-3-flash-preview,9,0.0736875,95.43,51519,15976,13034,67495,35,0.2449005,176235,52870,42106,229105,326.489
18,103,x-ai/grok-4.3,grok-4.3,3,0.0214029,29.143,14734,1678,1211,16412,22,0.1631822,99192,17666,13831,116858,271.907
19,114,openai/gpt-5.4-mini,gpt-5.4-mini,3,0.049209,82.329,13850,8627,8139,22477,31,0.24148755,125289,33512,29116,158801,351.686
19,114,anthropic/claude-haiku-4.5,claude-haiku-4.5,1,0.013658,16.115,6418,1448,890,7866,19,0.240475,101965,27702,15169,129667,317.543
19,114,google/gemini-3-flash-preview,gemini-3-flash-preview,1,0.0056545,5.956,5891,903,665,6794,36,0.250555,182126,53773,42771,235899,332.445
19,114,x-ai/grok-4.3,grok-4.3,6,0.0456917,49.61,30012,4319,3201,34331,28,0.2088739,129204,21985,17032,151189,321.517
20,114,openai/gpt-5.4-mini,gpt-5.4-mini,0,0.0,0.0,0,0,0,0,31,0.24148755,125289,33512,29116,158801,351.686
20,114,anthropic/claude-haiku-4.5,claude-haiku-4.5,0,0.0,0.0,0,0,0,0,19,0.240475,101965,27702,15169,129667,317.543
20,114,google/gemini-3-flash-preview,gemini-3-flash-preview,0,0.0,0.0,0,0,0,0,36,0.250555,182126,53773,42771,235899,332.445
20,114,x-ai/grok-4.3,grok-4.3,0,0.0,0.0,0,0,0,0,28,0.2088739,129204,21985,17032,151189,321.517
