seq,turn_index,event_id,event_type,actor_player_id,payload
2010,108,mock-44910-42ec35c5-evt-002010,PROPERTY_PURCHASED,OpenAI GPT 5.4 Mini,"{""player_id"": ""OpenAI GPT 5.4 Mini"", ""space_index"": 3, ""price"": 60}"
2017,108,mock-44910-42ec35c5-evt-002017,PROPERTY_UNMORTGAGED,OpenAI GPT 5.4 Mini,"{""player_id"": ""OpenAI GPT 5.4 Mini"", ""space_index"": 1, ""amount"": 33}"
2037,108,mock-44910-42ec35c5-evt-002037,PROPERTY_MORTGAGED,OpenAI GPT 5.4 Mini,"{""player_id"": ""OpenAI GPT 5.4 Mini"", ""space_index"": 31, ""amount"": 150}"
2067,109,mock-44910-42ec35c5-evt-002067,PROPERTY_PURCHASED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 1, ""price"": 0}"
2068,109,mock-44910-42ec35c5-evt-002068,PROPERTY_PURCHASED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 3, ""price"": 0}"
2069,109,mock-44910-42ec35c5-evt-002069,PROPERTY_PURCHASED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 29, ""price"": 0}"
2070,109,mock-44910-42ec35c5-evt-002070,PROPERTY_PURCHASED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 31, ""price"": 0}"
2071,109,mock-44910-42ec35c5-evt-002071,PROPERTY_PURCHASED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 32, ""price"": 0}"
2187,119,mock-44910-42ec35c5-evt-002187,PROPERTY_TRANSFERRED,,"{""from_player_id"": ""Grok 4.3"", ""to_player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 5, ""mortgaged"": true}"
2188,119,mock-44910-42ec35c5-evt-002188,PROPERTY_TRANSFERRED,,"{""from_player_id"": ""Grok 4.3"", ""to_player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 15, ""mortgaged"": true}"
2243,121,mock-44910-42ec35c5-evt-002243,PROPERTY_PURCHASED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 28, ""price"": 10}"
2279,124,mock-44910-42ec35c5-evt-002279,PROPERTY_PURCHASED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 34, ""price"": 320}"
2296,124,mock-44910-42ec35c5-evt-002296,PROPERTY_MORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 28, ""amount"": 75}"
2302,124,mock-44910-42ec35c5-evt-002302,PROPERTY_MORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 1, ""amount"": 30}"
2308,124,mock-44910-42ec35c5-evt-002308,PROPERTY_MORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 3, ""amount"": 30}"
2314,124,mock-44910-42ec35c5-evt-002314,PROPERTY_MORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 8, ""amount"": 50}"
2320,124,mock-44910-42ec35c5-evt-002320,PROPERTY_MORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 9, ""amount"": 60}"
2326,124,mock-44910-42ec35c5-evt-002326,PROPERTY_MORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 34, ""amount"": 160}"
2533,142,mock-44910-42ec35c5-evt-002533,PROPERTY_MORTGAGED,Claude Haiku 4.5,"{""player_id"": ""Claude Haiku 4.5"", ""space_index"": 25, ""amount"": 100}"
2539,142,mock-44910-42ec35c5-evt-002539,PROPERTY_MORTGAGED,Claude Haiku 4.5,"{""player_id"": ""Claude Haiku 4.5"", ""space_index"": 35, ""amount"": 100}"
2570,143,mock-44910-42ec35c5-evt-002570,PROPERTY_TRANSFERRED,,"{""from_player_id"": ""Gemini 3 Flash Preview"", ""to_player_id"": ""Claude Haiku 4.5"", ""space_index"": 8, ""mortgaged"": true}"
2571,143,mock-44910-42ec35c5-evt-002571,PROPERTY_TRANSFERRED,,"{""from_player_id"": ""Gemini 3 Flash Preview"", ""to_player_id"": ""Claude Haiku 4.5"", ""space_index"": 9, ""mortgaged"": true}"
2572,143,mock-44910-42ec35c5-evt-002572,PROPERTY_TRANSFERRED,,"{""from_player_id"": ""Claude Haiku 4.5"", ""to_player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 25, ""mortgaged"": true}"
2573,143,mock-44910-42ec35c5-evt-002573,PROPERTY_TRANSFERRED,,"{""from_player_id"": ""Claude Haiku 4.5"", ""to_player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 35, ""mortgaged"": true}"
2581,143,mock-44910-42ec35c5-evt-002581,PROPERTY_UNMORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 5, ""amount"": 111}"
2587,143,mock-44910-42ec35c5-evt-002587,PROPERTY_UNMORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 15, ""amount"": 111}"
2593,143,mock-44910-42ec35c5-evt-002593,PROPERTY_UNMORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 25, ""amount"": 111}"
2599,143,mock-44910-42ec35c5-evt-002599,PROPERTY_UNMORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 35, ""amount"": 111}"
2740,158,mock-44910-42ec35c5-evt-002740,PROPERTY_MORTGAGED,Claude Haiku 4.5,"{""player_id"": ""Claude Haiku 4.5"", ""space_index"": 6, ""amount"": 50}"
2819,164,mock-44910-42ec35c5-evt-002819,PROPERTY_UNMORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 12, ""amount"": 83}"
2825,164,mock-44910-42ec35c5-evt-002825,PROPERTY_UNMORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 28, ""amount"": 83}"
2847,166,mock-44910-42ec35c5-evt-002847,PROPERTY_MORTGAGED,Claude Haiku 4.5,"{""player_id"": ""Claude Haiku 4.5"", ""space_index"": 19, ""amount"": 100}"
2851,166,mock-44910-42ec35c5-evt-002851,PROPERTY_PURCHASED,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 6, ""price"": 0}"
2852,166,mock-44910-42ec35c5-evt-002852,PROPERTY_PURCHASED,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 8, ""price"": 0}"
2853,166,mock-44910-42ec35c5-evt-002853,PROPERTY_PURCHASED,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 9, ""price"": 0}"
2854,166,mock-44910-42ec35c5-evt-002854,PROPERTY_PURCHASED,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 19, ""price"": 0}"
2873,167,mock-44910-42ec35c5-evt-002873,PROPERTY_TRANSFERRED,,"{""from_player_id"": ""Gemini 3 Flash Preview"", ""to_player_id"": ""Grok 4.3"", ""space_index"": 29, ""mortgaged"": true}"
2874,167,mock-44910-42ec35c5-evt-002874,PROPERTY_TRANSFERRED,,"{""from_player_id"": ""Gemini 3 Flash Preview"", ""to_player_id"": ""Grok 4.3"", ""space_index"": 37, ""mortgaged"": true}"
2875,167,mock-44910-42ec35c5-evt-002875,PROPERTY_TRANSFERRED,,"{""from_player_id"": ""Grok 4.3"", ""to_player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 19, ""mortgaged"": true}"
2883,167,mock-44910-42ec35c5-evt-002883,PROPERTY_MORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 28, ""amount"": 75}"
2889,167,mock-44910-42ec35c5-evt-002889,PROPERTY_UNMORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 19, ""amount"": 111}"
2895,167,mock-44910-42ec35c5-evt-002895,PROPERTY_MORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 5, ""amount"": 100}"
2901,167,mock-44910-42ec35c5-evt-002901,PROPERTY_MORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 25, ""amount"": 100}"
2907,167,mock-44910-42ec35c5-evt-002907,PROPERTY_MORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 15, ""amount"": 100}"
2913,167,mock-44910-42ec35c5-evt-002913,PROPERTY_MORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 35, ""amount"": 100}"
2937,168,mock-44910-42ec35c5-evt-002937,PROPERTY_UNMORTGAGED,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 39, ""amount"": 221}"
2943,168,mock-44910-42ec35c5-evt-002943,PROPERTY_UNMORTGAGED,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 37, ""amount"": 193}"
2976,171,mock-44910-42ec35c5-evt-002976,PROPERTY_MORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 12, ""amount"": 75}"
3114,183,mock-44910-42ec35c5-evt-003114,PROPERTY_UNMORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 5, ""amount"": 111}"
3120,183,mock-44910-42ec35c5-evt-003120,PROPERTY_UNMORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 15, ""amount"": 111}"
3126,183,mock-44910-42ec35c5-evt-003126,PROPERTY_UNMORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 25, ""amount"": 111}"
3132,183,mock-44910-42ec35c5-evt-003132,PROPERTY_UNMORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 35, ""amount"": 111}"
3138,183,mock-44910-42ec35c5-evt-003138,PROPERTY_UNMORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 1, ""amount"": 33}"
3144,183,mock-44910-42ec35c5-evt-003144,PROPERTY_UNMORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 3, ""amount"": 33}"
3150,183,mock-44910-42ec35c5-evt-003150,PROPERTY_UNMORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 12, ""amount"": 83}"
3156,183,mock-44910-42ec35c5-evt-003156,PROPERTY_UNMORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 28, ""amount"": 83}"
3292,197,mock-44910-42ec35c5-evt-003292,PROPERTY_UNMORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 26, ""amount"": 143}"
3325,200,mock-44910-42ec35c5-evt-003325,PROPERTY_UNMORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 31, ""amount"": 165}"
3331,200,mock-44910-42ec35c5-evt-003331,PROPERTY_UNMORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 32, ""amount"": 165}"
3337,200,mock-44910-42ec35c5-evt-003337,PROPERTY_UNMORTGAGED,Gemini 3 Flash Preview,"{""player_id"": ""Gemini 3 Flash Preview"", ""space_index"": 34, ""amount"": 176}"
3885,256,mock-44910-42ec35c5-evt-003885,PROPERTY_MORTGAGED,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 39, ""amount"": 200}"
3930,260,mock-44910-42ec35c5-evt-003930,PROPERTY_MORTGAGED,Grok 4.3,"{""player_id"": ""Grok 4.3"", ""space_index"": 37, ""amount"": 175}"
