turn_index,calls,cost,input_tokens,output_tokens,reasoning_tokens,total_tokens,latency_ms
93,1,0.051835,8137,446,96,8583,7871
94,1,0.016388,4600,599,527,5199,6702
95,1,0.00496,3866,481,409,4347,7312
96,10,0.613069,43579,15267,13402,58846,301244
97,1,0.05435,8935,387,85,9322,6567
98,2,0.031306,9251,1067,900,10318,13055
99,1,0.005909,4235,488,397,4723,9212
100,1,0.005501,4241,510,432,4751,9686
101,1,0.07628,3916,1890,1800,5806,39652
102,2,0.11948,17181,1343,248,18524,20818
103,1,0.014266,4859,379,303,5238,4452
104,1,0.005367,4256,449,385,4705,8184
105,1,0.11726,3862,3265,3180,7127,65382
106,12,0.877433,50761,24704,22628,75465,480521
107,1,0.05003,4120,981,901,5101,21230
108,1,0.05503,8891,423,103,9314,7244
109,1,0.018626,5041,712,605,5753,7593
110,1,0.005823,4388,377,313,4765,6036
111,17,1.249436,74165,33167,30454,107332,659673
112,1,0.055325,9135,386,94,9521,6160
113,1,0.05882,9169,519,138,9688,8668
114,1,0.014608,5204,350,266,5554,4314
115,2,0.012271,8719,1221,1044,9940,17281
116,1,0.005902,4482,550,477,5032,6852
117,6,0.037261,24478,3391,2806,27869,51426
118,26,1.76035,120295,49349,45723,169644,44973315
119,1,0.063375,9640,607,106,10247,8985
120,1,0.021964,5498,914,816,6412,9794
121,1,0.007047,4807,469,395,5276,7758
122,16,1.023439,71201,28817,26711,100018,547421
123,1,0.053295,8854,361,84,9215,6523
124,1,0.014356,5144,339,279,5483,4351
125,1,0.006955,4385,670,587,5055,12569
126,11,0.605942,46631,15333,13816,61964,318963
128,7,0.096842,28567,3309,2743,31876,35974
129,2,0.012301,7999,1082,887,9081,19622
130,11,0.609714,45824,15000,13616,60824,374257
131,1,0.04948,7011,577,88,7588,9604
132,1,0.012202,4379,287,242,4666,4275
133,1,0.006258,4222,634,537,4856,9631
134,1,0.005167,3835,230,172,4065,4377
136,1,0.04094,6778,282,85,7060,4990
137,1,0.011672,4234,267,195,4501,4336
138,1,0.028265,3517,356,268,3873,10217
139,6,0.33812,43694,4786,733,48480,74243
140,1,0.017962,4235,791,702,5026,7737
141,1,0.031565,3223,515,430,3738,13112
142,1,0.06306,7222,1078,316,8300,17795
143,1,0.018988,4268,871,779,5139,8810
144,15,0.666831,60425,16074,14187,76499,363021
146,1,0.013108,4838,286,199,5124,4027
147,4,0.2834,19492,6235,5730,25727,153116
148,2,0.09982,15349,923,157,16272,17032
149,1,0.013242,4827,299,204,5126,4146
150,1,0.02363,4207,1268,1135,5475,10828
151,1,0.035045,3373,606,516,3979,15190
152,1,0.057275,7580,775,215,8355,13235
153,1,0.02941,3326,426,337,3752,11750
154,1,0.045035,7572,287,62,7859,5503
155,7,0.31178,30533,5371,4485,35904,132310
156,1,0.047995,7844,351,60,8195,6701
157,1,0.036215,3571,612,516,4183,17718
158,1,0.047605,7926,319,58,8245,5798
159,1,0.05137,7929,469,95,8398,8118
161,3,0.14298,14150,2450,2009,16600,60516
162,1,0.030565,3701,402,325,4103,11341
163,1,0.029295,3699,360,280,4059,10417
164,2,0.08417,13154,736,145,13890,13522
165,1,0.028935,3471,386,299,3857,8879
