evidence_id,artifact_type,provenance,source_path,run_relative_source_path,locator_type,locator,source_locator,source_object_id,source_sequence,source_turn,source_attempt,description,referenced_outputs_json,referenced_sections_json,referenced_outputs_sections,resolution_status
EVD-PROMPT-000000-A0-QUALITY-RESPONSE,prompt_quality_response,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000000_response.txt,quality_check/decision_mock-44910-42ec35c5-dec-000000_response.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000000;attempt_index=0;kind=quality_response,decision_id=mock-44910-42ec35c5-dec-000000;attempt_index=0;kind=quality_response,mock-44910-42ec35c5-dec-000000,,,0,"quality_response artifact for mock-44910-42ec35c5-dec-000000, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000001-A0-QUALITY-REQUEST,prompt_quality_request,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000001_request.txt,quality_check/decision_mock-44910-42ec35c5-dec-000001_request.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000001;attempt_index=0;kind=quality_request,decision_id=mock-44910-42ec35c5-dec-000001;attempt_index=0;kind=quality_request,mock-44910-42ec35c5-dec-000001,,,0,"quality_request artifact for mock-44910-42ec35c5-dec-000001, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000001-A0-QUALITY-RESPONSE,prompt_quality_response,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000001_response.txt,quality_check/decision_mock-44910-42ec35c5-dec-000001_response.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000001;attempt_index=0;kind=quality_response,decision_id=mock-44910-42ec35c5-dec-000001;attempt_index=0;kind=quality_response,mock-44910-42ec35c5-dec-000001,,,0,"quality_response artifact for mock-44910-42ec35c5-dec-000001, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000002-A0-QUALITY-REQUEST,prompt_quality_request,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000002_request.txt,quality_check/decision_mock-44910-42ec35c5-dec-000002_request.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000002;attempt_index=0;kind=quality_request,decision_id=mock-44910-42ec35c5-dec-000002;attempt_index=0;kind=quality_request,mock-44910-42ec35c5-dec-000002,,,0,"quality_request artifact for mock-44910-42ec35c5-dec-000002, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000002-A0-QUALITY-RESPONSE,prompt_quality_response,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000002_response.txt,quality_check/decision_mock-44910-42ec35c5-dec-000002_response.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000002;attempt_index=0;kind=quality_response,decision_id=mock-44910-42ec35c5-dec-000002;attempt_index=0;kind=quality_response,mock-44910-42ec35c5-dec-000002,,,0,"quality_response artifact for mock-44910-42ec35c5-dec-000002, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000003-A0-QUALITY-REQUEST,prompt_quality_request,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000003_request.txt,quality_check/decision_mock-44910-42ec35c5-dec-000003_request.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000003;attempt_index=0;kind=quality_request,decision_id=mock-44910-42ec35c5-dec-000003;attempt_index=0;kind=quality_request,mock-44910-42ec35c5-dec-000003,,,0,"quality_request artifact for mock-44910-42ec35c5-dec-000003, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000003-A0-QUALITY-RESPONSE,prompt_quality_response,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000003_response.txt,quality_check/decision_mock-44910-42ec35c5-dec-000003_response.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000003;attempt_index=0;kind=quality_response,decision_id=mock-44910-42ec35c5-dec-000003;attempt_index=0;kind=quality_response,mock-44910-42ec35c5-dec-000003,,,0,"quality_response artifact for mock-44910-42ec35c5-dec-000003, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000004-A0-QUALITY-REQUEST,prompt_quality_request,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000004_request.txt,quality_check/decision_mock-44910-42ec35c5-dec-000004_request.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000004;attempt_index=0;kind=quality_request,decision_id=mock-44910-42ec35c5-dec-000004;attempt_index=0;kind=quality_request,mock-44910-42ec35c5-dec-000004,,,0,"quality_request artifact for mock-44910-42ec35c5-dec-000004, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000004-A0-QUALITY-RESPONSE,prompt_quality_response,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000004_response.txt,quality_check/decision_mock-44910-42ec35c5-dec-000004_response.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000004;attempt_index=0;kind=quality_response,decision_id=mock-44910-42ec35c5-dec-000004;attempt_index=0;kind=quality_response,mock-44910-42ec35c5-dec-000004,,,0,"quality_response artifact for mock-44910-42ec35c5-dec-000004, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000005-A0-QUALITY-REQUEST,prompt_quality_request,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000005_request.txt,quality_check/decision_mock-44910-42ec35c5-dec-000005_request.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000005;attempt_index=0;kind=quality_request,decision_id=mock-44910-42ec35c5-dec-000005;attempt_index=0;kind=quality_request,mock-44910-42ec35c5-dec-000005,,,0,"quality_request artifact for mock-44910-42ec35c5-dec-000005, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000005-A0-QUALITY-RESPONSE,prompt_quality_response,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000005_response.txt,quality_check/decision_mock-44910-42ec35c5-dec-000005_response.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000005;attempt_index=0;kind=quality_response,decision_id=mock-44910-42ec35c5-dec-000005;attempt_index=0;kind=quality_response,mock-44910-42ec35c5-dec-000005,,,0,"quality_response artifact for mock-44910-42ec35c5-dec-000005, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000006-A0-QUALITY-REQUEST,prompt_quality_request,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000006_request.txt,quality_check/decision_mock-44910-42ec35c5-dec-000006_request.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000006;attempt_index=0;kind=quality_request,decision_id=mock-44910-42ec35c5-dec-000006;attempt_index=0;kind=quality_request,mock-44910-42ec35c5-dec-000006,,,0,"quality_request artifact for mock-44910-42ec35c5-dec-000006, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000006-A0-QUALITY-RESPONSE,prompt_quality_response,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000006_response.txt,quality_check/decision_mock-44910-42ec35c5-dec-000006_response.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000006;attempt_index=0;kind=quality_response,decision_id=mock-44910-42ec35c5-dec-000006;attempt_index=0;kind=quality_response,mock-44910-42ec35c5-dec-000006,,,0,"quality_response artifact for mock-44910-42ec35c5-dec-000006, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000007-A0-QUALITY-REQUEST,prompt_quality_request,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000007_request.txt,quality_check/decision_mock-44910-42ec35c5-dec-000007_request.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000007;attempt_index=0;kind=quality_request,decision_id=mock-44910-42ec35c5-dec-000007;attempt_index=0;kind=quality_request,mock-44910-42ec35c5-dec-000007,,,0,"quality_request artifact for mock-44910-42ec35c5-dec-000007, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000007-A0-QUALITY-RESPONSE,prompt_quality_response,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000007_response.txt,quality_check/decision_mock-44910-42ec35c5-dec-000007_response.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000007;attempt_index=0;kind=quality_response,decision_id=mock-44910-42ec35c5-dec-000007;attempt_index=0;kind=quality_response,mock-44910-42ec35c5-dec-000007,,,0,"quality_response artifact for mock-44910-42ec35c5-dec-000007, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000008-A0-QUALITY-REQUEST,prompt_quality_request,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000008_request.txt,quality_check/decision_mock-44910-42ec35c5-dec-000008_request.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000008;attempt_index=0;kind=quality_request,decision_id=mock-44910-42ec35c5-dec-000008;attempt_index=0;kind=quality_request,mock-44910-42ec35c5-dec-000008,,,0,"quality_request artifact for mock-44910-42ec35c5-dec-000008, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000008-A0-QUALITY-RESPONSE,prompt_quality_response,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000008_response.txt,quality_check/decision_mock-44910-42ec35c5-dec-000008_response.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000008;attempt_index=0;kind=quality_response,decision_id=mock-44910-42ec35c5-dec-000008;attempt_index=0;kind=quality_response,mock-44910-42ec35c5-dec-000008,,,0,"quality_response artifact for mock-44910-42ec35c5-dec-000008, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000009-A0-QUALITY-REQUEST,prompt_quality_request,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000009_request.txt,quality_check/decision_mock-44910-42ec35c5-dec-000009_request.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000009;attempt_index=0;kind=quality_request,decision_id=mock-44910-42ec35c5-dec-000009;attempt_index=0;kind=quality_request,mock-44910-42ec35c5-dec-000009,,,0,"quality_request artifact for mock-44910-42ec35c5-dec-000009, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000009-A0-QUALITY-RESPONSE,prompt_quality_response,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000009_response.txt,quality_check/decision_mock-44910-42ec35c5-dec-000009_response.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000009;attempt_index=0;kind=quality_response,decision_id=mock-44910-42ec35c5-dec-000009;attempt_index=0;kind=quality_response,mock-44910-42ec35c5-dec-000009,,,0,"quality_response artifact for mock-44910-42ec35c5-dec-000009, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000010-A0-QUALITY-REQUEST,prompt_quality_request,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000010_request.txt,quality_check/decision_mock-44910-42ec35c5-dec-000010_request.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000010;attempt_index=0;kind=quality_request,decision_id=mock-44910-42ec35c5-dec-000010;attempt_index=0;kind=quality_request,mock-44910-42ec35c5-dec-000010,,,0,"quality_request artifact for mock-44910-42ec35c5-dec-000010, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000010-A0-QUALITY-RESPONSE,prompt_quality_response,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000010_response.txt,quality_check/decision_mock-44910-42ec35c5-dec-000010_response.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000010;attempt_index=0;kind=quality_response,decision_id=mock-44910-42ec35c5-dec-000010;attempt_index=0;kind=quality_response,mock-44910-42ec35c5-dec-000010,,,0,"quality_response artifact for mock-44910-42ec35c5-dec-000010, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000011-A0-QUALITY-REQUEST,prompt_quality_request,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000011_request.txt,quality_check/decision_mock-44910-42ec35c5-dec-000011_request.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000011;attempt_index=0;kind=quality_request,decision_id=mock-44910-42ec35c5-dec-000011;attempt_index=0;kind=quality_request,mock-44910-42ec35c5-dec-000011,,,0,"quality_request artifact for mock-44910-42ec35c5-dec-000011, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000011-A0-QUALITY-RESPONSE,prompt_quality_response,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000011_response.txt,quality_check/decision_mock-44910-42ec35c5-dec-000011_response.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000011;attempt_index=0;kind=quality_response,decision_id=mock-44910-42ec35c5-dec-000011;attempt_index=0;kind=quality_response,mock-44910-42ec35c5-dec-000011,,,0,"quality_response artifact for mock-44910-42ec35c5-dec-000011, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000012-A0-QUALITY-REQUEST,prompt_quality_request,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000012_request.txt,quality_check/decision_mock-44910-42ec35c5-dec-000012_request.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000012;attempt_index=0;kind=quality_request,decision_id=mock-44910-42ec35c5-dec-000012;attempt_index=0;kind=quality_request,mock-44910-42ec35c5-dec-000012,,,0,"quality_request artifact for mock-44910-42ec35c5-dec-000012, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000012-A0-QUALITY-RESPONSE,prompt_quality_response,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000012_response.txt,quality_check/decision_mock-44910-42ec35c5-dec-000012_response.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000012;attempt_index=0;kind=quality_response,decision_id=mock-44910-42ec35c5-dec-000012;attempt_index=0;kind=quality_response,mock-44910-42ec35c5-dec-000012,,,0,"quality_response artifact for mock-44910-42ec35c5-dec-000012, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000013-A0-QUALITY-REQUEST,prompt_quality_request,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000013_request.txt,quality_check/decision_mock-44910-42ec35c5-dec-000013_request.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000013;attempt_index=0;kind=quality_request,decision_id=mock-44910-42ec35c5-dec-000013;attempt_index=0;kind=quality_request,mock-44910-42ec35c5-dec-000013,,,0,"quality_request artifact for mock-44910-42ec35c5-dec-000013, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000013-A0-QUALITY-RESPONSE,prompt_quality_response,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000013_response.txt,quality_check/decision_mock-44910-42ec35c5-dec-000013_response.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000013;attempt_index=0;kind=quality_response,decision_id=mock-44910-42ec35c5-dec-000013;attempt_index=0;kind=quality_response,mock-44910-42ec35c5-dec-000013,,,0,"quality_response artifact for mock-44910-42ec35c5-dec-000013, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000014-A0-QUALITY-REQUEST,prompt_quality_request,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000014_request.txt,quality_check/decision_mock-44910-42ec35c5-dec-000014_request.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000014;attempt_index=0;kind=quality_request,decision_id=mock-44910-42ec35c5-dec-000014;attempt_index=0;kind=quality_request,mock-44910-42ec35c5-dec-000014,,,0,"quality_request artifact for mock-44910-42ec35c5-dec-000014, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000014-A0-QUALITY-RESPONSE,prompt_quality_response,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000014_response.txt,quality_check/decision_mock-44910-42ec35c5-dec-000014_response.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000014;attempt_index=0;kind=quality_response,decision_id=mock-44910-42ec35c5-dec-000014;attempt_index=0;kind=quality_response,mock-44910-42ec35c5-dec-000014,,,0,"quality_response artifact for mock-44910-42ec35c5-dec-000014, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000015-A0-QUALITY-REQUEST,prompt_quality_request,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000015_request.txt,quality_check/decision_mock-44910-42ec35c5-dec-000015_request.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000015;attempt_index=0;kind=quality_request,decision_id=mock-44910-42ec35c5-dec-000015;attempt_index=0;kind=quality_request,mock-44910-42ec35c5-dec-000015,,,0,"quality_request artifact for mock-44910-42ec35c5-dec-000015, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000015-A0-QUALITY-RESPONSE,prompt_quality_response,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000015_response.txt,quality_check/decision_mock-44910-42ec35c5-dec-000015_response.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000015;attempt_index=0;kind=quality_response,decision_id=mock-44910-42ec35c5-dec-000015;attempt_index=0;kind=quality_response,mock-44910-42ec35c5-dec-000015,,,0,"quality_response artifact for mock-44910-42ec35c5-dec-000015, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000016-A0-QUALITY-REQUEST,prompt_quality_request,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000016_request.txt,quality_check/decision_mock-44910-42ec35c5-dec-000016_request.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000016;attempt_index=0;kind=quality_request,decision_id=mock-44910-42ec35c5-dec-000016;attempt_index=0;kind=quality_request,mock-44910-42ec35c5-dec-000016,,,0,"quality_request artifact for mock-44910-42ec35c5-dec-000016, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000016-A0-QUALITY-RESPONSE,prompt_quality_response,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000016_response.txt,quality_check/decision_mock-44910-42ec35c5-dec-000016_response.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000016;attempt_index=0;kind=quality_response,decision_id=mock-44910-42ec35c5-dec-000016;attempt_index=0;kind=quality_response,mock-44910-42ec35c5-dec-000016,,,0,"quality_response artifact for mock-44910-42ec35c5-dec-000016, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000017-A0-QUALITY-REQUEST,prompt_quality_request,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000017_request.txt,quality_check/decision_mock-44910-42ec35c5-dec-000017_request.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000017;attempt_index=0;kind=quality_request,decision_id=mock-44910-42ec35c5-dec-000017;attempt_index=0;kind=quality_request,mock-44910-42ec35c5-dec-000017,,,0,"quality_request artifact for mock-44910-42ec35c5-dec-000017, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000017-A0-QUALITY-RESPONSE,prompt_quality_response,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000017_response.txt,quality_check/decision_mock-44910-42ec35c5-dec-000017_response.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000017;attempt_index=0;kind=quality_response,decision_id=mock-44910-42ec35c5-dec-000017;attempt_index=0;kind=quality_response,mock-44910-42ec35c5-dec-000017,,,0,"quality_response artifact for mock-44910-42ec35c5-dec-000017, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000018-A0-QUALITY-REQUEST,prompt_quality_request,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000018_request.txt,quality_check/decision_mock-44910-42ec35c5-dec-000018_request.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000018;attempt_index=0;kind=quality_request,decision_id=mock-44910-42ec35c5-dec-000018;attempt_index=0;kind=quality_request,mock-44910-42ec35c5-dec-000018,,,0,"quality_request artifact for mock-44910-42ec35c5-dec-000018, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000018-A0-QUALITY-RESPONSE,prompt_quality_response,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000018_response.txt,quality_check/decision_mock-44910-42ec35c5-dec-000018_response.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000018;attempt_index=0;kind=quality_response,decision_id=mock-44910-42ec35c5-dec-000018;attempt_index=0;kind=quality_response,mock-44910-42ec35c5-dec-000018,,,0,"quality_response artifact for mock-44910-42ec35c5-dec-000018, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000019-A0-QUALITY-REQUEST,prompt_quality_request,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000019_request.txt,quality_check/decision_mock-44910-42ec35c5-dec-000019_request.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000019;attempt_index=0;kind=quality_request,decision_id=mock-44910-42ec35c5-dec-000019;attempt_index=0;kind=quality_request,mock-44910-42ec35c5-dec-000019,,,0,"quality_request artifact for mock-44910-42ec35c5-dec-000019, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000019-A0-QUALITY-RESPONSE,prompt_quality_response,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000019_response.txt,quality_check/decision_mock-44910-42ec35c5-dec-000019_response.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000019;attempt_index=0;kind=quality_response,decision_id=mock-44910-42ec35c5-dec-000019;attempt_index=0;kind=quality_response,mock-44910-42ec35c5-dec-000019,,,0,"quality_response artifact for mock-44910-42ec35c5-dec-000019, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000020-A0-QUALITY-REQUEST,prompt_quality_request,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000020_request.txt,quality_check/decision_mock-44910-42ec35c5-dec-000020_request.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000020;attempt_index=0;kind=quality_request,decision_id=mock-44910-42ec35c5-dec-000020;attempt_index=0;kind=quality_request,mock-44910-42ec35c5-dec-000020,,,0,"quality_request artifact for mock-44910-42ec35c5-dec-000020, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000020-A0-QUALITY-RESPONSE,prompt_quality_response,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000020_response.txt,quality_check/decision_mock-44910-42ec35c5-dec-000020_response.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000020;attempt_index=0;kind=quality_response,decision_id=mock-44910-42ec35c5-dec-000020;attempt_index=0;kind=quality_response,mock-44910-42ec35c5-dec-000020,,,0,"quality_response artifact for mock-44910-42ec35c5-dec-000020, attempt 0",[],[],[],resolved_frozen_artifact
EVD-PROMPT-000021-A0-QUALITY-REQUEST,prompt_quality_request,frozen_source,quality_check/decision_mock-44910-42ec35c5-dec-000021_request.txt,quality_check/decision_mock-44910-42ec35c5-dec-000021_request.txt,source_locator,decision_id=mock-44910-42ec35c5-dec-000021;attempt_index=0;kind=quality_request,decision_id=mock-44910-42ec35c5-dec-000021;attempt_index=0;kind=quality_request,mock-44910-42ec35c5-dec-000021,,,0,"quality_request artifact for mock-44910-42ec35c5-dec-000021, attempt 0",[],[],[],resolved_frozen_artifact
