turn_index,calls,cost,input_tokens,output_tokens,reasoning_tokens,total_tokens,latency_ms
46,5,0.219257,18544,5993,5452,24537,137714
47,10,0.415399,50145,10131,4201,60276,161265
48,2,0.038078,8275,1794,1627,10069,18615
49,1,0.004967,3872,454,397,4326,4337
50,13,0.568587,51298,14562,12798,65860,333426
51,2,0.13981,15757,2441,383,18198,34964
52,2,0.033782,8899,1332,1123,10231,14592
53,12,0.161879,49213,5334,4064,54547,60210
54,2,0.0127,7846,1587,1422,9433,10903
55,11,0.307139,42313,6356,4982,48669,142081
56,4,0.25256,30027,4097,544,34124,58695
57,1,0.015462,4191,590,508,4781,6672
58,1,0.005439,3975,403,327,4378,4209
59,10,0.253115,41445,4361,2513,45806,86096
60,1,0.077145,7414,1603,266,9017,22941
61,1,0.016306,4097,676,592,4773,6778
62,1,0.005672,3890,539,466,4429,4745
63,1,0.03866,3472,710,628,4182,19956
64,8,0.52559,56778,9668,1688,66446,140407
65,1,0.0138,4152,458,365,4610,5980
66,1,0.005578,3910,330,274,4240,4930
68,1,0.04998,7261,547,57,7808,9445
69,1,0.014168,4114,495,416,4609,5629
70,1,0.005495,3838,494,425,4332,5720
71,1,0.02622,3216,338,254,3554,9751
73,1,0.020994,4251,1041,938,5292,10557
74,1,0.006108,3786,604,542,4390,6368
75,1,0.028555,3161,425,340,3586,10159
76,1,0.059555,6366,1109,197,7475,16951
77,5,0.08494,17930,4090,3647,22020,38863
78,1,0.005022,3722,524,451,4246,4712
79,56,3.105436,304325,72119,48448,376444,1502680
80,1,0.08808,9916,1540,198,11456,22224
81,4,0.06669,20025,2220,1916,22245,23981
82,1,0.006777,4571,479,410,5050,5219
83,1,0.05875,4292,1243,1166,5535,37092
84,3,0.147464,12835,3495,3128,16330,89168
85,5,0.394985,45532,6693,1179,52225,97950
86,1,0.015036,4344,529,448,4873,5516
87,1,0.006441,3888,686,619,4574,5944
88,20,1.096644,85973,27380,24009,113353,727742
89,2,0.114595,8555,2394,2230,10949,67392
90,1,0.07686,9637,1147,196,10784,16278
91,4,0.090124,18110,4492,4026,22602,41336
92,1,0.006052,4005,472,407,4477,4527
93,1,0.07157,3808,1751,1664,5559,45116
94,1,0.06559,8913,841,81,9754,14023
95,1,0.057225,8850,519,110,9369,7648
96,1,0.015516,4098,610,528,4708,6758
97,2,0.012149,7690,1122,990,8812,8799
98,3,0.016208,10566,1711,1483,12277,17614
99,14,0.923205,53257,23897,21344,77154,693022
100,1,0.20787,8799,6555,684,15354,90756
101,1,0.056595,9024,459,52,9483,6247
102,1,0.017998,4505,749,646,5254,8269
103,5,0.072064,19844,2698,2186,22542,31543
104,1,0.005447,3845,310,238,4155,3623
105,11,0.568816,46903,13653,12028,60556,387851
106,10,0.564085,40871,11991,10968,52862,363895
107,1,0.143845,9619,3830,337,13449,55248
108,3,0.123053,17667,3130,1270,20797,42682
109,1,0.006146,4188,418,351,4606,4596
110,2,0.149225,7963,3647,3424,11610,99971
112,1,0.01863,4167,858,756,5025,9733
113,2,0.011099,7356,869,680,8225,8175
114,4,0.325143,14559,9410,9018,23969,249159
115,1,0.078835,3677,2015,1935,5692,51003
116,9,0.738537,39218,19654,18402,58872,555252
117,2,0.209155,17296,4907,600,22203,66459
118,1,0.017328,4194,745,679,4939,9278
119,8,0.657346,33245,19359,18316,52604,555978
120,1,0.08036,9967,1221,191,11188,16530
121,1,0.06021,10012,406,58,10418,7262
122,3,0.104002,18237,2442,1403,20679,29078
123,7,0.430547,35995,10446,8743,46441,261787
124,5,0.279818,26848,5563,4848,32411,162720
125,1,0.056785,9732,325,38,10057,4865
126,1,0.01348,4172,428,322,4600,5169
127,1,0.1094,4126,2959,2882,7085,74334
128,1,0.092235,8917,1906,358,10823,26588
129,1,0.101955,8936,2291,210,11227,32495
130,3,0.27195,11418,7162,6826,18580,185789
131,1,0.086195,8914,1665,362,10579,24032
132,3,0.188235,10989,4443,4129,15432,135477
133,1,0.0458,3616,924,843,4540,29570
134,1,0.055175,8925,422,25,9347,5542
135,1,0.028865,3631,357,272,3988,10433
136,2,0.17582,7414,4625,4410,12039,139285
137,2,0.236795,17639,5944,845,23583,87728
138,3,0.19309,11600,4503,4163,16103,123578
139,1,0.09335,8760,1982,298,10742,28003
140,1,0.032605,3743,463,382,4206,12426
141,1,0.06046,8767,665,184,9432,11362
142,5,0.369835,28365,7708,6797,36073,221914
143,1,0.057465,9058,487,74,9545,6241
144,3,0.18533,16425,3495,2979,19920,86448
145,1,0.046505,4039,877,775,4916,27036
147,1,0.073635,8842,1177,228,10019,15853
148,1,0.03434,3592,546,458,4138,17089
149,1,0.05202,8759,329,29,9088,4807
150,1,0.03365,3604,521,431,4125,12455
151,1,0.0526,8690,366,60,9056,12025
152,4,0.20752,15182,4387,3998,19569,140594
153,1,0.03567,3846,548,473,4394,15110
154,1,0.05912,8519,661,160,9180,11564
155,1,0.064215,3711,1522,1425,5233,42921
156,1,0.05169,8493,369,39,8862,5710
157,5,0.268485,27071,4532,3689,31603,123023
158,1,0.04925,8290,312,18,8602,6898
160,3,0.344275,15655,8945,8344,24600,276991
161,1,0.079015,7578,1645,246,9223,25796
162,1,0.085465,4091,2167,2070,6258,76708
163,2,0.1219,7754,2771,2455,10525,69655
164,2,0.119475,16000,1579,285,17579,23856
165,3,0.25718,16542,5892,5235,22434,150347
166,1,0.05573,8401,549,102,8950,8475
167,5,0.39535,29922,8319,7095,38241,242531
169,5,0.33951,23586,7386,6833,30972,207699
170,1,0.035765,4585,428,342,5013,11795
171,1,0.05195,8350,408,85,8758,9635
172,6,0.456725,26869,10746,10087,37615,294005
173,2,0.106465,17078,843,144,17921,17352
174,2,0.121345,8195,2679,2445,10874,84775
175,1,0.04859,8363,271,35,8634,4840
176,1,0.057015,3993,1235,1142,5228,45690
177,1,0.07225,8210,1248,164,9458,17095
178,4,0.23944,16004,5314,4889,21318,146838
179,1,0.10643,8196,2618,360,10814,39199
180,3,0.21081,12114,5008,4679,17122,152823
181,1,0.064075,8070,949,204,9019,14380
182,1,0.10189,3980,2733,2639,6713,70219
183,1,0.050555,3955,1026,936,4981,28091
184,1,0.05121,7977,453,85,8430,6445
185,1,0.070185,3927,1685,1603,5612,45223
186,1,0.04924,8003,369,45,8372,5516
187,2,0.146525,7855,3575,3372,11430,97048
188,1,0.04801,8127,295,11,8422,4723
189,1,0.066955,3923,1578,1480,5501,40891
190,1,0.070155,7551,1296,200,8847,19485
