turn_index,calls,input_tokens,output_tokens,reasoning_tokens,total_tokens,cost,latency_ms,retry_calls
70,5.0,25055.0,12358.0,8615.0,37413.0,0.0606895,85933.0,0.0
71,2.0,9135.0,1380.0,1171.0,10515.0,0.01459995,19015.0,2.0
72,1.0,3774.0,624.0,553.0,4398.0,0.0056385,8539.0,0.0
73,1.0,4921.0,1606.0,624.0,6527.0,0.012951,17928.0,0.0
74,1.0,4824.0,1062.0,888.0,5886.0,0.005598,7062.0,0.0
75,2.0,8424.0,1527.0,1279.0,9951.0,0.0136755,21965.0,0.0
76,14.0,51905.0,28944.0,27239.0,80849.0,0.16434545000000003,280950.0,2.0
77,1.0,4930.0,4146.0,1593.0,9076.0,0.02566,37918.0,0.0
78,7.0,36635.0,13748.0,8784.0,50383.0,0.07634805,115992.0,2.0
79,2.0,8776.0,1424.0,1224.0,10200.0,0.013857999999999999,22007.0,0.0
80,1.0,3804.0,297.0,248.0,4101.0,0.0041895,3535.0,0.0
81,1.0,3734.0,308.0,251.0,4042.0,0.0041865,5840.0,0.0
82,1.0,5034.0,1583.0,737.0,6617.0,0.012949,17551.0,0.0
83,2.0,9962.0,4135.0,3806.0,14097.0,0.017386,22789.0,0.0
84,2.0,8529.0,1406.0,1233.0,9935.0,0.01310105,18835.0,0.0
85,1.0,3519.0,366.0,308.0,3885.0,0.00428625,5650.0,0.0
86,1.0,4858.0,2516.0,1079.0,7374.0,0.017438,26526.0,0.0
87,2.0,9980.0,2943.0,2450.0,12923.0,0.013819000000000001,16125.0,0.0
88,1.0,4084.0,378.0,293.0,4462.0,0.0051092,6669.0,0.0
89,1.0,3273.0,367.0,317.0,3640.0,0.00410625,4924.0,0.0
90,1.0,4557.0,1398.0,690.0,5955.0,0.011547,14719.0,0.0
91,1.0,4575.0,1148.0,632.0,5723.0,0.010315,12130.0,0.0
92,1.0,4849.0,2178.0,1975.0,7027.0,0.0089585,12800.0,0.0
93,2.0,8128.0,1306.0,1112.0,9434.0,0.0131562,15622.0,0.0
94,1.0,3965.0,456.0,370.0,4421.0,0.00596185,5743.0,0.0
95,1.0,3235.0,310.0,253.0,3545.0,0.00382125,4290.0,0.0
96,1.0,4579.0,1194.0,551.0,5773.0,0.010549,13067.0,0.0
97,1.0,4887.0,2484.0,2303.0,7371.0,0.0098955,14474.0,0.0
98,5.0,18696.0,4016.0,3473.0,22712.0,0.0323348,43699.0,0.0
99,1.0,3291.0,2027.0,1958.0,5318.0,0.01158975,18717.0,0.0
100,1.0,4666.0,1287.0,615.0,5953.0,0.011101,13641.0,0.0
101,1.0,4688.0,2666.0,1124.0,7354.0,0.018018,26356.0,0.0
102,2.0,10025.0,5355.0,4921.0,15380.0,0.0210775,29441.0,0.0
103,2.0,8367.0,1559.0,1345.0,9926.0,0.01408745,17726.0,0.0
104,1.0,3343.0,1031.0,969.0,4374.0,0.00714675,14494.0,0.0
105,1.0,4764.0,2770.0,1181.0,7534.0,0.018614,26129.0,0.0
107,1.0,3955.0,460.0,360.0,4415.0,0.00595935,6541.0,0.0
108,6.0,19916.0,4987.0,4475.0,24903.0,0.037378499999999995,54825.0,0.0
109,4.0,12892.0,3790.0,3361.0,16682.0,0.024823200000000004,38358.0,2.0
110,1.0,4670.0,1513.0,663.0,6183.0,0.012235,15556.0,0.0
111,1.0,4243.0,1300.0,1145.0,5543.0,0.0060215,7899.0,0.0
112,2.0,8356.0,1221.0,1013.0,9577.0,0.012086300000000001,13961.0,0.0
113,1.0,4712.0,2889.0,866.0,7601.0,0.019157,30341.0,0.0
114,1.0,4695.0,1453.0,683.0,6148.0,0.01196,16606.0,0.0
115,2.0,9307.0,3454.0,3100.0,12761.0,0.0150155,20734.0,0.0
116,1.0,4046.0,532.0,437.0,4578.0,0.0058499,6841.0,0.0
117,1.0,4036.0,546.0,456.0,4582.0,0.0058724,6681.0,0.0
118,1.0,4630.0,1296.0,650.0,5926.0,0.01111,13548.0,0.0
119,7.0,34698.0,14125.0,10524.0,48823.0,0.07499235000000001,103140.0,0.0
120,2.0,9119.0,1339.0,1084.0,10458.0,0.01373825,16031.0,0.0
121,5.0,23799.0,5578.0,3053.0,29377.0,0.047543600000000005,60662.0,0.0
122,1.0,5265.0,1372.0,645.0,6637.0,0.012125,14303.0,0.0
123,1.0,5259.0,3272.0,1091.0,8531.0,0.021619,30861.0,0.0
124,10.0,51245.0,16018.0,13689.0,67263.0,0.07977450000000001,105046.0,0.0
125,1.0,4381.0,578.0,490.0,4959.0,0.00678685,5743.0,0.0
126,1.0,5124.0,1290.0,604.0,6414.0,0.011574,14092.0,0.0
127,1.0,5103.0,1357.0,633.0,6460.0,0.011888,14616.0,0.0
129,1.0,4320.0,429.0,341.0,4749.0,0.0063381,6825.0,0.0
130,1.0,5109.0,2102.0,801.0,7211.0,0.015619,21606.0,0.0
131,1.0,4307.0,889.0,711.0,5196.0,0.0048205,5408.0,0.0
132,2.0,9264.0,1607.0,1398.0,10871.0,0.0137159,15496.0,0.0
133,1.0,4978.0,1543.0,617.0,6521.0,0.012693,16221.0,0.0
134,1.0,4117.0,871.0,729.0,4988.0,0.0046715,4633.0,0.0
135,1.0,4354.0,716.0,617.0,5070.0,0.0058885,5096.0,0.0
136,1.0,4722.0,2434.0,976.0,7156.0,0.016892,26511.0,0.0
137,2.0,8896.0,3634.0,3298.0,12530.0,0.015349999999999999,20087.0,0.0
138,1.0,4304.0,511.0,401.0,4815.0,0.0065231,6690.0,0.0
139,1.0,4751.0,1778.0,736.0,6529.0,0.013641,18823.0,0.0
140,5.0,25548.0,12669.0,8362.0,38217.0,0.06626995,97304.0,0.0
141,1.0,4726.0,714.0,628.0,5440.0,0.0068189,6425.0,0.0
142,3.0,16133.0,8997.0,3777.0,25130.0,0.061118,89450.0,0.0
143,9.0,53117.0,21262.0,13944.0,74379.0,0.11636685,169876.0,0.0
144,1.0,5110.0,627.0,525.0,5737.0,0.006611,7542.0,0.0
145,1.0,5717.0,1545.0,720.0,7262.0,0.013442,16516.0,0.0
146,1.0,5716.0,1244.0,1096.0,6960.0,0.00659,7463.0,0.0
147,1.0,5709.0,1714.0,1534.0,7423.0,0.0079965,10144.0,0.0
148,1.0,4838.0,777.0,683.0,5615.0,0.0078556,8468.0,0.0
149,1.0,5677.0,2926.0,1228.0,8603.0,0.020307,27430.0,0.0
150,1.0,5764.0,2004.0,1818.0,7768.0,0.008894,12922.0,0.0
151,1.0,4865.0,700.0,627.0,5565.0,0.00769685,6295.0,0.0
152,1.0,5712.0,2975.0,1121.0,8687.0,0.020587,29858.0,0.0
153,1.0,5760.0,1280.0,1104.0,7040.0,0.00672,7908.0,0.0
154,1.0,4442.0,386.0,294.0,4828.0,0.0063831,5115.0,0.0
155,1.0,5215.0,2660.0,861.0,7875.0,0.018515,27470.0,0.0
156,1.0,5206.0,1058.0,872.0,6264.0,0.005777,6204.0,0.0
157,1.0,4368.0,595.0,489.0,4963.0,0.0056035,3755.0,0.0
158,2.0,10301.0,3152.0,1311.0,13453.0,0.026061,34137.0,0.0
159,1.0,5198.0,1129.0,941.0,6327.0,0.005986,6784.0,0.0
160,1.0,4382.0,823.0,718.0,5205.0,0.006191,7808.0,0.0
161,1.0,4401.0,517.0,416.0,4918.0,0.00544975,4678.0,0.0
162,1.0,4401.0,350.0,249.0,4751.0,0.00583865,3592.0,0.0
163,1.0,5135.0,1235.0,618.0,6370.0,0.01131,13161.0,0.0
164,7.0,36762.0,10263.0,7063.0,47025.0,0.0615215,77969.0,0.0
165,1.0,4684.0,344.0,256.0,5028.0,0.0065806,4495.0,0.0
166,1.0,4891.0,5819.0,2341.0,10710.0,0.033986,56867.0,0.0
167,10.0,52775.0,14169.0,12328.0,66944.0,0.07133909999999999,80393.0,0.0
168,3.0,13893.0,2380.0,2075.0,16273.0,0.02056105,21700.0,0.0
169,1.0,5094.0,1145.0,1010.0,6239.0,0.005982,6950.0,0.0
170,1.0,4705.0,1046.0,946.0,5751.0,0.00795865,10544.0,0.0
171,3.0,15576.0,1928.0,1363.0,17504.0,0.013572,13306.0,0.0
172,1.0,4461.0,384.0,307.0,4845.0,0.00640185,4197.0,0.0
173,2.0,9280.0,3239.0,2825.0,12519.0,0.014357,18167.0,0.0
174,1.0,4615.0,530.0,453.0,5145.0,0.00622015,5530.0,0.0
175,1.0,4568.0,527.0,444.0,5095.0,0.0061539,5168.0,0.0
176,1.0,4736.0,158.0,0.0,4894.0,0.002842,1705.0,0.0
177,1.0,4456.0,400.0,316.0,4856.0,0.0050916,4505.0,0.0
178,1.0,4703.0,1230.0,1095.0,5933.0,0.0060415,7294.0,0.0
179,1.0,4443.0,532.0,453.0,4975.0,0.00601015,5025.0,0.0
180,2.0,9706.0,2206.0,1830.0,11912.0,0.011471,12181.0,0.0
181,1.0,4244.0,717.0,635.0,4961.0,0.0062239,7563.0,0.0
182,1.0,4174.0,508.0,418.0,4682.0,0.0059499,5126.0,0.0
183,9.0,44415.0,7302.0,6047.0,51717.0,0.0441135,42801.0,0.0
184,1.0,4221.0,636.0,549.0,4857.0,0.00632865,7980.0,0.0
185,1.0,4834.0,1228.0,1022.0,6062.0,0.006101,7146.0,0.0
186,1.0,4245.0,857.0,767.0,5102.0,0.00650795,6867.0,0.0
187,1.0,4796.0,2371.0,2170.0,7167.0,0.009511,12170.0,0.0
188,1.0,4226.0,667.0,573.0,4893.0,0.0058748,5833.0,0.0
189,1.0,4206.0,488.0,398.0,4694.0,0.0052007,4611.0,0.0
190,1.0,4825.0,2371.0,2220.0,7196.0,0.0095255,13132.0,0.0
191,1.0,4235.0,735.0,651.0,4970.0,0.00625765,5535.0,0.0
192,2.0,8449.0,952.0,773.0,9401.0,0.012269249999999999,9391.0,2.0
193,1.0,4183.0,501.0,412.0,4684.0,0.00554045,4430.0,0.0
194,1.0,4827.0,1089.0,930.0,5916.0,0.0056805,6274.0,0.0
195,1.0,4086.0,490.0,395.0,4576.0,0.0054589,4351.0,0.0
196,1.0,4065.0,547.0,453.0,4612.0,0.00557515,5725.0,0.0
197,2.0,9584.0,2664.0,2318.0,12248.0,0.012784,14692.0,0.0
198,1.0,4078.0,362.0,268.0,4440.0,0.0047257,3583.0,0.0
199,1.0,4064.0,669.0,571.0,4733.0,0.0056773,7188.0,0.0
200,4.0,19514.0,2752.0,2151.0,22266.0,0.018012999999999998,17401.0,0.0
201,1.0,4136.0,755.0,677.0,4891.0,0.0059823,6842.0,0.0
202,1.0,4839.0,1548.0,1361.0,6387.0,0.0070635,8971.0,0.0
203,1.0,4857.0,1311.0,1148.0,6168.0,0.0063615,7177.0,0.0
204,1.0,4173.0,861.0,783.0,5034.0,0.00629355,7721.0,0.0
206,1.0,4815.0,1229.0,1046.0,6044.0,0.0060945,6513.0,0.0
207,1.0,3496.0,815.0,749.0,4311.0,0.0058699,8663.0,0.0
208,1.0,4872.0,411.0,273.0,5283.0,0.003669,3231.0,0.0
209,1.0,3496.0,509.0,427.0,4005.0,0.0055081,6444.0,0.0
210,1.0,4828.0,751.0,580.0,5579.0,0.004667,4922.0,0.0
211,3.0,11039.0,1851.0,1588.0,12890.0,0.01647745,21474.0,0.0
213,1.0,4080.0,512.0,432.0,4592.0,0.0051032,5771.0,0.0
214,1.0,3966.0,552.0,416.0,4518.0,0.003639,3886.0,0.0
215,1.0,4029.0,724.0,632.0,4753.0,0.00556945,5704.0,0.0
216,1.0,3991.0,463.0,380.0,4454.0,0.00486945,4921.0,0.0
217,1.0,3904.0,759.0,634.0,4663.0,0.004229,4505.0,0.0
218,1.0,3981.0,569.0,440.0,4550.0,0.00512195,4700.0,0.0
219,1.0,3991.0,600.0,514.0,4591.0,0.00521195,4098.0,0.0
220,3.0,12481.0,1816.0,1385.0,14297.0,0.011688500000000001,12281.0,0.0
221,1.0,4024.0,590.0,506.0,4614.0,0.0052282,5832.0,0.0
222,1.0,4738.0,781.0,637.0,5519.0,0.004712,4714.0,0.0
223,1.0,4039.0,807.0,721.0,4846.0,0.00578945,8889.0,0.0
224,1.0,4698.0,842.0,661.0,5540.0,0.004875,5331.0,0.0
225,1.0,4008.0,721.0,632.0,4729.0,0.0055357,5592.0,0.0
226,1.0,4703.0,894.0,753.0,5597.0,0.0050335,4912.0,0.0
227,1.0,4016.0,786.0,693.0,4802.0,0.0057082,8409.0,0.0
228,1.0,4019.0,555.0,470.0,4574.0,0.00513445,4952.0,0.0
229,1.0,4657.0,759.0,606.0,5416.0,0.0046055,4306.0,0.0
230,1.0,4010.0,589.0,498.0,4599.0,0.0052082,6908.0,0.0
231,1.0,4028.0,430.0,348.0,4458.0,0.0048332,4489.0,0.0
232,1.0,4656.0,1167.0,1014.0,5823.0,0.005829,6404.0,0.0
233,1.0,3958.0,497.0,411.0,4455.0,0.0049132,4722.0,0.0
234,1.0,4604.0,917.0,785.0,5521.0,0.005053,4337.0,0.0
235,1.0,3952.0,586.0,501.0,4538.0,0.0062706,4895.0,0.0
236,1.0,3959.0,459.0,374.0,4418.0,0.00481945,5940.0,0.0
237,1.0,3959.0,769.0,684.0,4728.0,0.00559445,7589.0,0.0
238,1.0,4601.0,1235.0,1007.0,5836.0,0.0060055,6852.0,0.0
239,1.0,4713.0,645.0,463.0,5358.0,0.0042915,3912.0,0.0
240,1.0,3992.0,447.0,367.0,4439.0,0.0048307,4337.0,0.0
241,1.0,4785.0,919.0,784.0,5704.0,0.0051495,5311.0,0.0
243,1.0,3993.0,560.0,478.0,4553.0,0.00511445,6106.0,0.0
244,1.0,3985.0,1221.0,1069.0,5206.0,0.0056555,7283.0,0.0
245,1.0,3996.0,543.0,457.0,4539.0,0.0050757,3531.0,0.0
246,1.0,3986.0,471.0,320.0,4457.0,0.003406,3287.0,0.0
247,1.0,4022.0,553.0,473.0,4575.0,0.0051332,5871.0,0.0
248,3.0,12841.0,2206.0,1674.0,15047.0,0.013038500000000001,12597.0,0.0
249,1.0,4047.0,749.0,589.0,4796.0,0.00679685,7578.0,0.0
250,1.0,4040.0,441.0,375.0,4481.0,0.0048757,4519.0,0.0
251,1.0,4896.0,739.0,597.0,5635.0,0.004665,4813.0,0.0
252,1.0,4029.0,469.0,404.0,4498.0,0.00493195,4718.0,0.0
253,1.0,4857.0,616.0,531.0,5473.0,0.0042765,4083.0,0.0
254,1.0,3993.0,436.0,362.0,4429.0,0.00594685,4194.0,0.0
255,1.0,4794.0,442.0,313.0,5236.0,0.003723,2985.0,0.0
256,2.0,7553.0,1459.0,1305.0,9012.0,0.01167755,15683.0,0.0
257,1.0,4704.0,534.0,418.0,5238.0,0.003954,3659.0,0.0
258,1.0,3930.0,505.0,435.0,4435.0,0.0048982,5633.0,0.0
259,1.0,4621.0,756.0,641.0,5377.0,0.0045785,4618.0,0.0
260,3.0,10551.0,2164.0,1883.0,12715.0,0.01738915,20137.0,0.0
261,2.0,9284.0,2306.0,2015.0,11590.0,0.01156,13045.0,0.0
262,3.0,10602.0,2299.0,2022.0,12901.0,0.017454400000000002,21693.0,0.0
263,2.0,7101.0,1101.0,937.0,8202.0,0.01055355,11643.0,0.0
264,2.0,7090.0,1410.0,1255.0,8500.0,0.0113123,14042.0,0.0
265,2.0,9363.0,3792.0,3414.0,13155.0,0.0160575,17968.0,0.0
266,1.0,3715.0,711.0,638.0,4426.0,0.00554765,5931.0,0.0
267,1.0,4667.0,730.0,585.0,5397.0,0.0045235,4495.0,0.0
268,1.0,4659.0,490.0,340.0,5149.0,0.0037995,3253.0,0.0
269,1.0,3815.0,509.0,438.0,4324.0,0.00503325,6353.0,0.0
270,1.0,4655.0,529.0,386.0,5184.0,0.0039145,3763.0,0.0
271,1.0,4699.0,336.0,200.0,5035.0,0.0033575,2657.0,0.0
272,1.0,3394.0,456.0,388.0,3850.0,0.0048449,4134.0,0.0
