seq,turn_index,event_id,event_type,actor_player_id,from_player_id,to_player_id,amount,space_index
1165,58,mock-44910-42ec35c5-evt-001165,RENT_PAID,Gemini 3 Flash Preview,Gemini 3 Flash Preview,Grok 4.3,50,39
1176,59,mock-44910-42ec35c5-evt-001176,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,12,14
1223,62,mock-44910-42ec35c5-evt-001223,RENT_PAID,Gemini 3 Flash Preview,Gemini 3 Flash Preview,Grok 4.3,50,5
1282,64,mock-44910-42ec35c5-evt-001282,RENT_PAID,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,Grok 4.3,50,5
1360,68,mock-44910-42ec35c5-evt-001360,RENT_PAID,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,Gemini 3 Flash Preview,14,16
1442,70,mock-44910-42ec35c5-evt-001442,RENT_PAID,Gemini 3 Flash Preview,Gemini 3 Flash Preview,Claude Haiku 4.5,16,19
1484,72,mock-44910-42ec35c5-evt-001484,RENT_PAID,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,Grok 4.3,40,24
1495,73,mock-44910-42ec35c5-evt-001495,RENT_PAID,Claude Haiku 4.5,Claude Haiku 4.5,Gemini 3 Flash Preview,8,9
1506,74,mock-44910-42ec35c5-evt-001506,RENT_PAID,Gemini 3 Flash Preview,Gemini 3 Flash Preview,Grok 4.3,22,27
1517,75,mock-44910-42ec35c5-evt-001517,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,8,9
1612,77,mock-44910-42ec35c5-evt-001612,RENT_PAID,Claude Haiku 4.5,Claude Haiku 4.5,Gemini 3 Flash Preview,14,18
1665,79,mock-44910-42ec35c5-evt-001665,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,14,18
1703,83,mock-44910-42ec35c5-evt-001703,RENT_PAID,Gemini 3 Flash Preview,Gemini 3 Flash Preview,Grok 4.3,50,39
1776,89,mock-44910-42ec35c5-evt-001776,RENT_PAID,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,Gemini 3 Flash Preview,14,16
1787,90,mock-44910-42ec35c5-evt-001787,RENT_PAID,Claude Haiku 4.5,Claude Haiku 4.5,Grok 4.3,50,39
1799,91,mock-44910-42ec35c5-evt-001799,RENT_PAID,Claude Haiku 4.5,Claude Haiku 4.5,Gemini 3 Flash Preview,6,8
1835,94,mock-44910-42ec35c5-evt-001835,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,6,8
1846,95,mock-44910-42ec35c5-evt-001846,RENT_PAID,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,Grok 4.3,90,23
1857,96,mock-44910-42ec35c5-evt-001857,RENT_PAID,Claude Haiku 4.5,Claude Haiku 4.5,Gemini 3 Flash Preview,14,18
1902,98,mock-44910-42ec35c5-evt-001902,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,450,13
1939,102,mock-44910-42ec35c5-evt-001939,RENT_PAID,Gemini 3 Flash Preview,Gemini 3 Flash Preview,Grok 4.3,90,21
1997,107,mock-44910-42ec35c5-evt-001997,RENT_PAID,Grok 4.3,Grok 4.3,OpenAI GPT 5.4 Mini,26,31
2137,116,mock-44910-42ec35c5-evt-002137,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,6,8
2164,119,mock-44910-42ec35c5-evt-002164,RENT_PAID,Gemini 3 Flash Preview,Gemini 3 Flash Preview,Claude Haiku 4.5,50,25
2266,123,mock-44910-42ec35c5-evt-002266,RENT_PAID,Claude Haiku 4.5,Claude Haiku 4.5,Gemini 3 Flash Preview,8,3
2379,130,mock-44910-42ec35c5-evt-002379,RENT_PAID,Claude Haiku 4.5,Claude Haiku 4.5,Grok 4.3,700,21
2443,136,mock-44910-42ec35c5-evt-002443,RENT_PAID,Claude Haiku 4.5,Claude Haiku 4.5,Grok 4.3,750,24
2482,140,mock-44910-42ec35c5-evt-002482,RENT_PAID,Gemini 3 Flash Preview,Gemini 3 Flash Preview,Claude Haiku 4.5,50,25
2513,141,mock-44910-42ec35c5-evt-002513,RENT_PAID,Grok 4.3,Grok 4.3,Claude Haiku 4.5,16,19
2527,142,mock-44910-42ec35c5-evt-002527,RENT_PAID,Claude Haiku 4.5,Claude Haiku 4.5,Gemini 3 Flash Preview,625,11
2618,145,mock-44910-42ec35c5-evt-002618,RENT_PAID,Claude Haiku 4.5,Claude Haiku 4.5,Gemini 3 Flash Preview,200,15
2785,163,mock-44910-42ec35c5-evt-002785,RENT_PAID,Claude Haiku 4.5,Claude Haiku 4.5,Gemini 3 Flash Preview,400,15
2962,170,mock-44910-42ec35c5-evt-002962,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,80,12
2994,172,mock-44910-42ec35c5-evt-002994,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,600,19
3012,173,mock-44910-42ec35c5-evt-003012,RENT_PAID,Gemini 3 Flash Preview,Gemini 3 Flash Preview,Grok 4.3,700,21
3089,181,mock-44910-42ec35c5-evt-003089,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,700,14
3100,182,mock-44910-42ec35c5-evt-003100,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,800,19
3191,187,mock-44910-42ec35c5-evt-003191,RENT_PAID,Gemini 3 Flash Preview,Gemini 3 Flash Preview,Grok 4.3,750,24
3203,188,mock-44910-42ec35c5-evt-003203,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,8,3
3230,191,mock-44910-42ec35c5-evt-003230,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,750,16
3267,195,mock-44910-42ec35c5-evt-003267,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,200,35
3311,199,mock-44910-42ec35c5-evt-003311,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,450,11
3348,201,mock-44910-42ec35c5-evt-003348,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,700,14
3367,203,mock-44910-42ec35c5-evt-003367,RENT_PAID,Gemini 3 Flash Preview,Gemini 3 Flash Preview,Grok 4.3,70,37
3426,210,mock-44910-42ec35c5-evt-003426,RENT_PAID,Gemini 3 Flash Preview,Gemini 3 Flash Preview,Grok 4.3,750,24
3476,215,mock-44910-42ec35c5-evt-003476,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,52,31
3511,219,mock-44910-42ec35c5-evt-003511,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,625,13
3589,226,mock-44910-42ec35c5-evt-003589,RENT_PAID,Gemini 3 Flash Preview,Gemini 3 Flash Preview,Grok 4.3,70,37
3600,227,mock-44910-42ec35c5-evt-003600,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,120,12
3629,230,mock-44910-42ec35c5-evt-003629,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,200,25
3640,231,mock-44910-42ec35c5-evt-003640,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,56,34
3673,234,mock-44910-42ec35c5-evt-003673,RENT_PAID,Gemini 3 Flash Preview,Gemini 3 Flash Preview,Grok 4.3,100,39
3700,237,mock-44910-42ec35c5-evt-003700,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,750,16
3728,240,mock-44910-42ec35c5-evt-003728,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,22,26
3754,243,mock-44910-42ec35c5-evt-003754,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,52,31
3791,247,mock-44910-42ec35c5-evt-003791,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,4,1
3820,249,mock-44910-42ec35c5-evt-003820,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,450,11
3863,254,mock-44910-42ec35c5-evt-003863,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,50,28
3888,256,mock-44910-42ec35c5-evt-003888,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,200,35
3940,260,mock-44910-42ec35c5-evt-003940,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,625,13
3978,262,mock-44910-42ec35c5-evt-003978,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,200,15
4011,264,mock-44910-42ec35c5-evt-004011,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,110,28
4065,269,mock-44910-42ec35c5-evt-004065,RENT_PAID,Grok 4.3,Grok 4.3,Gemini 3 Flash Preview,160,1
4084,271,mock-44910-42ec35c5-evt-004084,RENT_PAID,Gemini 3 Flash Preview,Gemini 3 Flash Preview,Grok 4.3,36,21
