turn_index,player_id,calls,input_tokens,output_tokens,reasoning_tokens,total_tokens,cost,latency_ms,retry_calls
44,Claude Haiku 4.5,2.0,9106.0,9747.0,3839.0,18853.0,0.057841,95396.0,0.0
44,Grok 4.3,1.0,3593.0,680.0,571.0,4273.0,0.00525045,8746.0,0.0
45,Gemini 3 Flash Preview,1.0,4446.0,1440.0,1279.0,5886.0,0.006543,9206.0,0.0
46,Gemini 3 Flash Preview,1.0,4437.0,1117.0,960.0,5554.0,0.0055695,7563.0,0.0
47,Claude Haiku 4.5,1.0,4198.0,1269.0,731.0,5467.0,0.010543,13870.0,0.0
47,Gemini 3 Flash Preview,3.0,12790.0,3057.0,2495.0,15847.0,0.015566,19396.0,0.0
47,Grok 4.3,5.0,17235.0,2469.0,2076.0,19704.0,0.025229849999999998,33331.0,0.0
47,OpenAI GPT 5.4 Mini,2.0,6219.0,1346.0,1205.0,7565.0,0.01072125,18528.0,0.0
48,Claude Haiku 4.5,1.0,4220.0,1186.0,547.0,5406.0,0.01015,13881.0,0.0
48,Gemini 3 Flash Preview,2.0,8442.0,1372.0,1097.0,9814.0,0.008337,8794.0,0.0
48,Grok 4.3,7.0,24982.0,4089.0,3449.0,29071.0,0.035536399999999996,54560.0,4.0
48,OpenAI GPT 5.4 Mini,8.0,26366.0,13111.0,12244.0,39477.0,0.07877400000000001,126538.0,0.0
49,Claude Haiku 4.5,1.0,4820.0,1766.0,789.0,6586.0,0.01365,19456.0,0.0
50,Claude Haiku 4.5,1.0,4706.0,1011.0,621.0,5717.0,0.009761,10815.0,0.0
50,Gemini 3 Flash Preview,2.0,9371.0,3996.0,3625.0,13367.0,0.0166735,22947.0,0.0
51,Grok 4.3,2.0,7413.0,991.0,847.0,8404.0,0.011474950000000001,11944.0,0.0
52,Claude Haiku 4.5,1.0,4443.0,2286.0,1267.0,6729.0,0.015873,24470.0,0.0
52,Gemini 3 Flash Preview,1.0,4321.0,601.0,454.0,4922.0,0.0039635,3950.0,0.0
52,Grok 4.3,1.0,3610.0,951.0,888.0,4561.0,0.0061508,13462.0,0.0
52,OpenAI GPT 5.4 Mini,3.0,10121.0,2902.0,2705.0,13023.0,0.02064975,33656.0,0.0
53,Claude Haiku 4.5,1.0,4435.0,1733.0,883.0,6168.0,0.0131,18190.0,0.0
54,Claude Haiku 4.5,1.0,4423.0,936.0,512.0,5359.0,0.009103,14291.0,0.0
54,Gemini 3 Flash Preview,5.0,21811.0,8403.0,7327.0,30214.0,0.034291550000000004,51221.0,2.0
54,Grok 4.3,2.0,7485.0,1650.0,1379.0,9135.0,0.01240605,19102.0,0.0
55,Claude Haiku 4.5,1.0,4430.0,978.0,597.0,5408.0,0.00932,11266.0,0.0
55,Gemini 3 Flash Preview,3.0,12791.0,2352.0,1901.0,15143.0,0.013451500000000002,15687.0,0.0
55,Grok 4.3,3.0,11104.0,1356.0,1102.0,12460.0,0.0164636,20031.0,0.0
55,OpenAI GPT 5.4 Mini,3.0,10177.0,3155.0,2910.0,13332.0,0.021830250000000002,32203.0,0.0
56,OpenAI GPT 5.4 Mini,1.0,3578.0,455.0,390.0,4033.0,0.004731,4429.0,0.0
57,Claude Haiku 4.5,1.0,4784.0,1470.0,688.0,6254.0,0.012134,15481.0,0.0
58,Gemini 3 Flash Preview,1.0,4434.0,1516.0,1342.0,5950.0,0.006765,9640.0,0.0
59,Grok 4.3,1.0,3766.0,861.0,764.0,4627.0,0.005852,10588.0,0.0
60,OpenAI GPT 5.4 Mini,3.0,9912.0,5134.0,4880.0,15046.0,0.030537,60213.0,0.0
61,Claude Haiku 4.5,2.0,8668.0,5993.0,2482.0,14661.0,0.038633,58450.0,0.0
62,Claude Haiku 4.5,2.0,9236.0,4512.0,2445.0,13748.0,0.031796,51315.0,0.0
62,Gemini 3 Flash Preview,4.0,17984.0,10086.0,9001.0,28070.0,0.03924999999999999,62093.0,0.0
62,OpenAI GPT 5.4 Mini,2.0,6747.0,1005.0,832.0,7752.0,0.00768195,14149.0,2.0
63,Grok 4.3,2.0,8517.0,1585.0,1324.0,10102.0,0.01353355,24146.0,0.0
64,OpenAI GPT 5.4 Mini,1.0,3643.0,809.0,748.0,4452.0,0.00637275,10457.0,0.0
65,Claude Haiku 4.5,1.0,4910.0,1802.0,679.0,6712.0,0.01392,17906.0,0.0
66,Gemini 3 Flash Preview,7.0,35067.0,14406.0,13150.0,49473.0,0.0607515,80450.0,0.0
66,OpenAI GPT 5.4 Mini,1.0,3625.0,886.0,761.0,4511.0,0.00670575,11816.0,0.0
67,Grok 4.3,1.0,4419.0,501.0,416.0,4920.0,0.00664185,8010.0,0.0
68,Grok 4.3,6.0,24085.0,3094.0,2554.0,27179.0,0.033204449999999996,42069.0,0.0
68,OpenAI GPT 5.4 Mini,7.0,26077.0,11593.0,10651.0,37670.0,0.07172624999999999,116028.0,0.0
69,Claude Haiku 4.5,1.0,5017.0,1515.0,905.0,6532.0,0.012592,15889.0,0.0
70,Claude Haiku 4.5,1.0,4948.0,4307.0,1388.0,9255.0,0.026483,39984.0,0.0
70,Gemini 3 Flash Preview,4.0,20107.0,8051.0,7227.0,28158.0,0.0342065,45949.0,0.0
71,Grok 4.3,2.0,9135.0,1380.0,1171.0,10515.0,0.01459995,19015.0,2.0
72,OpenAI GPT 5.4 Mini,1.0,3774.0,624.0,553.0,4398.0,0.0056385,8539.0,0.0
73,Claude Haiku 4.5,1.0,4921.0,1606.0,624.0,6527.0,0.012951,17928.0,0.0
74,Gemini 3 Flash Preview,1.0,4824.0,1062.0,888.0,5886.0,0.005598,7062.0,0.0
75,Grok 4.3,2.0,8424.0,1527.0,1279.0,9951.0,0.0136755,21965.0,0.0
76,Gemini 3 Flash Preview,1.0,4422.0,2589.0,2346.0,7011.0,0.009978,15161.0,0.0
76,Grok 4.3,3.0,11621.0,1300.0,953.0,12921.0,0.01696985,21360.0,0.0
76,OpenAI GPT 5.4 Mini,10.0,35862.0,25055.0,23940.0,60917.0,0.13739759999999998,244429.0,2.0
77,Claude Haiku 4.5,1.0,4930.0,4146.0,1593.0,9076.0,0.02566,37918.0,0.0
78,Claude Haiku 4.5,2.0,10015.0,6801.0,3000.0,16816.0,0.044020000000000004,73846.0,0.0
78,Gemini 3 Flash Preview,5.0,26620.0,6947.0,5784.0,33567.0,0.03232805,42146.0,2.0
79,Grok 4.3,2.0,8776.0,1424.0,1224.0,10200.0,0.013857999999999999,22007.0,0.0
80,OpenAI GPT 5.4 Mini,1.0,3804.0,297.0,248.0,4101.0,0.0041895,3535.0,0.0
81,OpenAI GPT 5.4 Mini,1.0,3734.0,308.0,251.0,4042.0,0.0041865,5840.0,0.0
82,Claude Haiku 4.5,1.0,5034.0,1583.0,737.0,6617.0,0.012949,17551.0,0.0
83,Gemini 3 Flash Preview,2.0,9962.0,4135.0,3806.0,14097.0,0.017386,22789.0,0.0
84,Grok 4.3,2.0,8529.0,1406.0,1233.0,9935.0,0.01310105,18835.0,0.0
85,OpenAI GPT 5.4 Mini,1.0,3519.0,366.0,308.0,3885.0,0.00428625,5650.0,0.0
86,Claude Haiku 4.5,1.0,4858.0,2516.0,1079.0,7374.0,0.017438,26526.0,0.0
87,Gemini 3 Flash Preview,2.0,9980.0,2943.0,2450.0,12923.0,0.013819000000000001,16125.0,0.0
88,Grok 4.3,1.0,4084.0,378.0,293.0,4462.0,0.0051092,6669.0,0.0
89,OpenAI GPT 5.4 Mini,1.0,3273.0,367.0,317.0,3640.0,0.00410625,4924.0,0.0
90,Claude Haiku 4.5,1.0,4557.0,1398.0,690.0,5955.0,0.011547,14719.0,0.0
91,Claude Haiku 4.5,1.0,4575.0,1148.0,632.0,5723.0,0.010315,12130.0,0.0
92,Gemini 3 Flash Preview,1.0,4849.0,2178.0,1975.0,7027.0,0.0089585,12800.0,0.0
93,Grok 4.3,2.0,8128.0,1306.0,1112.0,9434.0,0.0131562,15622.0,0.0
94,Grok 4.3,1.0,3965.0,456.0,370.0,4421.0,0.00596185,5743.0,0.0
95,OpenAI GPT 5.4 Mini,1.0,3235.0,310.0,253.0,3545.0,0.00382125,4290.0,0.0
96,Claude Haiku 4.5,1.0,4579.0,1194.0,551.0,5773.0,0.010549,13067.0,0.0
97,Gemini 3 Flash Preview,1.0,4887.0,2484.0,2303.0,7371.0,0.0098955,14474.0,0.0
98,Grok 4.3,5.0,18696.0,4016.0,3473.0,22712.0,0.0323348,43699.0,0.0
99,OpenAI GPT 5.4 Mini,1.0,3291.0,2027.0,1958.0,5318.0,0.01158975,18717.0,0.0
100,Claude Haiku 4.5,1.0,4666.0,1287.0,615.0,5953.0,0.011101,13641.0,0.0
101,Claude Haiku 4.5,1.0,4688.0,2666.0,1124.0,7354.0,0.018018,26356.0,0.0
102,Gemini 3 Flash Preview,2.0,10025.0,5355.0,4921.0,15380.0,0.0210775,29441.0,0.0
103,Grok 4.3,2.0,8367.0,1559.0,1345.0,9926.0,0.01408745,17726.0,0.0
104,OpenAI GPT 5.4 Mini,1.0,3343.0,1031.0,969.0,4374.0,0.00714675,14494.0,0.0
105,Claude Haiku 4.5,1.0,4764.0,2770.0,1181.0,7534.0,0.018614,26129.0,0.0
107,Grok 4.3,1.0,3955.0,460.0,360.0,4415.0,0.00595935,6541.0,0.0
108,OpenAI GPT 5.4 Mini,6.0,19916.0,4987.0,4475.0,24903.0,0.037378499999999995,54825.0,0.0
109,OpenAI GPT 5.4 Mini,4.0,12892.0,3790.0,3361.0,16682.0,0.024823200000000004,38358.0,2.0
110,Claude Haiku 4.5,1.0,4670.0,1513.0,663.0,6183.0,0.012235,15556.0,0.0
111,Gemini 3 Flash Preview,1.0,4243.0,1300.0,1145.0,5543.0,0.0060215,7899.0,0.0
112,Grok 4.3,2.0,8356.0,1221.0,1013.0,9577.0,0.012086300000000001,13961.0,0.0
113,Claude Haiku 4.5,1.0,4712.0,2889.0,866.0,7601.0,0.019157,30341.0,0.0
114,Claude Haiku 4.5,1.0,4695.0,1453.0,683.0,6148.0,0.01196,16606.0,0.0
115,Gemini 3 Flash Preview,2.0,9307.0,3454.0,3100.0,12761.0,0.0150155,20734.0,0.0
116,Grok 4.3,1.0,4046.0,532.0,437.0,4578.0,0.0058499,6841.0,0.0
117,Grok 4.3,1.0,4036.0,546.0,456.0,4582.0,0.0058724,6681.0,0.0
118,Claude Haiku 4.5,1.0,4630.0,1296.0,650.0,5926.0,0.01111,13548.0,0.0
119,Claude Haiku 4.5,2.0,9745.0,4677.0,2202.0,14422.0,0.03313,48741.0,0.0
119,Gemini 3 Flash Preview,4.0,20992.0,8487.0,7464.0,29479.0,0.0350462,46376.0,0.0
119,Grok 4.3,1.0,3961.0,961.0,858.0,4922.0,0.00681615,8023.0,0.0
120,Grok 4.3,2.0,9119.0,1339.0,1084.0,10458.0,0.01373825,16031.0,0.0
121,Claude Haiku 4.5,3.0,15111.0,4327.0,2028.0,19438.0,0.036746,48916.0,0.0
121,Gemini 3 Flash Preview,1.0,4618.0,816.0,692.0,5434.0,0.004757,5570.0,0.0
121,Grok 4.3,1.0,4070.0,435.0,333.0,4505.0,0.0060406,6176.0,0.0
122,Claude Haiku 4.5,1.0,5265.0,1372.0,645.0,6637.0,0.012125,14303.0,0.0
123,Claude Haiku 4.5,1.0,5259.0,3272.0,1091.0,8531.0,0.021619,30861.0,0.0
124,Claude Haiku 4.5,1.0,5156.0,1760.0,988.0,6916.0,0.013956,17754.0,0.0
124,Gemini 3 Flash Preview,9.0,46089.0,14258.0,12701.0,60347.0,0.0658185,87292.0,0.0
125,Grok 4.3,1.0,4381.0,578.0,490.0,4959.0,0.00678685,5743.0,0.0
126,Claude Haiku 4.5,1.0,5124.0,1290.0,604.0,6414.0,0.011574,14092.0,0.0
127,Claude Haiku 4.5,1.0,5103.0,1357.0,633.0,6460.0,0.011888,14616.0,0.0
129,Grok 4.3,1.0,4320.0,429.0,341.0,4749.0,0.0063381,6825.0,0.0
130,Claude Haiku 4.5,1.0,5109.0,2102.0,801.0,7211.0,0.015619,21606.0,0.0
131,Gemini 3 Flash Preview,1.0,4307.0,889.0,711.0,5196.0,0.0048205,5408.0,0.0
132,Grok 4.3,2.0,9264.0,1607.0,1398.0,10871.0,0.0137159,15496.0,0.0
133,Claude Haiku 4.5,1.0,4978.0,1543.0,617.0,6521.0,0.012693,16221.0,0.0
134,Gemini 3 Flash Preview,1.0,4117.0,871.0,729.0,4988.0,0.0046715,4633.0,0.0
135,Grok 4.3,1.0,4354.0,716.0,617.0,5070.0,0.0058885,5096.0,0.0
136,Claude Haiku 4.5,1.0,4722.0,2434.0,976.0,7156.0,0.016892,26511.0,0.0
137,Gemini 3 Flash Preview,2.0,8896.0,3634.0,3298.0,12530.0,0.015349999999999999,20087.0,0.0
138,Grok 4.3,1.0,4304.0,511.0,401.0,4815.0,0.0065231,6690.0,0.0
139,Claude Haiku 4.5,1.0,4751.0,1778.0,736.0,6529.0,0.013641,18823.0,0.0
140,Claude Haiku 4.5,2.0,9926.0,6174.0,2682.0,16100.0,0.040796,63271.0,0.0
140,Gemini 3 Flash Preview,3.0,15622.0,6495.0,5680.0,22117.0,0.025473950000000002,34033.0,0.0
141,Grok 4.3,1.0,4726.0,714.0,628.0,5440.0,0.0068189,6425.0,0.0
142,Claude Haiku 4.5,3.0,16133.0,8997.0,3777.0,25130.0,0.061118,89450.0,0.0
143,Claude Haiku 4.5,2.0,11205.0,10666.0,4926.0,21871.0,0.06453500000000001,107616.0,0.0
143,Gemini 3 Flash Preview,7.0,41912.0,10596.0,9018.0,52508.0,0.05183185,62260.0,0.0
144,Grok 4.3,1.0,5110.0,627.0,525.0,5737.0,0.006611,7542.0,0.0
145,Claude Haiku 4.5,1.0,5717.0,1545.0,720.0,7262.0,0.013442,16516.0,0.0
146,Gemini 3 Flash Preview,1.0,5716.0,1244.0,1096.0,6960.0,0.00659,7463.0,0.0
147,Gemini 3 Flash Preview,1.0,5709.0,1714.0,1534.0,7423.0,0.0079965,10144.0,0.0
148,Grok 4.3,1.0,4838.0,777.0,683.0,5615.0,0.0078556,8468.0,0.0
149,Claude Haiku 4.5,1.0,5677.0,2926.0,1228.0,8603.0,0.020307,27430.0,0.0
150,Gemini 3 Flash Preview,1.0,5764.0,2004.0,1818.0,7768.0,0.008894,12922.0,0.0
151,Grok 4.3,1.0,4865.0,700.0,627.0,5565.0,0.00769685,6295.0,0.0
152,Claude Haiku 4.5,1.0,5712.0,2975.0,1121.0,8687.0,0.020587,29858.0,0.0
153,Gemini 3 Flash Preview,1.0,5760.0,1280.0,1104.0,7040.0,0.00672,7908.0,0.0
154,Grok 4.3,1.0,4442.0,386.0,294.0,4828.0,0.0063831,5115.0,0.0
155,Claude Haiku 4.5,1.0,5215.0,2660.0,861.0,7875.0,0.018515,27470.0,0.0
156,Gemini 3 Flash Preview,1.0,5206.0,1058.0,872.0,6264.0,0.005777,6204.0,0.0
157,Grok 4.3,1.0,4368.0,595.0,489.0,4963.0,0.0056035,3755.0,0.0
158,Claude Haiku 4.5,2.0,10301.0,3152.0,1311.0,13453.0,0.026061,34137.0,0.0
159,Gemini 3 Flash Preview,1.0,5198.0,1129.0,941.0,6327.0,0.005986,6784.0,0.0
160,Grok 4.3,1.0,4382.0,823.0,718.0,5205.0,0.006191,7808.0,0.0
161,Grok 4.3,1.0,4401.0,517.0,416.0,4918.0,0.00544975,4678.0,0.0
162,Grok 4.3,1.0,4401.0,350.0,249.0,4751.0,0.00583865,3592.0,0.0
163,Claude Haiku 4.5,1.0,5135.0,1235.0,618.0,6370.0,0.01131,13161.0,0.0
164,Claude Haiku 4.5,2.0,9991.0,3678.0,1465.0,13669.0,0.028381000000000003,37448.0,0.0
164,Gemini 3 Flash Preview,5.0,26771.0,6585.0,5598.0,33356.0,0.033140499999999996,40521.0,0.0
165,Grok 4.3,1.0,4684.0,344.0,256.0,5028.0,0.0065806,4495.0,0.0
166,Claude Haiku 4.5,1.0,4891.0,5819.0,2341.0,10710.0,0.033986,56867.0,0.0
167,Gemini 3 Flash Preview,9.0,48591.0,13051.0,11321.0,61642.0,0.06344849999999999,72283.0,0.0
167,Grok 4.3,1.0,4184.0,1118.0,1007.0,5302.0,0.0078906,8110.0,0.0
168,Grok 4.3,3.0,13893.0,2380.0,2075.0,16273.0,0.02056105,21700.0,0.0
169,Gemini 3 Flash Preview,1.0,5094.0,1145.0,1010.0,6239.0,0.005982,6950.0,0.0
170,Grok 4.3,1.0,4705.0,1046.0,946.0,5751.0,0.00795865,10544.0,0.0
171,Gemini 3 Flash Preview,3.0,15576.0,1928.0,1363.0,17504.0,0.013572,13306.0,0.0
172,Grok 4.3,1.0,4461.0,384.0,307.0,4845.0,0.00640185,4197.0,0.0
173,Gemini 3 Flash Preview,2.0,9280.0,3239.0,2825.0,12519.0,0.014357,18167.0,0.0
174,Grok 4.3,1.0,4615.0,530.0,453.0,5145.0,0.00622015,5530.0,0.0
175,Grok 4.3,1.0,4568.0,527.0,444.0,5095.0,0.0061539,5168.0,0.0
176,Gemini 3 Flash Preview,1.0,4736.0,158.0,0.0,4894.0,0.002842,1705.0,0.0
177,Grok 4.3,1.0,4456.0,400.0,316.0,4856.0,0.0050916,4505.0,0.0
178,Gemini 3 Flash Preview,1.0,4703.0,1230.0,1095.0,5933.0,0.0060415,7294.0,0.0
179,Grok 4.3,1.0,4443.0,532.0,453.0,4975.0,0.00601015,5025.0,0.0
180,Gemini 3 Flash Preview,2.0,9706.0,2206.0,1830.0,11912.0,0.011471,12181.0,0.0
181,Grok 4.3,1.0,4244.0,717.0,635.0,4961.0,0.0062239,7563.0,0.0
182,Grok 4.3,1.0,4174.0,508.0,418.0,4682.0,0.0059499,5126.0,0.0
183,Gemini 3 Flash Preview,9.0,44415.0,7302.0,6047.0,51717.0,0.0441135,42801.0,0.0
184,Grok 4.3,1.0,4221.0,636.0,549.0,4857.0,0.00632865,7980.0,0.0
185,Gemini 3 Flash Preview,1.0,4834.0,1228.0,1022.0,6062.0,0.006101,7146.0,0.0
186,Grok 4.3,1.0,4245.0,857.0,767.0,5102.0,0.00650795,6867.0,0.0
187,Gemini 3 Flash Preview,1.0,4796.0,2371.0,2170.0,7167.0,0.009511,12170.0,0.0
188,Grok 4.3,1.0,4226.0,667.0,573.0,4893.0,0.0058748,5833.0,0.0
189,Grok 4.3,1.0,4206.0,488.0,398.0,4694.0,0.0052007,4611.0,0.0
190,Gemini 3 Flash Preview,1.0,4825.0,2371.0,2220.0,7196.0,0.0095255,13132.0,0.0
191,Grok 4.3,1.0,4235.0,735.0,651.0,4970.0,0.00625765,5535.0,0.0
192,Grok 4.3,2.0,8449.0,952.0,773.0,9401.0,0.012269249999999999,9391.0,2.0
193,Grok 4.3,1.0,4183.0,501.0,412.0,4684.0,0.00554045,4430.0,0.0
194,Gemini 3 Flash Preview,1.0,4827.0,1089.0,930.0,5916.0,0.0056805,6274.0,0.0
195,Grok 4.3,1.0,4086.0,490.0,395.0,4576.0,0.0054589,4351.0,0.0
196,Grok 4.3,1.0,4065.0,547.0,453.0,4612.0,0.00557515,5725.0,0.0
197,Gemini 3 Flash Preview,2.0,9584.0,2664.0,2318.0,12248.0,0.012784,14692.0,0.0
198,Grok 4.3,1.0,4078.0,362.0,268.0,4440.0,0.0047257,3583.0,0.0
199,Grok 4.3,1.0,4064.0,669.0,571.0,4733.0,0.0056773,7188.0,0.0
200,Gemini 3 Flash Preview,4.0,19514.0,2752.0,2151.0,22266.0,0.018012999999999998,17401.0,0.0
201,Grok 4.3,1.0,4136.0,755.0,677.0,4891.0,0.0059823,6842.0,0.0
202,Gemini 3 Flash Preview,1.0,4839.0,1548.0,1361.0,6387.0,0.0070635,8971.0,0.0
203,Gemini 3 Flash Preview,1.0,4857.0,1311.0,1148.0,6168.0,0.0063615,7177.0,0.0
204,Grok 4.3,1.0,4173.0,861.0,783.0,5034.0,0.00629355,7721.0,0.0
206,Gemini 3 Flash Preview,1.0,4815.0,1229.0,1046.0,6044.0,0.0060945,6513.0,0.0
207,Grok 4.3,1.0,3496.0,815.0,749.0,4311.0,0.0058699,8663.0,0.0
208,Gemini 3 Flash Preview,1.0,4872.0,411.0,273.0,5283.0,0.003669,3231.0,0.0
209,Grok 4.3,1.0,3496.0,509.0,427.0,4005.0,0.0055081,6444.0,0.0
210,Gemini 3 Flash Preview,1.0,4828.0,751.0,580.0,5579.0,0.004667,4922.0,0.0
211,Grok 4.3,3.0,11039.0,1851.0,1588.0,12890.0,0.01647745,21474.0,0.0
213,Grok 4.3,1.0,4080.0,512.0,432.0,4592.0,0.0051032,5771.0,0.0
214,Gemini 3 Flash Preview,1.0,3966.0,552.0,416.0,4518.0,0.003639,3886.0,0.0
215,Grok 4.3,1.0,4029.0,724.0,632.0,4753.0,0.00556945,5704.0,0.0
216,Grok 4.3,1.0,3991.0,463.0,380.0,4454.0,0.00486945,4921.0,0.0
217,Gemini 3 Flash Preview,1.0,3904.0,759.0,634.0,4663.0,0.004229,4505.0,0.0
218,Grok 4.3,1.0,3981.0,569.0,440.0,4550.0,0.00512195,4700.0,0.0
219,Grok 4.3,1.0,3991.0,600.0,514.0,4591.0,0.00521195,4098.0,0.0
220,Gemini 3 Flash Preview,3.0,12481.0,1816.0,1385.0,14297.0,0.011688500000000001,12281.0,0.0
221,Grok 4.3,1.0,4024.0,590.0,506.0,4614.0,0.0052282,5832.0,0.0
222,Gemini 3 Flash Preview,1.0,4738.0,781.0,637.0,5519.0,0.004712,4714.0,0.0
223,Grok 4.3,1.0,4039.0,807.0,721.0,4846.0,0.00578945,8889.0,0.0
224,Gemini 3 Flash Preview,1.0,4698.0,842.0,661.0,5540.0,0.004875,5331.0,0.0
225,Grok 4.3,1.0,4008.0,721.0,632.0,4729.0,0.0055357,5592.0,0.0
226,Gemini 3 Flash Preview,1.0,4703.0,894.0,753.0,5597.0,0.0050335,4912.0,0.0
227,Grok 4.3,1.0,4016.0,786.0,693.0,4802.0,0.0057082,8409.0,0.0
228,Grok 4.3,1.0,4019.0,555.0,470.0,4574.0,0.00513445,4952.0,0.0
229,Gemini 3 Flash Preview,1.0,4657.0,759.0,606.0,5416.0,0.0046055,4306.0,0.0
