seq,turn_index,event_id,event_type,actor_player_id,player_id,delta,reason
262,16,mock-44910-42ec35c5-evt-000262,CASH_CHANGED,Grok 4.3,Grok 4.3,18,RENT
277,17,mock-44910-42ec35c5-evt-000277,CASH_CHANGED,Grok 4.3,Grok 4.3,-260,buy_property
291,18,mock-44910-42ec35c5-evt-000291,CASH_CHANGED,Grok 4.3,Grok 4.3,-400,buy_property
305,20,mock-44910-42ec35c5-evt-000305,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-50,RENT
306,20,mock-44910-42ec35c5-evt-000306,CASH_CHANGED,Grok 4.3,Grok 4.3,50,RENT
316,21,mock-44910-42ec35c5-evt-000316,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,200,PASS_GO
318,21,mock-44910-42ec35c5-evt-000318,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-100,HOSPITAL_FEES_PAY_100
373,22,mock-44910-42ec35c5-evt-000373,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-100,auction_bid
426,25,mock-44910-42ec35c5-evt-000426,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-200,TAX_INCOME
435,26,mock-44910-42ec35c5-evt-000435,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-8,RENT
436,26,mock-44910-42ec35c5-evt-000436,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,8,RENT
496,28,mock-44910-42ec35c5-evt-000496,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-50,JAIL_FINE
504,28,mock-44910-42ec35c5-evt-000504,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-220,buy_property
534,32,mock-44910-42ec35c5-evt-000534,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-22,RENT
535,32,mock-44910-42ec35c5-evt-000535,CASH_CHANGED,Grok 4.3,Grok 4.3,22,RENT
552,33,mock-44910-42ec35c5-evt-000552,CASH_CHANGED,Grok 4.3,Grok 4.3,-50,JAIL_FINE
568,34,mock-44910-42ec35c5-evt-000568,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-300,buy_property
577,35,mock-44910-42ec35c5-evt-000577,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-50,RENT
578,35,mock-44910-42ec35c5-evt-000578,CASH_CHANGED,Grok 4.3,Grok 4.3,50,RENT
590,36,mock-44910-42ec35c5-evt-000590,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,-50,JAIL_FINE
594,36,mock-44910-42ec35c5-evt-000594,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,25,CONSULTANCY_FEE_COLLECT_25
608,37,mock-44910-42ec35c5-evt-000608,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-300,buy_property
617,38,mock-44910-42ec35c5-evt-000617,CASH_CHANGED,Grok 4.3,Grok 4.3,-22,RENT
618,38,mock-44910-42ec35c5-evt-000618,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,22,RENT
628,39,mock-44910-42ec35c5-evt-000628,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,200,PASS_GO
629,39,mock-44910-42ec35c5-evt-000629,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-200,TAX_INCOME
724,40,mock-44910-42ec35c5-evt-000724,CASH_CHANGED,Grok 4.3,Grok 4.3,-300,auction_bid
734,41,mock-44910-42ec35c5-evt-000734,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-50,RENT
735,41,mock-44910-42ec35c5-evt-000735,CASH_CHANGED,Grok 4.3,Grok 4.3,50,RENT
745,42,mock-44910-42ec35c5-evt-000745,CASH_CHANGED,Grok 4.3,Grok 4.3,-26,RENT
746,42,mock-44910-42ec35c5-evt-000746,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,26,RENT
764,44,mock-44910-42ec35c5-evt-000764,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,-26,RENT
765,44,mock-44910-42ec35c5-evt-000765,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,26,RENT
785,45,mock-44910-42ec35c5-evt-000785,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,200,PASS_GO
794,46,mock-44910-42ec35c5-evt-000794,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-25,RENT
795,46,mock-44910-42ec35c5-evt-000795,CASH_CHANGED,Grok 4.3,Grok 4.3,25,RENT
856,47,mock-44910-42ec35c5-evt-000856,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-222,auction_bid
902,48,mock-44910-42ec35c5-evt-000902,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-110,auction_bid
952,49,mock-44910-42ec35c5-evt-000952,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,-50,RENT
953,49,mock-44910-42ec35c5-evt-000953,CASH_CHANGED,Grok 4.3,Grok 4.3,50,RENT
963,50,mock-44910-42ec35c5-evt-000963,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-20,RENT
964,50,mock-44910-42ec35c5-evt-000964,CASH_CHANGED,Grok 4.3,Grok 4.3,20,RENT
984,51,mock-44910-42ec35c5-evt-000984,CASH_CHANGED,Grok 4.3,Grok 4.3,200,PASS_GO
990,51,mock-44910-42ec35c5-evt-000990,CASH_CHANGED,Grok 4.3,Grok 4.3,-200,buy_property
1025,52,mock-44910-42ec35c5-evt-001025,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-180,auction_bid
1035,53,mock-44910-42ec35c5-evt-001035,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,200,PASS_GO
1038,53,mock-44910-42ec35c5-evt-001038,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,-200,TAX_INCOME
1077,54,mock-44910-42ec35c5-evt-001077,CASH_CHANGED,Grok 4.3,Grok 4.3,-220,TRADE_CASH
1078,54,mock-44910-42ec35c5-evt-001078,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,220,TRADE_CASH
1134,55,mock-44910-42ec35c5-evt-001134,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-90,auction_bid
1152,57,mock-44910-42ec35c5-evt-001152,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,-10,RENT
1153,57,mock-44910-42ec35c5-evt-001153,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,10,RENT
1163,58,mock-44910-42ec35c5-evt-001163,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-50,RENT
1164,58,mock-44910-42ec35c5-evt-001164,CASH_CHANGED,Grok 4.3,Grok 4.3,50,RENT
1174,59,mock-44910-42ec35c5-evt-001174,CASH_CHANGED,Grok 4.3,Grok 4.3,-12,RENT
1175,59,mock-44910-42ec35c5-evt-001175,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,12,RENT
1185,60,mock-44910-42ec35c5-evt-001185,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-100,TAX_LUXURY
1190,60,mock-44910-42ec35c5-evt-001190,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,30,MORTGAGE
1196,60,mock-44910-42ec35c5-evt-001196,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,150,MORTGAGE
1211,61,mock-44910-42ec35c5-evt-001211,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,-200,buy_property
1220,62,mock-44910-42ec35c5-evt-001220,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,200,PASS_GO
1221,62,mock-44910-42ec35c5-evt-001221,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-50,RENT
1222,62,mock-44910-42ec35c5-evt-001222,CASH_CHANGED,Grok 4.3,Grok 4.3,50,RENT
1244,62,mock-44910-42ec35c5-evt-001244,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-150,TRADE_CASH
1245,62,mock-44910-42ec35c5-evt-001245,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,150,TRADE_CASH
1269,63,mock-44910-42ec35c5-evt-001269,CASH_CHANGED,Grok 4.3,Grok 4.3,-150,BUILD
1279,64,mock-44910-42ec35c5-evt-001279,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,200,PASS_GO
1280,64,mock-44910-42ec35c5-evt-001280,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-50,RENT
1281,64,mock-44910-42ec35c5-evt-001281,CASH_CHANGED,Grok 4.3,Grok 4.3,50,RENT
1304,66,mock-44910-42ec35c5-evt-001304,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-140,buy_property
1320,66,mock-44910-42ec35c5-evt-001320,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-169,TRADE_CASH
1321,66,mock-44910-42ec35c5-evt-001321,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,169,TRADE_CASH
1327,66,mock-44910-42ec35c5-evt-001327,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,175,MORTGAGE
1333,66,mock-44910-42ec35c5-evt-001333,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,75,MORTGAGE
1339,66,mock-44910-42ec35c5-evt-001339,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-200,BUILD
1358,68,mock-44910-42ec35c5-evt-001358,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-14,RENT
1359,68,mock-44910-42ec35c5-evt-001359,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,14,RENT
1431,69,mock-44910-42ec35c5-evt-001431,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,200,PASS_GO
1440,70,mock-44910-42ec35c5-evt-001440,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-16,RENT
1441,70,mock-44910-42ec35c5-evt-001441,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,16,RENT
1457,70,mock-44910-42ec35c5-evt-001457,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,150,MORTGAGE
1463,70,mock-44910-42ec35c5-evt-001463,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-100,BUILD
1473,71,mock-44910-42ec35c5-evt-001473,CASH_CHANGED,Grok 4.3,Grok 4.3,200,PASS_GO
1482,72,mock-44910-42ec35c5-evt-001482,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-40,RENT
1483,72,mock-44910-42ec35c5-evt-001483,CASH_CHANGED,Grok 4.3,Grok 4.3,40,RENT
1493,73,mock-44910-42ec35c5-evt-001493,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,-8,RENT
1494,73,mock-44910-42ec35c5-evt-001494,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,8,RENT
1504,74,mock-44910-42ec35c5-evt-001504,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-22,RENT
1505,74,mock-44910-42ec35c5-evt-001505,CASH_CHANGED,Grok 4.3,Grok 4.3,22,RENT
1515,75,mock-44910-42ec35c5-evt-001515,CASH_CHANGED,Grok 4.3,Grok 4.3,-8,RENT
1516,75,mock-44910-42ec35c5-evt-001516,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,8,RENT
1522,75,mock-44910-42ec35c5-evt-001522,CASH_CHANGED,Grok 4.3,Grok 4.3,-300,BUILD
1537,76,mock-44910-42ec35c5-evt-001537,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,130,MORTGAGE
1563,76,mock-44910-42ec35c5-evt-001563,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,140,MORTGAGE
1590,76,mock-44910-42ec35c5-evt-001590,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-400,TRADE_CASH
1591,76,mock-44910-42ec35c5-evt-001591,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,400,TRADE_CASH
1594,76,mock-44910-42ec35c5-evt-001594,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-13,MORTGAGE_INTEREST
1595,76,mock-44910-42ec35c5-evt-001595,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-15,MORTGAGE_INTEREST
1600,76,mock-44910-42ec35c5-evt-001600,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-165,UNMORTGAGE
1610,77,mock-44910-42ec35c5-evt-001610,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,-14,RENT
1611,77,mock-44910-42ec35c5-evt-001611,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,14,RENT
1645,78,mock-44910-42ec35c5-evt-001645,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-300,BUILD
1661,79,mock-44910-42ec35c5-evt-001661,CASH_CHANGED,Grok 4.3,Grok 4.3,100,MORTGAGE
1663,79,mock-44910-42ec35c5-evt-001663,CASH_CHANGED,Grok 4.3,Grok 4.3,-14,RENT
1664,79,mock-44910-42ec35c5-evt-001664,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,14,RENT
1682,81,mock-44910-42ec35c5-evt-001682,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,200,PASS_GO
1701,83,mock-44910-42ec35c5-evt-001701,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-50,RENT
1702,83,mock-44910-42ec35c5-evt-001702,CASH_CHANGED,Grok 4.3,Grok 4.3,50,RENT
1708,83,mock-44910-42ec35c5-evt-001708,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-100,BUILD
1722,84,mock-44910-42ec35c5-evt-001722,CASH_CHANGED,Grok 4.3,Grok 4.3,-111,UNMORTGAGE
1748,87,mock-44910-42ec35c5-evt-001748,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,200,PASS_GO
1750,87,mock-44910-42ec35c5-evt-001750,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,50,SALE_OF_STOCK_COLLECT_50
1755,87,mock-44910-42ec35c5-evt-001755,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-200,BUILD
1774,89,mock-44910-42ec35c5-evt-001774,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-14,RENT
1775,89,mock-44910-42ec35c5-evt-001775,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,14,RENT
1785,90,mock-44910-42ec35c5-evt-001785,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,-50,RENT
1786,90,mock-44910-42ec35c5-evt-001786,CASH_CHANGED,Grok 4.3,Grok 4.3,50,RENT
1796,91,mock-44910-42ec35c5-evt-001796,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,200,PASS_GO
1797,91,mock-44910-42ec35c5-evt-001797,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,-6,RENT
1798,91,mock-44910-42ec35c5-evt-001798,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,6,RENT
1816,93,mock-44910-42ec35c5-evt-001816,CASH_CHANGED,Grok 4.3,Grok 4.3,200,PASS_GO
1818,93,mock-44910-42ec35c5-evt-001818,CASH_CHANGED,Grok 4.3,Grok 4.3,-120,STREET_REPAIRS
1823,93,mock-44910-42ec35c5-evt-001823,CASH_CHANGED,Grok 4.3,Grok 4.3,-150,BUILD
1833,94,mock-44910-42ec35c5-evt-001833,CASH_CHANGED,Grok 4.3,Grok 4.3,-6,RENT
1834,94,mock-44910-42ec35c5-evt-001834,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,6,RENT
1844,95,mock-44910-42ec35c5-evt-001844,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-90,RENT
1845,95,mock-44910-42ec35c5-evt-001845,CASH_CHANGED,Grok 4.3,Grok 4.3,90,RENT
1855,96,mock-44910-42ec35c5-evt-001855,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,-14,RENT
1856,96,mock-44910-42ec35c5-evt-001856,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,14,RENT
1867,97,mock-44910-42ec35c5-evt-001867,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,10,BEAUTY_CONTEST_COLLECT_10
1880,98,mock-44910-42ec35c5-evt-001880,CASH_CHANGED,Grok 4.3,Grok 4.3,100,MORTGAGE
1886,98,mock-44910-42ec35c5-evt-001886,CASH_CHANGED,Grok 4.3,Grok 4.3,100,MORTGAGE
1892,98,mock-44910-42ec35c5-evt-001892,CASH_CHANGED,Grok 4.3,Grok 4.3,130,MORTGAGE
1898,98,mock-44910-42ec35c5-evt-001898,CASH_CHANGED,Grok 4.3,Grok 4.3,200,MORTGAGE
1900,98,mock-44910-42ec35c5-evt-001900,CASH_CHANGED,Grok 4.3,Grok 4.3,-450,RENT
1901,98,mock-44910-42ec35c5-evt-001901,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,450,RENT
1920,100,mock-44910-42ec35c5-evt-001920,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,150,BUILDING_LOAN_MATURES_RECEIVE_150
1937,102,mock-44910-42ec35c5-evt-001937,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-90,RENT
1938,102,mock-44910-42ec35c5-evt-001938,CASH_CHANGED,Grok 4.3,Grok 4.3,90,RENT
1944,102,mock-44910-42ec35c5-evt-001944,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-300,BUILD
1960,103,mock-44910-42ec35c5-evt-001960,CASH_CHANGED,Grok 4.3,Grok 4.3,-150,BUILD
1970,104,mock-44910-42ec35c5-evt-001970,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,200,PASS_GO
1980,105,mock-44910-42ec35c5-evt-001980,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,100,INHERIT_100
1995,107,mock-44910-42ec35c5-evt-001995,CASH_CHANGED,Grok 4.3,Grok 4.3,-26,RENT
1996,107,mock-44910-42ec35c5-evt-001996,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,26,RENT
2011,108,mock-44910-42ec35c5-evt-002011,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-60,buy_property
2016,108,mock-44910-42ec35c5-evt-002016,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-33,UNMORTGAGE
2022,108,mock-44910-42ec35c5-evt-002022,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-400,BUILD
2029,108,mock-44910-42ec35c5-evt-002029,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-100,BUILD
2036,108,mock-44910-42ec35c5-evt-002036,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,150,MORTGAGE
2050,109,mock-44910-42ec35c5-evt-002050,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,50,SELL_BUILDING
2057,109,mock-44910-42ec35c5-evt-002057,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,200,SELL_BUILDING
2064,109,mock-44910-42ec35c5-evt-002064,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,-438,BANKRUPTCY_CASH
2065,109,mock-44910-42ec35c5-evt-002065,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,438,BANKRUPTCY_CASH
2066,109,mock-44910-42ec35c5-evt-002066,CASH_CHANGED,OpenAI GPT 5.4 Mini,OpenAI GPT 5.4 Mini,0,BANKRUPTCY
2076,110,mock-44910-42ec35c5-evt-002076,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,200,PASS_GO
2092,112,mock-44910-42ec35c5-evt-002092,CASH_CHANGED,Grok 4.3,Grok 4.3,200,PASS_GO
2097,112,mock-44910-42ec35c5-evt-002097,CASH_CHANGED,Grok 4.3,Grok 4.3,-150,BUILD
2135,116,mock-44910-42ec35c5-evt-002135,CASH_CHANGED,Grok 4.3,Grok 4.3,-6,RENT
2136,116,mock-44910-42ec35c5-evt-002136,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,6,RENT
2162,119,mock-44910-42ec35c5-evt-002162,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-50,RENT
2163,119,mock-44910-42ec35c5-evt-002163,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,50,RENT
2185,119,mock-44910-42ec35c5-evt-002185,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-200,TRADE_CASH
2186,119,mock-44910-42ec35c5-evt-002186,CASH_CHANGED,Grok 4.3,Grok 4.3,200,TRADE_CASH
2189,119,mock-44910-42ec35c5-evt-002189,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-20,MORTGAGE_INTEREST
2212,120,mock-44910-42ec35c5-evt-002212,CASH_CHANGED,Grok 4.3,Grok 4.3,-300,BUILD
2244,121,mock-44910-42ec35c5-evt-002244,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-10,auction_bid
2254,122,mock-44910-42ec35c5-evt-002254,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,-100,TAX_LUXURY
2263,123,mock-44910-42ec35c5-evt-002263,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,200,PASS_GO
2264,123,mock-44910-42ec35c5-evt-002264,CASH_CHANGED,Claude Haiku 4.5,Claude Haiku 4.5,-8,RENT
2265,123,mock-44910-42ec35c5-evt-002265,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,8,RENT
2280,124,mock-44910-42ec35c5-evt-002280,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,-320,buy_property
2295,124,mock-44910-42ec35c5-evt-002295,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,75,MORTGAGE
2301,124,mock-44910-42ec35c5-evt-002301,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,30,MORTGAGE
2307,124,mock-44910-42ec35c5-evt-002307,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,30,MORTGAGE
2313,124,mock-44910-42ec35c5-evt-002313,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,50,MORTGAGE
2319,124,mock-44910-42ec35c5-evt-002319,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,60,MORTGAGE
2325,124,mock-44910-42ec35c5-evt-002325,CASH_CHANGED,Gemini 3 Flash Preview,Gemini 3 Flash Preview,160,MORTGAGE
