evidence_id,evidence_kind,turn_start,turn_end,decision_id,event_id_start,event_id_end,event_seq_start,event_seq_end,actor_or_parties,topic,primary_path,supporting_paths,review_status
decision-000010,decision,4,4,mock-321229807-87ca99d7-dec-000010,mock-321229807-87ca99d7-evt-000074,mock-321229807-87ca99d7-evt-000078,74,78,Gemini 3.1 Pro Preview,TRADE_RESPONSE_DECISION -> counter_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000011,decision,4,4,mock-321229807-87ca99d7-dec-000011,mock-321229807-87ca99d7-evt-000079,mock-321229807-87ca99d7-evt-000083,79,83,OpenAI GPT 5.5,TRADE_RESPONSE_DECISION -> counter_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000012,decision,4,4,mock-321229807-87ca99d7-dec-000012,mock-321229807-87ca99d7-evt-000084,mock-321229807-87ca99d7-evt-000088,84,88,Gemini 3.1 Pro Preview,TRADE_RESPONSE_DECISION -> counter_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000013,decision,4,4,mock-321229807-87ca99d7-dec-000013,mock-321229807-87ca99d7-evt-000089,mock-321229807-87ca99d7-evt-000096,89,96,OpenAI GPT 5.5,TRADE_RESPONSE_DECISION -> accept_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000014,decision,4,4,mock-321229807-87ca99d7-dec-000014,mock-321229807-87ca99d7-evt-000097,mock-321229807-87ca99d7-evt-000101,97,101,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> propose_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000015,decision,4,4,mock-321229807-87ca99d7-dec-000015,mock-321229807-87ca99d7-evt-000102,mock-321229807-87ca99d7-evt-000106,102,106,Grok 4.3,TRADE_RESPONSE_DECISION -> reject_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000016,decision,4,4,mock-321229807-87ca99d7-dec-000016,mock-321229807-87ca99d7-evt-000107,mock-321229807-87ca99d7-evt-000111,107,111,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> propose_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000017,decision,4,4,mock-321229807-87ca99d7-dec-000017,mock-321229807-87ca99d7-evt-000112,mock-321229807-87ca99d7-evt-000116,112,116,Grok 4.3,TRADE_RESPONSE_DECISION -> reject_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000018,decision,4,4,mock-321229807-87ca99d7-dec-000018,mock-321229807-87ca99d7-evt-000117,mock-321229807-87ca99d7-evt-000121,117,121,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> propose_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000019,decision,4,4,mock-321229807-87ca99d7-dec-000019,mock-321229807-87ca99d7-evt-000122,mock-321229807-87ca99d7-evt-000126,122,126,Grok 4.3,TRADE_RESPONSE_DECISION -> reject_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000020,decision,4,4,mock-321229807-87ca99d7-dec-000020,mock-321229807-87ca99d7-evt-000127,mock-321229807-87ca99d7-evt-000131,127,131,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> propose_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000021,decision,4,4,mock-321229807-87ca99d7-dec-000021,mock-321229807-87ca99d7-evt-000132,mock-321229807-87ca99d7-evt-000136,132,136,Claude Opus 4.8,TRADE_RESPONSE_DECISION -> reject_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000022,decision,4,4,mock-321229807-87ca99d7-dec-000022,mock-321229807-87ca99d7-evt-000137,mock-321229807-87ca99d7-evt-000140,137,140,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> end_turn,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000023,decision,5,5,mock-321229807-87ca99d7-dec-000023,mock-321229807-87ca99d7-evt-000147,mock-321229807-87ca99d7-evt-000150,147,150,Claude Opus 4.8,POST_TURN_ACTION_DECISION -> end_turn,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000024,decision,6,6,mock-321229807-87ca99d7-dec-000024,mock-321229807-87ca99d7-evt-000155,mock-321229807-87ca99d7-evt-000160,155,160,Gemini 3.1 Pro Preview,BUY_OR_AUCTION_DECISION -> buy_property,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000025,decision,6,6,mock-321229807-87ca99d7-dec-000025,mock-321229807-87ca99d7-evt-000161,mock-321229807-87ca99d7-evt-000164,161,164,Gemini 3.1 Pro Preview,POST_TURN_ACTION_DECISION -> end_turn,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000026,decision,7,7,mock-321229807-87ca99d7-dec-000026,mock-321229807-87ca99d7-evt-000169,mock-321229807-87ca99d7-evt-000174,169,174,Grok 4.3,BUY_OR_AUCTION_DECISION -> buy_property,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000027,decision,7,7,mock-321229807-87ca99d7-dec-000027,mock-321229807-87ca99d7-evt-000175,mock-321229807-87ca99d7-evt-000178,175,178,Grok 4.3,POST_TURN_ACTION_DECISION -> end_turn,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000028,decision,8,8,mock-321229807-87ca99d7-dec-000028,mock-321229807-87ca99d7-evt-000183,mock-321229807-87ca99d7-evt-000188,183,188,OpenAI GPT 5.5,BUY_OR_AUCTION_DECISION -> buy_property,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000029,decision,8,8,mock-321229807-87ca99d7-dec-000029,mock-321229807-87ca99d7-evt-000189,mock-321229807-87ca99d7-evt-000193,189,193,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> propose_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000030,decision,8,8,mock-321229807-87ca99d7-dec-000030,mock-321229807-87ca99d7-evt-000194,mock-321229807-87ca99d7-evt-000198,194,198,Grok 4.3,TRADE_RESPONSE_DECISION -> reject_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000031,decision,8,8,mock-321229807-87ca99d7-dec-000031,mock-321229807-87ca99d7-evt-000199,mock-321229807-87ca99d7-evt-000203,199,203,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> propose_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000032,decision,8,8,mock-321229807-87ca99d7-dec-000032,mock-321229807-87ca99d7-evt-000204,mock-321229807-87ca99d7-evt-000208,204,208,Gemini 3.1 Pro Preview,TRADE_RESPONSE_DECISION -> counter_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000033,decision,8,8,mock-321229807-87ca99d7-dec-000033,mock-321229807-87ca99d7-evt-000209,mock-321229807-87ca99d7-evt-000215,209,215,OpenAI GPT 5.5,TRADE_RESPONSE_DECISION -> accept_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000034,decision,8,8,mock-321229807-87ca99d7-dec-000034,mock-321229807-87ca99d7-evt-000216,mock-321229807-87ca99d7-evt-000219,216,219,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> end_turn,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000035,decision,10,10,mock-321229807-87ca99d7-dec-000035,mock-321229807-87ca99d7-evt-000235,mock-321229807-87ca99d7-evt-000238,235,238,Gemini 3.1 Pro Preview,POST_TURN_ACTION_DECISION -> end_turn,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000036,decision,11,11,mock-321229807-87ca99d7-dec-000036,mock-321229807-87ca99d7-evt-000246,mock-321229807-87ca99d7-evt-000249,246,249,Grok 4.3,POST_TURN_ACTION_DECISION -> end_turn,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000037,decision,12,12,mock-321229807-87ca99d7-dec-000037,mock-321229807-87ca99d7-evt-000257,mock-321229807-87ca99d7-evt-000261,257,261,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> propose_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000038,decision,12,12,mock-321229807-87ca99d7-dec-000038,mock-321229807-87ca99d7-evt-000262,mock-321229807-87ca99d7-evt-000266,262,266,Claude Opus 4.8,TRADE_RESPONSE_DECISION -> reject_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000039,decision,12,12,mock-321229807-87ca99d7-dec-000039,mock-321229807-87ca99d7-evt-000267,mock-321229807-87ca99d7-evt-000271,267,271,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> propose_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000040,decision,12,12,mock-321229807-87ca99d7-dec-000040,mock-321229807-87ca99d7-evt-000272,mock-321229807-87ca99d7-evt-000276,272,276,Gemini 3.1 Pro Preview,TRADE_RESPONSE_DECISION -> counter_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000041,decision,12,12,mock-321229807-87ca99d7-dec-000041,mock-321229807-87ca99d7-evt-000277,mock-321229807-87ca99d7-evt-000284,277,284,OpenAI GPT 5.5,TRADE_RESPONSE_DECISION -> accept_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000042,decision,12,12,mock-321229807-87ca99d7-dec-000042,mock-321229807-87ca99d7-evt-000285,mock-321229807-87ca99d7-evt-000290,285,290,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> mortgage_property,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000043,decision,12,12,mock-321229807-87ca99d7-dec-000043,mock-321229807-87ca99d7-evt-000291,mock-321229807-87ca99d7-evt-000296,291,296,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> mortgage_property,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000044,decision,12,12,mock-321229807-87ca99d7-dec-000044,mock-321229807-87ca99d7-evt-000297,mock-321229807-87ca99d7-evt-000302,297,302,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> mortgage_property,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000045,decision,12,12,mock-321229807-87ca99d7-dec-000045,mock-321229807-87ca99d7-evt-000303,mock-321229807-87ca99d7-evt-000308,303,308,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> mortgage_property,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000046,decision,12,12,mock-321229807-87ca99d7-dec-000046,mock-321229807-87ca99d7-evt-000309,mock-321229807-87ca99d7-evt-000313,309,313,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> propose_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000047,decision,12,12,mock-321229807-87ca99d7-dec-000047,mock-321229807-87ca99d7-evt-000314,mock-321229807-87ca99d7-evt-000318,314,318,Grok 4.3,TRADE_RESPONSE_DECISION -> reject_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000048,decision,12,12,mock-321229807-87ca99d7-dec-000048,mock-321229807-87ca99d7-evt-000319,mock-321229807-87ca99d7-evt-000323,319,323,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> propose_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000049,decision,12,12,mock-321229807-87ca99d7-dec-000049,mock-321229807-87ca99d7-evt-000324,mock-321229807-87ca99d7-evt-000328,324,328,Grok 4.3,TRADE_RESPONSE_DECISION -> reject_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000050,decision,12,12,mock-321229807-87ca99d7-dec-000050,mock-321229807-87ca99d7-evt-000329,mock-321229807-87ca99d7-evt-000333,329,333,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> propose_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000051,decision,12,12,mock-321229807-87ca99d7-dec-000051,mock-321229807-87ca99d7-evt-000334,mock-321229807-87ca99d7-evt-000338,334,338,Claude Opus 4.8,TRADE_RESPONSE_DECISION -> reject_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000052,decision,12,12,mock-321229807-87ca99d7-dec-000052,mock-321229807-87ca99d7-evt-000339,mock-321229807-87ca99d7-evt-000342,339,342,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> end_turn,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000053,decision,13,13,mock-321229807-87ca99d7-dec-000053,mock-321229807-87ca99d7-evt-000345,mock-321229807-87ca99d7-evt-000351,345,351,Claude Opus 4.8,JAIL_DECISION -> pay_jail_fine,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000054,decision,13,13,mock-321229807-87ca99d7-dec-000054,mock-321229807-87ca99d7-evt-000352,mock-321229807-87ca99d7-evt-000357,352,357,Claude Opus 4.8,BUY_OR_AUCTION_DECISION -> buy_property,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000055,decision,13,13,mock-321229807-87ca99d7-dec-000055,mock-321229807-87ca99d7-evt-000358,mock-321229807-87ca99d7-evt-000361,358,361,Claude Opus 4.8,POST_TURN_ACTION_DECISION -> end_turn,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000056,decision,14,14,mock-321229807-87ca99d7-dec-000056,mock-321229807-87ca99d7-evt-000366,mock-321229807-87ca99d7-evt-000371,366,371,Gemini 3.1 Pro Preview,BUY_OR_AUCTION_DECISION -> buy_property,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000057,decision,14,14,mock-321229807-87ca99d7-dec-000057,mock-321229807-87ca99d7-evt-000372,mock-321229807-87ca99d7-evt-000375,372,375,Gemini 3.1 Pro Preview,POST_TURN_ACTION_DECISION -> end_turn,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000058,decision,15,15,mock-321229807-87ca99d7-dec-000058,mock-321229807-87ca99d7-evt-000380,mock-321229807-87ca99d7-evt-000385,380,385,Grok 4.3,BUY_OR_AUCTION_DECISION -> buy_property,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000059,decision,15,15,mock-321229807-87ca99d7-dec-000059,mock-321229807-87ca99d7-evt-000386,mock-321229807-87ca99d7-evt-000389,386,389,Grok 4.3,POST_TURN_ACTION_DECISION -> end_turn,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000060,decision,16,16,mock-321229807-87ca99d7-dec-000060,mock-321229807-87ca99d7-evt-000394,mock-321229807-87ca99d7-evt-000399,394,399,OpenAI GPT 5.5,BUY_OR_AUCTION_DECISION -> buy_property,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000061,decision,16,16,mock-321229807-87ca99d7-dec-000061,mock-321229807-87ca99d7-evt-000400,mock-321229807-87ca99d7-evt-000404,400,404,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> propose_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000062,decision,16,16,mock-321229807-87ca99d7-dec-000062,mock-321229807-87ca99d7-evt-000405,mock-321229807-87ca99d7-evt-000409,405,409,Grok 4.3,TRADE_RESPONSE_DECISION -> reject_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000063,decision,16,16,mock-321229807-87ca99d7-dec-000063,mock-321229807-87ca99d7-evt-000410,mock-321229807-87ca99d7-evt-000414,410,414,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> propose_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000064,decision,16,16,mock-321229807-87ca99d7-dec-000064,mock-321229807-87ca99d7-evt-000415,mock-321229807-87ca99d7-evt-000419,415,419,Grok 4.3,TRADE_RESPONSE_DECISION -> reject_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000065,decision,16,16,mock-321229807-87ca99d7-dec-000065,mock-321229807-87ca99d7-evt-000420,mock-321229807-87ca99d7-evt-000424,420,424,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> propose_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000066,decision,16,16,mock-321229807-87ca99d7-dec-000066,mock-321229807-87ca99d7-evt-000425,mock-321229807-87ca99d7-evt-000429,425,429,Claude Opus 4.8,TRADE_RESPONSE_DECISION -> reject_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000067,decision,16,16,mock-321229807-87ca99d7-dec-000067,mock-321229807-87ca99d7-evt-000430,mock-321229807-87ca99d7-evt-000434,430,434,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> propose_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000068,decision,16,16,mock-321229807-87ca99d7-dec-000068,mock-321229807-87ca99d7-evt-000435,mock-321229807-87ca99d7-evt-000439,435,439,Gemini 3.1 Pro Preview,TRADE_RESPONSE_DECISION -> counter_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000069,decision,16,16,mock-321229807-87ca99d7-dec-000069,mock-321229807-87ca99d7-evt-000440,mock-321229807-87ca99d7-evt-000447,440,447,OpenAI GPT 5.5,TRADE_RESPONSE_DECISION -> accept_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000070,decision,16,16,mock-321229807-87ca99d7-dec-000070,mock-321229807-87ca99d7-evt-000448,mock-321229807-87ca99d7-evt-000451,448,451,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> end_turn,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000071,decision,17,17,mock-321229807-87ca99d7-dec-000071,mock-321229807-87ca99d7-evt-000459,mock-321229807-87ca99d7-evt-000462,459,462,Claude Opus 4.8,POST_TURN_ACTION_DECISION -> end_turn,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000072,decision,18,18,mock-321229807-87ca99d7-dec-000072,mock-321229807-87ca99d7-evt-000467,mock-321229807-87ca99d7-evt-000472,467,472,Gemini 3.1 Pro Preview,BUY_OR_AUCTION_DECISION -> buy_property,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000073,decision,18,18,mock-321229807-87ca99d7-dec-000073,mock-321229807-87ca99d7-evt-000473,mock-321229807-87ca99d7-evt-000476,473,476,Gemini 3.1 Pro Preview,POST_TURN_ACTION_DECISION -> end_turn,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000074,decision,19,19,mock-321229807-87ca99d7-dec-000074,mock-321229807-87ca99d7-evt-000482,mock-321229807-87ca99d7-evt-000485,482,485,Grok 4.3,POST_TURN_ACTION_DECISION -> end_turn,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000075,decision,20,20,mock-321229807-87ca99d7-dec-000075,mock-321229807-87ca99d7-evt-000490,mock-321229807-87ca99d7-evt-000495,490,495,OpenAI GPT 5.5,BUY_OR_AUCTION_DECISION -> buy_property,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000076,decision,20,20,mock-321229807-87ca99d7-dec-000076,mock-321229807-87ca99d7-evt-000496,mock-321229807-87ca99d7-evt-000501,496,501,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> mortgage_property,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000077,decision,20,20,mock-321229807-87ca99d7-dec-000077,mock-321229807-87ca99d7-evt-000502,mock-321229807-87ca99d7-evt-000506,502,506,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> propose_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000078,decision,20,20,mock-321229807-87ca99d7-dec-000078,mock-321229807-87ca99d7-evt-000507,mock-321229807-87ca99d7-evt-000511,507,511,Claude Opus 4.8,TRADE_RESPONSE_DECISION -> reject_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000079,decision,20,20,mock-321229807-87ca99d7-dec-000079,mock-321229807-87ca99d7-evt-000512,mock-321229807-87ca99d7-evt-000516,512,516,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> propose_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000080,decision,20,20,mock-321229807-87ca99d7-dec-000080,mock-321229807-87ca99d7-evt-000517,mock-321229807-87ca99d7-evt-000521,517,521,Claude Opus 4.8,TRADE_RESPONSE_DECISION -> reject_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000081,decision,20,20,mock-321229807-87ca99d7-dec-000081,mock-321229807-87ca99d7-evt-000522,mock-321229807-87ca99d7-evt-000526,522,526,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> propose_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000082,decision,20,20,mock-321229807-87ca99d7-dec-000082,mock-321229807-87ca99d7-evt-000527,mock-321229807-87ca99d7-evt-000531,527,531,Grok 4.3,TRADE_RESPONSE_DECISION -> reject_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
decision-000083,decision,20,20,mock-321229807-87ca99d7-dec-000083,mock-321229807-87ca99d7-evt-000532,mock-321229807-87ca99d7-evt-000536,532,536,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION -> propose_trade,analysis/review/review_packet.jsonl,run/actions.jsonl;run/decisions.jsonl;run/events.jsonl,reviewed
