player_id,decision_type,action,calls,cost,latency_ms,avg_latency_ms
Gemini 3.1 Pro Preview,POST_TURN_ACTION_DECISION,end_turn,33,0.45988599999999996,200416.0,6073.21
Gemini 3.1 Pro Preview,POST_TURN_ACTION_DECISION,unmortgage_property,5,0.07647,26463.0,5292.6
Gemini 3.1 Pro Preview,POST_TURN_ACTION_DECISION,propose_trade,3,0.063986,31968.0,10656.0
Gemini 3.1 Pro Preview,POST_TURN_ACTION_DECISION,build_houses_or_hotel,3,0.068816,32900.0,10966.67
Gemini 3.1 Pro Preview,POST_TURN_ACTION_DECISION,mortgage_property,3,0.074718,38191.0,12730.33
Gemini 3.1 Pro Preview,TRADE_RESPONSE_DECISION,reject_trade,15,0.24612,107068.0,7137.87
Gemini 3.1 Pro Preview,TRADE_RESPONSE_DECISION,counter_trade,9,0.25202,113278.0,12586.44
Gemini 3.1 Pro Preview,TRADE_RESPONSE_DECISION,accept_trade,7,0.108344,44675.0,6382.14
Grok 4.3,AUCTION_BID_DECISION,bid_auction,9,0.0534003,47597.0,5288.56
Grok 4.3,AUCTION_BID_DECISION,drop_out,7,0.03803235,40128.0,5732.57
Grok 4.3,BUY_OR_AUCTION_DECISION,buy_property,3,0.01397305,14560.0,4853.33
Grok 4.3,BUY_OR_AUCTION_DECISION,start_auction,2,0.011323,10436.0,5218.0
Grok 4.3,LIQUIDATION_DECISION,mortgage_property,4,0.0224449,19758.0,4939.5
Grok 4.3,POST_TURN_ACTION_DECISION,end_turn,25,0.15693100000000004,140255.0,5610.2
Grok 4.3,POST_TURN_ACTION_DECISION,mortgage_property,1,0.00692115,6036.0,6036.0
Grok 4.3,TRADE_RESPONSE_DECISION,reject_trade,15,0.0941905,77958.0,5197.2
Grok 4.3,TRADE_RESPONSE_DECISION,counter_trade,2,0.014871200000000001,17384.0,8692.0
OpenAI GPT 5.5,AUCTION_BID_DECISION,bid_auction,18,0.55526,229780.0,12765.56
OpenAI GPT 5.5,AUCTION_BID_DECISION,drop_out,5,0.13958800000000002,44090.0,8818.0
OpenAI GPT 5.5,BUY_OR_AUCTION_DECISION,buy_property,7,0.10969999999999999,28431.0,4061.57
OpenAI GPT 5.5,BUY_OR_AUCTION_DECISION,start_auction,5,0.11872,37040.0,7408.0
OpenAI GPT 5.5,JAIL_DECISION,roll_for_doubles,6,0.168125,82007.0,13667.83
OpenAI GPT 5.5,JAIL_DECISION,pay_jail_fine,2,0.03919,9548.0,4774.0
OpenAI GPT 5.5,LIQUIDATION_DECISION,sell_houses_or_hotel,3,0.36709400000000003,260215.0,86738.33
OpenAI GPT 5.5,POST_TURN_ACTION_DECISION,end_turn,65,3.598700999999999,2236929.0,34414.29
OpenAI GPT 5.5,POST_TURN_ACTION_DECISION,propose_trade,65,5.627558,4127132.0,63494.34
OpenAI GPT 5.5,POST_TURN_ACTION_DECISION,build_houses_or_hotel,28,1.6791199999999997,1063581.0,37985.04
OpenAI GPT 5.5,POST_TURN_ACTION_DECISION,mortgage_property,24,1.2577799999999997,779095.0,32462.29
OpenAI GPT 5.5,POST_TURN_ACTION_DECISION,unmortgage_property,16,1.224014,896602.0,56037.62
OpenAI GPT 5.5,POST_TURN_ACTION_DECISION,sell_houses_or_hotel,3,0.30509,234885.0,78295.0
OpenAI GPT 5.5,TRADE_RESPONSE_DECISION,counter_trade,11,0.640055,350578.0,31870.73
OpenAI GPT 5.5,TRADE_RESPONSE_DECISION,accept_trade,2,0.076455,36573.0,18286.5
