turn_index,seq,event_type,player_id,property_space,bid,winning_bid,reason
47,1223,AUCTION_ENDED,OpenAI GPT 5.5,INDIANA_AVENUE,,55,SOLD
53,1369,AUCTION_STARTED,,PENNSYLVANIA_RAILROAD,,,
53,1374,AUCTION_BID_PLACED,,PENNSYLVANIA_RAILROAD,,,
53,1379,AUCTION_PLAYER_DROPPED,OpenAI GPT 5.5,PENNSYLVANIA_RAILROAD,,,
53,1384,AUCTION_PLAYER_DROPPED,Claude Opus 4.8,PENNSYLVANIA_RAILROAD,,,
53,1389,AUCTION_BID_PLACED,,PENNSYLVANIA_RAILROAD,,,
53,1394,AUCTION_BID_PLACED,,PENNSYLVANIA_RAILROAD,,,
53,1399,AUCTION_BID_PLACED,,PENNSYLVANIA_RAILROAD,,,
53,1404,AUCTION_BID_PLACED,,PENNSYLVANIA_RAILROAD,,,
53,1409,AUCTION_BID_PLACED,,PENNSYLVANIA_RAILROAD,,,
53,1414,AUCTION_BID_PLACED,,PENNSYLVANIA_RAILROAD,,,
53,1419,AUCTION_PLAYER_DROPPED,Gemini 3.1 Pro Preview,PENNSYLVANIA_RAILROAD,,,
53,1422,AUCTION_ENDED,Grok 4.3,PENNSYLVANIA_RAILROAD,,140,SOLD
55,1453,AUCTION_STARTED,,READING_RAILROAD,,,
55,1458,AUCTION_PLAYER_DROPPED,Claude Opus 4.8,READING_RAILROAD,,,
55,1463,AUCTION_BID_PLACED,,READING_RAILROAD,,,
55,1468,AUCTION_BID_PLACED,,READING_RAILROAD,,,
55,1473,AUCTION_BID_PLACED,,READING_RAILROAD,,,
55,1478,AUCTION_PLAYER_DROPPED,Gemini 3.1 Pro Preview,READING_RAILROAD,,,
55,1483,AUCTION_PLAYER_DROPPED,Grok 4.3,READING_RAILROAD,,,
55,1486,AUCTION_ENDED,OpenAI GPT 5.5,READING_RAILROAD,,150,SOLD
59,1570,AUCTION_STARTED,,ELECTRIC_COMPANY,,,
59,1575,AUCTION_BID_PLACED,,ELECTRIC_COMPANY,,,
59,1580,AUCTION_BID_PLACED,,ELECTRIC_COMPANY,,,
59,1585,AUCTION_PLAYER_DROPPED,Grok 4.3,ELECTRIC_COMPANY,,,
59,1590,AUCTION_BID_PLACED,,ELECTRIC_COMPANY,,,
59,1595,AUCTION_PLAYER_DROPPED,Claude Opus 4.8,ELECTRIC_COMPANY,,,
59,1600,AUCTION_BID_PLACED,,ELECTRIC_COMPANY,,,
59,1605,AUCTION_BID_PLACED,,ELECTRIC_COMPANY,,,
59,1610,AUCTION_PLAYER_DROPPED,Gemini 3.1 Pro Preview,ELECTRIC_COMPANY,,,
59,1613,AUCTION_ENDED,OpenAI GPT 5.5,ELECTRIC_COMPANY,,118,SOLD
