turn_index,seq,event_type,player_id,space_index,space_name,space_group,price,from_player_id,to_player_id
25,485,PROPERTY_TRANSFERRED,Gemini 3.1 Pro Preview,19,New York Avenue,ORANGE,,OpenAI GPT 5.5,Gemini 3.1 Pro Preview
25,505,PROPERTY_TRANSFERRED,Gemini 3.1 Pro Preview,3,Baltic Avenue,BROWN,,OpenAI GPT 5.5,Gemini 3.1 Pro Preview
29,551,PROPERTY_UNMORTGAGED,Gemini 3.1 Pro Preview,31,Pacific Avenue,GREEN,,,
29,557,PROPERTY_UNMORTGAGED,Gemini 3.1 Pro Preview,19,New York Avenue,ORANGE,,,
31,627,PROPERTY_PURCHASED,Gemini 3.1 Pro Preview,37,Park Place,DARK_BLUE,650,,
33,661,PROPERTY_PURCHASED,Claude Opus 4.8,6,Oriental Avenue,LIGHT_BLUE,100,,
35,719,PROPERTY_TRANSFERRED,Claude Opus 4.8,9,Connecticut Avenue,LIGHT_BLUE,,Gemini 3.1 Pro Preview,Claude Opus 4.8
36,732,PROPERTY_PURCHASED,Grok 4.3,16,St. James Place,ORANGE,180,,
37,792,PROPERTY_PURCHASED,Claude Opus 4.8,18,Tennessee Avenue,ORANGE,280,,
40,861,PROPERTY_PURCHASED,OpenAI GPT 5.5,28,Water Works,UTILITY,1,,
41,907,PROPERTY_PURCHASED,Grok 4.3,26,Atlantic Avenue,YELLOW,100,,
41,915,PROPERTY_MORTGAGED,OpenAI GPT 5.5,28,Water Works,UTILITY,,,
45,1140,PROPERTY_PURCHASED,Gemini 3.1 Pro Preview,1,Mediterranean Avenue,BROWN,30,,
47,1221,PROPERTY_PURCHASED,OpenAI GPT 5.5,23,Indiana Avenue,RED,55,,
48,1240,PROPERTY_MORTGAGED,Gemini 3.1 Pro Preview,19,New York Avenue,ORANGE,,,
50,1266,PROPERTY_MORTGAGED,OpenAI GPT 5.5,23,Indiana Avenue,RED,,,
53,1420,PROPERTY_PURCHASED,Grok 4.3,15,Pennsylvania Railroad,RAILROAD,140,,
54,1439,PROPERTY_MORTGAGED,Grok 4.3,16,St. James Place,ORANGE,,,
55,1484,PROPERTY_PURCHASED,OpenAI GPT 5.5,5,Reading Railroad,RAILROAD,150,,
55,1498,PROPERTY_UNMORTGAGED,OpenAI GPT 5.5,23,Indiana Avenue,RED,,,
55,1504,PROPERTY_UNMORTGAGED,OpenAI GPT 5.5,28,Water Works,UTILITY,,,
59,1611,PROPERTY_PURCHASED,OpenAI GPT 5.5,12,Electric Company,UTILITY,118,,
64,1669,PROPERTY_MORTGAGED,Claude Opus 4.8,29,Marvin Gardens,YELLOW,,,
64,1675,PROPERTY_MORTGAGED,Claude Opus 4.8,24,Illinois Avenue,RED,,,
64,1681,PROPERTY_MORTGAGED,Claude Opus 4.8,18,Tennessee Avenue,ORANGE,,,
64,1687,PROPERTY_MORTGAGED,Claude Opus 4.8,21,Kentucky Avenue,RED,,,
64,1693,PROPERTY_MORTGAGED,Claude Opus 4.8,25,B. & O. Railroad,RAILROAD,,,
77,1834,PROPERTY_MORTGAGED,Gemini 3.1 Pro Preview,39,Boardwalk,DARK_BLUE,,,
77,1840,PROPERTY_MORTGAGED,Gemini 3.1 Pro Preview,37,Park Place,DARK_BLUE,,,
79,1902,PROPERTY_TRANSFERRED,OpenAI GPT 5.5,19,New York Avenue,ORANGE,,Gemini 3.1 Pro Preview,OpenAI GPT 5.5
79,1931,PROPERTY_TRANSFERRED,OpenAI GPT 5.5,16,St. James Place,ORANGE,,Grok 4.3,OpenAI GPT 5.5
79,1958,PROPERTY_UNMORTGAGED,OpenAI GPT 5.5,16,St. James Place,ORANGE,,,
79,1974,PROPERTY_UNMORTGAGED,OpenAI GPT 5.5,19,New York Avenue,ORANGE,,,
79,2027,PROPERTY_TRANSFERRED,OpenAI GPT 5.5,29,Marvin Gardens,YELLOW,,Claude Opus 4.8,OpenAI GPT 5.5
79,2034,PROPERTY_UNMORTGAGED,OpenAI GPT 5.5,29,Marvin Gardens,YELLOW,,,
79,2097,PROPERTY_TRANSFERRED,Gemini 3.1 Pro Preview,12,Electric Company,UTILITY,,OpenAI GPT 5.5,Gemini 3.1 Pro Preview
79,2098,PROPERTY_TRANSFERRED,Gemini 3.1 Pro Preview,28,Water Works,UTILITY,,OpenAI GPT 5.5,Gemini 3.1 Pro Preview
79,2099,PROPERTY_TRANSFERRED,OpenAI GPT 5.5,31,Pacific Avenue,GREEN,,Gemini 3.1 Pro Preview,OpenAI GPT 5.5
79,2100,PROPERTY_TRANSFERRED,OpenAI GPT 5.5,32,North Carolina Avenue,GREEN,,Gemini 3.1 Pro Preview,OpenAI GPT 5.5
81,2154,PROPERTY_UNMORTGAGED,Gemini 3.1 Pro Preview,39,Boardwalk,DARK_BLUE,,,
81,2160,PROPERTY_UNMORTGAGED,Gemini 3.1 Pro Preview,37,Park Place,DARK_BLUE,,,
81,2166,PROPERTY_UNMORTGAGED,Gemini 3.1 Pro Preview,3,Baltic Avenue,BROWN,,,
88,2313,PROPERTY_TRANSFERRED,OpenAI GPT 5.5,1,Mediterranean Avenue,BROWN,,Gemini 3.1 Pro Preview,OpenAI GPT 5.5
88,2314,PROPERTY_TRANSFERRED,OpenAI GPT 5.5,3,Baltic Avenue,BROWN,,Gemini 3.1 Pro Preview,OpenAI GPT 5.5
88,2334,PROPERTY_MORTGAGED,OpenAI GPT 5.5,5,Reading Railroad,RAILROAD,,,
88,2340,PROPERTY_MORTGAGED,OpenAI GPT 5.5,23,Indiana Avenue,RED,,,
88,2346,PROPERTY_MORTGAGED,OpenAI GPT 5.5,29,Marvin Gardens,YELLOW,,,
88,2352,PROPERTY_MORTGAGED,OpenAI GPT 5.5,16,St. James Place,ORANGE,,,
88,2358,PROPERTY_MORTGAGED,OpenAI GPT 5.5,19,New York Avenue,ORANGE,,,
88,2364,PROPERTY_MORTGAGED,OpenAI GPT 5.5,31,Pacific Avenue,GREEN,,,
89,2391,PROPERTY_MORTGAGED,OpenAI GPT 5.5,32,North Carolina Avenue,GREEN,,,
91,2413,PROPERTY_MORTGAGED,Gemini 3.1 Pro Preview,12,Electric Company,UTILITY,,,
91,2419,PROPERTY_MORTGAGED,Gemini 3.1 Pro Preview,28,Water Works,UTILITY,,,
98,2496,PROPERTY_MORTGAGED,Grok 4.3,26,Atlantic Avenue,YELLOW,,,
98,2502,PROPERTY_MORTGAGED,Grok 4.3,27,Ventnor Avenue,YELLOW,,,
99,2539,PROPERTY_UNMORTGAGED,OpenAI GPT 5.5,5,Reading Railroad,RAILROAD,,,
99,2545,PROPERTY_UNMORTGAGED,OpenAI GPT 5.5,19,New York Avenue,ORANGE,,,
99,2551,PROPERTY_UNMORTGAGED,OpenAI GPT 5.5,23,Indiana Avenue,RED,,,
99,2557,PROPERTY_UNMORTGAGED,OpenAI GPT 5.5,16,St. James Place,ORANGE,,,
99,2563,PROPERTY_UNMORTGAGED,OpenAI GPT 5.5,29,Marvin Gardens,YELLOW,,,
103,2622,PROPERTY_MORTGAGED,Gemini 3.1 Pro Preview,39,Boardwalk,DARK_BLUE,,,
103,2628,PROPERTY_MORTGAGED,Gemini 3.1 Pro Preview,37,Park Place,DARK_BLUE,,,
105,2683,PROPERTY_UNMORTGAGED,OpenAI GPT 5.5,31,Pacific Avenue,GREEN,,,
105,2689,PROPERTY_UNMORTGAGED,OpenAI GPT 5.5,32,North Carolina Avenue,GREEN,,,
106,2712,PROPERTY_PURCHASED,OpenAI GPT 5.5,34,Pennsylvania Avenue,GREEN,320,,
106,2719,PROPERTY_MORTGAGED,OpenAI GPT 5.5,16,St. James Place,ORANGE,,,
106,2733,PROPERTY_MORTGAGED,OpenAI GPT 5.5,29,Marvin Gardens,YELLOW,,,
106,2739,PROPERTY_MORTGAGED,OpenAI GPT 5.5,23,Indiana Avenue,RED,,,
106,2751,PROPERTY_MORTGAGED,OpenAI GPT 5.5,19,New York Avenue,ORANGE,,,
106,2757,PROPERTY_MORTGAGED,OpenAI GPT 5.5,5,Reading Railroad,RAILROAD,,,
113,2842,PROPERTY_MORTGAGED,Grok 4.3,15,Pennsylvania Railroad,RAILROAD,,,
113,2848,PROPERTY_MORTGAGED,Grok 4.3,35,Short Line,RAILROAD,,,
113,2852,PROPERTY_PURCHASED,OpenAI GPT 5.5,15,Pennsylvania Railroad,RAILROAD,0,,
113,2853,PROPERTY_PURCHASED,OpenAI GPT 5.5,26,Atlantic Avenue,YELLOW,0,,
113,2854,PROPERTY_PURCHASED,OpenAI GPT 5.5,27,Ventnor Avenue,YELLOW,0,,
113,2855,PROPERTY_PURCHASED,OpenAI GPT 5.5,35,Short Line,RAILROAD,0,,
116,2928,PROPERTY_UNMORTGAGED,OpenAI GPT 5.5,35,Short Line,RAILROAD,,,
119,2964,PROPERTY_MORTGAGED,OpenAI GPT 5.5,35,Short Line,RAILROAD,,,
126,3121,PROPERTY_PURCHASED,OpenAI GPT 5.5,12,Electric Company,UTILITY,0,,
126,3122,PROPERTY_PURCHASED,OpenAI GPT 5.5,28,Water Works,UTILITY,0,,
126,3123,PROPERTY_PURCHASED,OpenAI GPT 5.5,37,Park Place,DARK_BLUE,0,,
126,3124,PROPERTY_PURCHASED,OpenAI GPT 5.5,39,Boardwalk,DARK_BLUE,0,,
130,3162,PROPERTY_UNMORTGAGED,OpenAI GPT 5.5,15,Pennsylvania Railroad,RAILROAD,,,
132,3201,PROPERTY_MORTGAGED,OpenAI GPT 5.5,15,Pennsylvania Railroad,RAILROAD,,,
169,3675,PROPERTY_MORTGAGED,OpenAI GPT 5.5,3,Baltic Avenue,BROWN,,,
169,3681,PROPERTY_MORTGAGED,OpenAI GPT 5.5,1,Mediterranean Avenue,BROWN,,,
172,3736,PROPERTY_MORTGAGED,OpenAI GPT 5.5,14,Virginia Avenue,PINK,,,
172,3742,PROPERTY_MORTGAGED,OpenAI GPT 5.5,11,St. Charles Place,PINK,,,
172,3748,PROPERTY_MORTGAGED,OpenAI GPT 5.5,13,States Avenue,PINK,,,
178,3816,PROPERTY_UNMORTGAGED,OpenAI GPT 5.5,39,Boardwalk,DARK_BLUE,,,
178,3822,PROPERTY_UNMORTGAGED,OpenAI GPT 5.5,37,Park Place,DARK_BLUE,,,
190,3963,PROPERTY_PURCHASED,OpenAI GPT 5.5,6,Oriental Avenue,LIGHT_BLUE,0,,
190,3964,PROPERTY_PURCHASED,OpenAI GPT 5.5,8,Vermont Avenue,LIGHT_BLUE,0,,
190,3965,PROPERTY_PURCHASED,OpenAI GPT 5.5,9,Connecticut Avenue,LIGHT_BLUE,0,,
190,3966,PROPERTY_PURCHASED,OpenAI GPT 5.5,18,Tennessee Avenue,ORANGE,0,,
190,3967,PROPERTY_PURCHASED,OpenAI GPT 5.5,21,Kentucky Avenue,RED,0,,
190,3968,PROPERTY_PURCHASED,OpenAI GPT 5.5,24,Illinois Avenue,RED,0,,
190,3969,PROPERTY_PURCHASED,OpenAI GPT 5.5,25,B. & O. Railroad,RAILROAD,0,,
