turn_index,seq,event_type,player_id,d1,d2,is_double
117,2939,DICE_ROLLED,Claude Opus 4.8,6,6,True
117,2940,PLAYER_MOVED,Claude Opus 4.8,,,
117,2941,CARD_DRAWN,Claude Opus 4.8,,,
118,2949,DICE_ROLLED,Gemini 3.1 Pro Preview,4,6,False
118,2950,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
119,2957,DICE_ROLLED,OpenAI GPT 5.5,4,2,False
119,2958,PLAYER_MOVED,OpenAI GPT 5.5,,,
120,3001,DICE_ROLLED,Claude Opus 4.8,2,2,True
120,3002,PLAYER_MOVED,Claude Opus 4.8,,,
121,3009,DICE_ROLLED,Claude Opus 4.8,6,5,False
121,3010,PLAYER_MOVED,Claude Opus 4.8,,,
122,3017,DICE_ROLLED,Gemini 3.1 Pro Preview,5,1,False
122,3018,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
123,3036,DICE_ROLLED,OpenAI GPT 5.5,5,5,True
123,3037,PLAYER_MOVED,OpenAI GPT 5.5,,,
124,3074,DICE_ROLLED,OpenAI GPT 5.5,2,1,False
124,3075,PLAYER_MOVED,OpenAI GPT 5.5,,,
125,3103,DICE_ROLLED,Claude Opus 4.8,1,2,False
125,3104,PLAYER_MOVED,Claude Opus 4.8,,,
126,3112,DICE_ROLLED,Gemini 3.1 Pro Preview,3,6,False
126,3113,PLAYER_MOVED,Gemini 3.1 Pro Preview,,,
127,3127,DICE_ROLLED,OpenAI GPT 5.5,5,2,False
127,3128,PLAYER_MOVED,OpenAI GPT 5.5,,,
128,3136,DICE_ROLLED,Claude Opus 4.8,1,1,True
128,3137,PLAYER_MOVED,Claude Opus 4.8,,,
128,3138,CARD_DRAWN,Claude Opus 4.8,,,
128,3139,PLAYER_MOVED,Claude Opus 4.8,,,
129,3147,DICE_ROLLED,Claude Opus 4.8,6,2,False
129,3148,PLAYER_MOVED,Claude Opus 4.8,,,
130,3155,DICE_ROLLED,OpenAI GPT 5.5,4,6,False
130,3156,PLAYER_MOVED,OpenAI GPT 5.5,,,
131,3177,DICE_ROLLED,Claude Opus 4.8,2,5,False
131,3178,PLAYER_MOVED,Claude Opus 4.8,,,
132,3188,DICE_ROLLED,OpenAI GPT 5.5,2,2,True
132,3189,PLAYER_MOVED,OpenAI GPT 5.5,,,
133,3208,DICE_ROLLED,OpenAI GPT 5.5,5,4,False
133,3209,PLAYER_MOVED,OpenAI GPT 5.5,,,
134,3216,DICE_ROLLED,Claude Opus 4.8,3,4,False
134,3217,PLAYER_MOVED,Claude Opus 4.8,,,
134,3218,CARD_DRAWN,Claude Opus 4.8,,,
134,3219,PLAYER_MOVED,Claude Opus 4.8,,,
135,3226,DICE_ROLLED,OpenAI GPT 5.5,2,2,True
135,3227,PLAYER_MOVED,OpenAI GPT 5.5,,,
136,3234,DICE_ROLLED,OpenAI GPT 5.5,5,3,False
136,3235,PLAYER_MOVED,OpenAI GPT 5.5,,,
137,3249,DICE_ROLLED,Claude Opus 4.8,1,5,False
137,3250,PLAYER_MOVED,Claude Opus 4.8,,,
138,3268,DICE_ROLLED,OpenAI GPT 5.5,2,6,False
138,3269,PLAYER_MOVED,OpenAI GPT 5.5,,,
139,3291,DICE_ROLLED,Claude Opus 4.8,5,2,False
139,3292,PLAYER_MOVED,Claude Opus 4.8,,,
140,3300,DICE_ROLLED,OpenAI GPT 5.5,6,1,False
140,3301,PLAYER_MOVED,OpenAI GPT 5.5,,,
141,3308,DICE_ROLLED,Claude Opus 4.8,2,4,False
141,3309,PLAYER_MOVED,Claude Opus 4.8,,,
142,3318,DICE_ROLLED,OpenAI GPT 5.5,1,2,False
142,3319,PLAYER_MOVED,OpenAI GPT 5.5,,,
143,3346,DICE_ROLLED,Claude Opus 4.8,5,1,False
143,3347,PLAYER_MOVED,Claude Opus 4.8,,,
144,3354,DICE_ROLLED,OpenAI GPT 5.5,1,1,True
144,3355,PLAYER_MOVED,OpenAI GPT 5.5,,,
145,3372,DICE_ROLLED,OpenAI GPT 5.5,1,1,True
145,3373,PLAYER_MOVED,OpenAI GPT 5.5,,,
145,3374,CARD_DRAWN,OpenAI GPT 5.5,,,
145,3375,PLAYER_MOVED,OpenAI GPT 5.5,,,
146,3383,DICE_ROLLED,OpenAI GPT 5.5,6,6,True
146,3384,PLAYER_MOVED,OpenAI GPT 5.5,,,
147,3388,DICE_ROLLED,Claude Opus 4.8,4,5,False
147,3389,PLAYER_MOVED,Claude Opus 4.8,,,
148,3400,DICE_ROLLED,OpenAI GPT 5.5,2,1,False
149,3403,DICE_ROLLED,Claude Opus 4.8,4,6,False
149,3404,PLAYER_MOVED,Claude Opus 4.8,,,
150,3415,DICE_ROLLED,OpenAI GPT 5.5,5,4,False
151,3418,DICE_ROLLED,Claude Opus 4.8,2,6,False
151,3419,PLAYER_MOVED,Claude Opus 4.8,,,
152,3430,DICE_ROLLED,OpenAI GPT 5.5,6,2,False
152,3436,DICE_ROLLED,OpenAI GPT 5.5,1,1,True
152,3437,PLAYER_MOVED,OpenAI GPT 5.5,,,
153,3450,DICE_ROLLED,OpenAI GPT 5.5,3,1,False
153,3451,PLAYER_MOVED,OpenAI GPT 5.5,,,
154,3458,DICE_ROLLED,Claude Opus 4.8,3,2,False
154,3459,PLAYER_MOVED,Claude Opus 4.8,,,
154,3461,CARD_DRAWN,Claude Opus 4.8,,,
155,3470,DICE_ROLLED,OpenAI GPT 5.5,1,5,False
155,3471,PLAYER_MOVED,OpenAI GPT 5.5,,,
155,3472,CARD_DRAWN,OpenAI GPT 5.5,,,
155,3473,PLAYER_MOVED,OpenAI GPT 5.5,,,
156,3480,DICE_ROLLED,Claude Opus 4.8,2,5,False
156,3481,PLAYER_MOVED,Claude Opus 4.8,,,
157,3488,DICE_ROLLED,OpenAI GPT 5.5,2,4,False
157,3489,PLAYER_MOVED,OpenAI GPT 5.5,,,
158,3516,DICE_ROLLED,Claude Opus 4.8,5,5,True
158,3517,PLAYER_MOVED,Claude Opus 4.8,,,
159,3524,DICE_ROLLED,Claude Opus 4.8,5,6,False
159,3525,PLAYER_MOVED,Claude Opus 4.8,,,
159,3526,PLAYER_MOVED,Claude Opus 4.8,,,
160,3530,DICE_ROLLED,OpenAI GPT 5.5,6,2,False
160,3531,PLAYER_MOVED,OpenAI GPT 5.5,,,
160,3532,CARD_DRAWN,OpenAI GPT 5.5,,,
161,3554,DICE_ROLLED,Claude Opus 4.8,4,3,False
162,3557,DICE_ROLLED,OpenAI GPT 5.5,6,6,True
162,3558,PLAYER_MOVED,OpenAI GPT 5.5,,,
163,3566,DICE_ROLLED,OpenAI GPT 5.5,1,2,False
163,3567,PLAYER_MOVED,OpenAI GPT 5.5,,,
164,3592,DICE_ROLLED,Claude Opus 4.8,4,4,True
164,3593,PLAYER_MOVED,Claude Opus 4.8,,,
165,3600,DICE_ROLLED,OpenAI GPT 5.5,6,2,False
165,3601,PLAYER_MOVED,OpenAI GPT 5.5,,,
166,3618,DICE_ROLLED,Claude Opus 4.8,4,2,False
166,3619,PLAYER_MOVED,Claude Opus 4.8,,,
167,3626,DICE_ROLLED,OpenAI GPT 5.5,3,1,False
167,3627,PLAYER_MOVED,OpenAI GPT 5.5,,,
168,3654,DICE_ROLLED,Claude Opus 4.8,5,4,False
168,3655,PLAYER_MOVED,Claude Opus 4.8,,,
168,3656,CARD_DRAWN,Claude Opus 4.8,,,
168,3657,PLAYER_MOVED,Claude Opus 4.8,,,
169,3661,DICE_ROLLED,OpenAI GPT 5.5,4,4,True
169,3662,PLAYER_MOVED,OpenAI GPT 5.5,,,
170,3694,DICE_ROLLED,OpenAI GPT 5.5,5,4,False
170,3695,PLAYER_MOVED,OpenAI GPT 5.5,,,
171,3706,DICE_ROLLED,Claude Opus 4.8,4,1,False
172,3709,DICE_ROLLED,OpenAI GPT 5.5,5,6,False
172,3710,PLAYER_MOVED,OpenAI GPT 5.5,,,
173,3759,DICE_ROLLED,Claude Opus 4.8,3,3,True
173,3760,PLAYER_MOVED,Claude Opus 4.8,,,
174,3767,DICE_ROLLED,OpenAI GPT 5.5,3,2,False
174,3768,PLAYER_MOVED,OpenAI GPT 5.5,,,
175,3782,DICE_ROLLED,Claude Opus 4.8,5,4,False
175,3783,PLAYER_MOVED,Claude Opus 4.8,,,
176,3790,DICE_ROLLED,OpenAI GPT 5.5,6,2,False
176,3791,PLAYER_MOVED,OpenAI GPT 5.5,,,
177,3798,DICE_ROLLED,Claude Opus 4.8,5,2,False
177,3799,PLAYER_MOVED,Claude Opus 4.8,,,
178,3809,DICE_ROLLED,OpenAI GPT 5.5,3,4,False
178,3810,PLAYER_MOVED,OpenAI GPT 5.5,,,
179,3836,DICE_ROLLED,Claude Opus 4.8,2,3,False
179,3837,PLAYER_MOVED,Claude Opus 4.8,,,
180,3847,DICE_ROLLED,OpenAI GPT 5.5,3,5,False
180,3848,PLAYER_MOVED,OpenAI GPT 5.5,,,
180,3849,CARD_DRAWN,OpenAI GPT 5.5,,,
180,3850,PLAYER_MOVED,OpenAI GPT 5.5,,,
181,3870,DICE_ROLLED,Claude Opus 4.8,2,5,False
181,3871,PLAYER_MOVED,Claude Opus 4.8,,,
182,3880,DICE_ROLLED,OpenAI GPT 5.5,6,6,True
182,3881,PLAYER_MOVED,OpenAI GPT 5.5,,,
182,3882,CARD_DRAWN,OpenAI GPT 5.5,,,
183,3891,DICE_ROLLED,OpenAI GPT 5.5,2,5,False
183,3892,PLAYER_MOVED,OpenAI GPT 5.5,,,
184,3900,DICE_ROLLED,Claude Opus 4.8,5,4,False
184,3901,PLAYER_MOVED,Claude Opus 4.8,,,
185,3908,DICE_ROLLED,OpenAI GPT 5.5,3,4,False
185,3909,PLAYER_MOVED,OpenAI GPT 5.5,,,
186,3916,DICE_ROLLED,Claude Opus 4.8,1,4,False
186,3917,PLAYER_MOVED,Claude Opus 4.8,,,
187,3924,DICE_ROLLED,OpenAI GPT 5.5,5,1,False
187,3925,PLAYER_MOVED,OpenAI GPT 5.5,,,
188,3938,DICE_ROLLED,Claude Opus 4.8,1,4,False
188,3939,PLAYER_MOVED,Claude Opus 4.8,,,
189,3946,DICE_ROLLED,OpenAI GPT 5.5,6,2,False
189,3947,PLAYER_MOVED,OpenAI GPT 5.5,,,
190,3954,DICE_ROLLED,Claude Opus 4.8,6,2,False
190,3955,PLAYER_MOVED,Claude Opus 4.8,,,
