turn_index,seq,player_id,delta,reason
88,2339,OpenAI GPT 5.5,110,MORTGAGE
88,2345,OpenAI GPT 5.5,140,MORTGAGE
88,2351,OpenAI GPT 5.5,90,MORTGAGE
88,2357,OpenAI GPT 5.5,100,MORTGAGE
88,2363,OpenAI GPT 5.5,150,MORTGAGE
89,2383,OpenAI GPT 5.5,-400,RENT
89,2384,Claude Opus 4.8,400,RENT
89,2390,OpenAI GPT 5.5,150,MORTGAGE
91,2412,Gemini 3.1 Pro Preview,75,MORTGAGE
91,2418,Gemini 3.1 Pro Preview,75,MORTGAGE
91,2424,Gemini 3.1 Pro Preview,-600,BUILD
92,2435,Grok 4.3,200,PASS_GO
92,2436,Grok 4.3,-250,RENT
92,2437,OpenAI GPT 5.5,250,RENT
95,2463,Claude Opus 4.8,-100,TAX_LUXURY
97,2482,Grok 4.3,200,PASS_GO
98,2495,Grok 4.3,130,MORTGAGE
98,2501,Grok 4.3,130,MORTGAGE
98,2503,Grok 4.3,-900,RENT
98,2504,OpenAI GPT 5.5,900,RENT
99,2538,OpenAI GPT 5.5,-111,UNMORTGAGE
99,2544,OpenAI GPT 5.5,-111,UNMORTGAGE
99,2550,OpenAI GPT 5.5,-122,UNMORTGAGE
99,2556,OpenAI GPT 5.5,-100,UNMORTGAGE
99,2562,OpenAI GPT 5.5,-154,UNMORTGAGE
100,2572,Claude Opus 4.8,200,PASS_GO
101,2581,Claude Opus 4.8,-50,RENT
101,2582,Grok 4.3,50,RENT
102,2592,Gemini 3.1 Pro Preview,200,PASS_GO
102,2593,Gemini 3.1 Pro Preview,-25,RENT
102,2594,OpenAI GPT 5.5,25,RENT
103,2608,Gemini 3.1 Pro Preview,100,SELL_BUILDING
103,2614,Gemini 3.1 Pro Preview,200,SELL_BUILDING
103,2621,Gemini 3.1 Pro Preview,200,MORTGAGE
103,2627,Gemini 3.1 Pro Preview,175,MORTGAGE
103,2629,Gemini 3.1 Pro Preview,-750,RENT
103,2630,OpenAI GPT 5.5,750,RENT
105,2682,OpenAI GPT 5.5,-165,UNMORTGAGE
105,2688,OpenAI GPT 5.5,-165,UNMORTGAGE
106,2713,OpenAI GPT 5.5,-320,buy_property
106,2718,OpenAI GPT 5.5,90,MORTGAGE
106,2724,OpenAI GPT 5.5,-1200,BUILD
106,2732,OpenAI GPT 5.5,140,MORTGAGE
106,2738,OpenAI GPT 5.5,110,MORTGAGE
106,2744,OpenAI GPT 5.5,-200,BUILD
106,2750,OpenAI GPT 5.5,100,MORTGAGE
106,2756,OpenAI GPT 5.5,100,MORTGAGE
106,2762,OpenAI GPT 5.5,-200,BUILD
110,2806,OpenAI GPT 5.5,200,PASS_GO
110,2808,OpenAI GPT 5.5,-50,DOCTOR_FEE_PAY_50
110,2813,OpenAI GPT 5.5,-200,BUILD
113,2841,Grok 4.3,100,MORTGAGE
113,2847,Grok 4.3,100,MORTGAGE
113,2849,Grok 4.3,-263,BANKRUPTCY_CASH
113,2850,OpenAI GPT 5.5,263,BANKRUPTCY_CASH
113,2851,Grok 4.3,0,BANKRUPTCY
114,2864,OpenAI GPT 5.5,150,SELL_BUILDING
114,2867,OpenAI GPT 5.5,-400,RENT
114,2868,Claude Opus 4.8,400,RENT
116,2900,OpenAI GPT 5.5,100,SELL_BUILDING
116,2927,OpenAI GPT 5.5,-111,UNMORTGAGE
117,2942,Claude Opus 4.8,50,BANK_PAYS_YOU_DIVIDEND_50
119,2963,OpenAI GPT 5.5,100,MORTGAGE
122,3019,Gemini 3.1 Pro Preview,200,PASS_GO
124,3076,OpenAI GPT 5.5,-100,TAX_LUXURY
125,3105,Claude Opus 4.8,200,PASS_GO
126,3118,Gemini 3.1 Pro Preview,-338,BANKRUPTCY_CASH
126,3119,OpenAI GPT 5.5,338,BANKRUPTCY_CASH
126,3120,Gemini 3.1 Pro Preview,0,BANKRUPTCY
127,3129,OpenAI GPT 5.5,200,PASS_GO
128,3140,Claude Opus 4.8,200,PASS_GO
130,3161,OpenAI GPT 5.5,-111,UNMORTGAGE
130,3167,OpenAI GPT 5.5,-300,BUILD
131,3179,Claude Opus 4.8,-100,RENT
131,3180,OpenAI GPT 5.5,100,RENT
132,3194,OpenAI GPT 5.5,-200,BUILD
132,3200,OpenAI GPT 5.5,100,MORTGAGE
136,3236,OpenAI GPT 5.5,200,PASS_GO
136,3241,OpenAI GPT 5.5,-200,BUILD
137,3251,Claude Opus 4.8,-900,RENT
137,3252,OpenAI GPT 5.5,900,RENT
137,3258,Claude Opus 4.8,-150,BUILD
138,3270,OpenAI GPT 5.5,-550,RENT
138,3271,Claude Opus 4.8,550,RENT
138,3277,OpenAI GPT 5.5,-200,BUILD
138,3283,OpenAI GPT 5.5,-200,BUILD
139,3293,Claude Opus 4.8,-100,TAX_LUXURY
141,3310,Claude Opus 4.8,200,PASS_GO
141,3311,Claude Opus 4.8,-200,TAX_INCOME
145,3376,OpenAI GPT 5.5,200,PASS_GO
152,3435,OpenAI GPT 5.5,-50,JAIL_FINE
152,3442,OpenAI GPT 5.5,-200,BUILD
154,3460,Claude Opus 4.8,200,PASS_GO
154,3462,OpenAI GPT 5.5,-10,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER
154,3463,Claude Opus 4.8,10,BIRTHDAY_COLLECT_10_FROM_EACH_PLAYER
160,3533,OpenAI GPT 5.5,25,CONSULTANCY_FEE_COLLECT_25
162,3559,OpenAI GPT 5.5,200,PASS_GO
163,3572,OpenAI GPT 5.5,300,SELL_BUILDING
163,3579,OpenAI GPT 5.5,-550,RENT
163,3580,Claude Opus 4.8,550,RENT
169,3667,OpenAI GPT 5.5,200,SELL_BUILDING
169,3674,OpenAI GPT 5.5,30,MORTGAGE
169,3680,OpenAI GPT 5.5,30,MORTGAGE
169,3686,OpenAI GPT 5.5,-200,BUILD
172,3711,OpenAI GPT 5.5,200,PASS_GO
172,3716,OpenAI GPT 5.5,300,SELL_BUILDING
172,3720,OpenAI GPT 5.5,-550,RENT
172,3721,Claude Opus 4.8,550,RENT
172,3727,OpenAI GPT 5.5,300,SELL_BUILDING
172,3735,OpenAI GPT 5.5,80,MORTGAGE
172,3741,OpenAI GPT 5.5,70,MORTGAGE
172,3747,OpenAI GPT 5.5,70,MORTGAGE
174,3773,OpenAI GPT 5.5,-400,BUILD
177,3800,Claude Opus 4.8,-1275,RENT
177,3801,OpenAI GPT 5.5,1275,RENT
178,3815,OpenAI GPT 5.5,-221,UNMORTGAGE
178,3821,OpenAI GPT 5.5,-193,UNMORTGAGE
178,3827,OpenAI GPT 5.5,-800,BUILD
179,3838,Claude Opus 4.8,-500,RENT
179,3839,OpenAI GPT 5.5,500,RENT
180,3851,OpenAI GPT 5.5,200,PASS_GO
180,3856,OpenAI GPT 5.5,-200,BUILD
180,3862,OpenAI GPT 5.5,-200,BUILD
181,3872,Claude Opus 4.8,200,PASS_GO
181,3873,Claude Opus 4.8,-200,TAX_INCOME
182,3883,OpenAI GPT 5.5,-50,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50
182,3884,Claude Opus 4.8,50,ELECTED_CHAIRMAN_PAY_EACH_PLAYER_50
183,3893,OpenAI GPT 5.5,200,PASS_GO
187,3930,OpenAI GPT 5.5,-200,BUILD
190,3960,Claude Opus 4.8,-276,BANKRUPTCY_CASH
190,3961,OpenAI GPT 5.5,276,BANKRUPTCY_CASH
190,3962,Claude Opus 4.8,0,BANKRUPTCY
