turn_index,player_id,cash,net_worth,property_value,building_value,mortgage_liability,property_count,mortgaged_count,houses,hotels,bankrupt,position,in_jail
18,OpenAI GPT 5.5,560,1400,840,0,0,4,0,0,0,False,38,False
18,Claude Opus 4.8,780,1500,720,0,0,4,0,0,0,False,24,False
18,Gemini 3.1 Pro Preview,1680,2200,520,0,0,2,0,0,0,False,17,False
18,Grok 4.3,1040,1500,460,0,0,2,0,0,0,False,35,False
19,OpenAI GPT 5.5,700,1600,900,0,0,5,0,0,0,False,3,False
19,Claude Opus 4.8,780,1500,720,0,0,4,0,0,0,False,24,False
19,Gemini 3.1 Pro Preview,1680,2200,520,0,0,2,0,0,0,False,17,False
19,Grok 4.3,1040,1500,460,0,0,2,0,0,0,False,35,False
20,OpenAI GPT 5.5,700,1600,900,0,0,5,0,0,0,False,3,False
20,Claude Opus 4.8,500,1500,1000,0,0,5,0,0,0,False,29,False
20,Gemini 3.1 Pro Preview,1680,2200,520,0,0,2,0,0,0,False,17,False
20,Grok 4.3,1040,1500,460,0,0,2,0,0,0,False,35,False
21,OpenAI GPT 5.5,716,1616,900,0,0,5,0,0,0,False,3,False
21,Claude Opus 4.8,500,1500,1000,0,0,5,0,0,0,False,29,False
21,Gemini 3.1 Pro Preview,1664,2184,520,0,0,2,0,0,0,False,19,False
21,Grok 4.3,1040,1500,460,0,0,2,0,0,0,False,35,False
22,OpenAI GPT 5.5,716,1616,900,0,0,5,0,0,0,False,3,False
22,Claude Opus 4.8,524,1524,1000,0,0,5,0,0,0,False,29,False
22,Gemini 3.1 Pro Preview,1640,2160,520,0,0,2,0,0,0,False,29,False
22,Grok 4.3,1040,1500,460,0,0,2,0,0,0,False,35,False
23,OpenAI GPT 5.5,716,1616,900,0,0,5,0,0,0,False,3,False
23,Claude Opus 4.8,524,1524,1000,0,0,5,0,0,0,False,29,False
23,Gemini 3.1 Pro Preview,1340,2160,820,0,0,3,0,0,0,False,32,False
23,Grok 4.3,1040,1500,460,0,0,2,0,0,0,False,35,False
24,OpenAI GPT 5.5,716,1616,900,0,0,5,0,0,0,False,3,False
24,Claude Opus 4.8,524,1524,1000,0,0,5,0,0,0,False,29,False
24,Gemini 3.1 Pro Preview,1340,2160,820,0,0,3,0,0,0,False,32,False
24,Grok 4.3,1240,1700,460,0,0,2,0,0,0,False,0,False
25,OpenAI GPT 5.5,86,1426,440,900,0,3,0,9,0,False,13,False
25,Claude Opus 4.8,774,1814,1040,0,0,5,0,0,0,False,29,False
25,Gemini 3.1 Pro Preview,932,2032,1380,0,280,6,3,0,0,False,32,False
25,Grok 4.3,1240,1700,460,0,0,2,0,0,0,False,0,False
26,OpenAI GPT 5.5,36,1376,440,900,0,3,0,9,0,False,25,False
26,Claude Opus 4.8,824,1864,1040,0,0,5,0,0,0,False,29,False
26,Gemini 3.1 Pro Preview,932,2032,1380,0,280,6,3,0,0,False,32,False
26,Grok 4.3,1240,1700,460,0,0,2,0,0,0,False,0,False
27,OpenAI GPT 5.5,36,1376,440,900,0,3,0,9,0,False,25,False
27,Claude Opus 4.8,824,1864,1040,0,0,5,0,0,0,False,31,False
27,Gemini 3.1 Pro Preview,932,2032,1380,0,280,6,3,0,0,False,32,False
27,Grok 4.3,1240,1700,460,0,0,2,0,0,0,False,0,False
28,OpenAI GPT 5.5,36,1376,440,900,0,3,0,9,0,False,25,False
28,Claude Opus 4.8,1024,2064,1040,0,0,5,0,0,0,False,0,False
28,Gemini 3.1 Pro Preview,932,2032,1380,0,280,6,3,0,0,False,32,False
28,Grok 4.3,1240,1700,460,0,0,2,0,0,0,False,0,False
29,OpenAI GPT 5.5,36,1376,440,900,0,3,0,9,0,False,25,False
29,Claude Opus 4.8,1024,2064,1040,0,0,5,0,0,0,False,0,False
29,Gemini 3.1 Pro Preview,856,2206,1380,0,30,6,1,0,0,False,0,False
29,Grok 4.3,1240,1700,460,0,0,2,0,0,0,False,0,False
30,OpenAI GPT 5.5,36,1376,440,900,0,3,0,9,0,False,25,False
30,Claude Opus 4.8,1030,2070,1040,0,0,5,0,0,0,False,0,False
30,Gemini 3.1 Pro Preview,856,2206,1380,0,30,6,1,0,0,False,0,False
30,Grok 4.3,1234,1694,460,0,0,2,0,0,0,False,8,False
31,OpenAI GPT 5.5,36,1376,440,900,0,3,0,9,0,False,37,False
31,Claude Opus 4.8,1030,2070,1040,0,0,5,0,0,0,False,0,False
31,Gemini 3.1 Pro Preview,206,1906,1730,0,30,7,1,0,0,False,0,False
31,Grok 4.3,1234,1694,460,0,0,2,0,0,0,False,8,False
32,OpenAI GPT 5.5,86,1726,440,1200,0,3,0,12,0,False,7,False
32,Claude Opus 4.8,1030,2070,1040,0,0,5,0,0,0,False,0,False
32,Gemini 3.1 Pro Preview,206,1906,1730,0,30,7,1,0,0,False,0,False
32,Grok 4.3,1234,1694,460,0,0,2,0,0,0,False,8,False
33,OpenAI GPT 5.5,86,1726,440,1200,0,3,0,12,0,False,7,False
33,Claude Opus 4.8,930,2070,1140,0,0,6,0,0,0,False,6,False
33,Gemini 3.1 Pro Preview,206,1906,1730,0,30,7,1,0,0,False,0,False
33,Grok 4.3,1234,1694,460,0,0,2,0,0,0,False,8,False
34,OpenAI GPT 5.5,86,1726,440,1200,0,3,0,12,0,False,7,False
34,Claude Opus 4.8,936,2076,1140,0,0,6,0,0,0,False,6,False
34,Gemini 3.1 Pro Preview,200,1900,1730,0,30,7,1,0,0,False,6,False
34,Grok 4.3,1234,1694,460,0,0,2,0,0,0,False,8,False
35,OpenAI GPT 5.5,86,1726,440,1200,0,3,0,12,0,False,7,False
35,Claude Opus 4.8,656,1916,1260,0,0,7,0,0,0,False,6,False
35,Gemini 3.1 Pro Preview,480,2060,1610,0,30,6,1,0,0,False,10,False
35,Grok 4.3,1234,1694,460,0,0,2,0,0,0,False,8,False
36,OpenAI GPT 5.5,86,1726,440,1200,0,3,0,12,0,False,7,False
36,Claude Opus 4.8,656,1916,1260,0,0,7,0,0,0,False,6,False
36,Gemini 3.1 Pro Preview,480,2060,1610,0,30,6,1,0,0,False,10,False
36,Grok 4.3,1054,1694,640,0,0,3,0,0,0,False,16,False
37,OpenAI GPT 5.5,86,1726,440,1200,0,3,0,12,0,False,18,False
37,Claude Opus 4.8,376,1816,1440,0,0,8,0,0,0,False,6,False
37,Gemini 3.1 Pro Preview,480,2060,1610,0,30,6,1,0,0,False,10,False
37,Grok 4.3,1054,1694,640,0,0,3,0,0,0,False,16,False
38,OpenAI GPT 5.5,86,1726,440,1200,0,3,0,12,0,False,18,False
38,Claude Opus 4.8,76,1816,1440,300,0,8,0,6,0,False,9,False
38,Gemini 3.1 Pro Preview,480,2060,1610,0,30,6,1,0,0,False,10,False
38,Grok 4.3,1054,1694,640,0,0,3,0,0,0,False,16,False
39,OpenAI GPT 5.5,86,1726,440,1200,0,3,0,12,0,False,18,False
39,Claude Opus 4.8,76,1816,1440,300,0,8,0,6,0,False,9,False
39,Gemini 3.1 Pro Preview,80,2060,1610,400,30,6,1,2,0,False,19,False
39,Grok 4.3,1054,1694,640,0,0,3,0,0,0,False,16,False
40,OpenAI GPT 5.5,85,1875,590,1200,0,4,0,12,0,False,18,False
40,Claude Opus 4.8,76,1816,1440,300,0,8,0,6,0,False,9,False
40,Gemini 3.1 Pro Preview,80,2060,1610,400,30,6,1,2,0,False,19,False
40,Grok 4.3,1054,1694,640,0,0,3,0,0,0,False,28,False
41,OpenAI GPT 5.5,60,1875,590,1300,75,4,1,8,1,False,26,False
41,Claude Opus 4.8,76,1816,1440,300,0,8,0,6,0,False,9,False
41,Gemini 3.1 Pro Preview,80,2060,1610,400,30,6,1,2,0,False,19,False
41,Grok 4.3,954,1854,900,0,0,4,0,0,0,False,28,False
42,OpenAI GPT 5.5,60,1875,590,1300,75,4,1,8,1,False,26,False
42,Claude Opus 4.8,12,1802,1440,350,0,8,0,7,0,False,16,False
42,Gemini 3.1 Pro Preview,80,2060,1610,400,30,6,1,2,0,False,19,False
42,Grok 4.3,968,1868,900,0,0,4,0,0,0,False,28,False
43,OpenAI GPT 5.5,60,1875,590,1300,75,4,1,8,1,False,26,False
43,Claude Opus 4.8,12,1802,1440,350,0,8,0,7,0,False,16,False
43,Gemini 3.1 Pro Preview,58,2038,1610,400,30,6,1,2,0,False,27,False
43,Grok 4.3,990,1890,900,0,0,4,0,0,0,False,28,False
44,OpenAI GPT 5.5,60,1875,590,1300,75,4,1,8,1,False,26,False
44,Claude Opus 4.8,12,1802,1440,350,0,8,0,7,0,False,16,False
44,Gemini 3.1 Pro Preview,84,2064,1610,400,30,6,1,2,0,False,27,False
44,Grok 4.3,964,1864,900,0,0,4,0,0,0,False,32,False
45,OpenAI GPT 5.5,60,1875,590,1300,75,4,1,8,1,False,26,False
45,Claude Opus 4.8,12,1802,1440,350,0,8,0,7,0,False,16,False
45,Gemini 3.1 Pro Preview,54,2094,1670,400,30,7,1,2,0,False,27,False
45,Grok 4.3,1164,2064,900,0,0,4,0,0,0,False,1,False
46,OpenAI GPT 5.5,70,1885,590,1300,75,4,1,8,1,False,33,False
46,Claude Opus 4.8,12,1802,1440,350,0,8,0,7,0,False,16,False
46,Gemini 3.1 Pro Preview,54,2094,1670,400,30,7,1,2,0,False,27,False
46,Grok 4.3,1164,2064,900,0,0,4,0,0,0,False,1,False
47,OpenAI GPT 5.5,15,2050,810,1300,75,5,1,8,1,False,33,False
47,Claude Opus 4.8,12,1802,1440,350,0,8,0,7,0,False,23,False
47,Gemini 3.1 Pro Preview,54,2094,1670,400,30,7,1,2,0,False,27,False
47,Grok 4.3,1164,2064,900,0,0,4,0,0,0,False,1,False
48,OpenAI GPT 5.5,15,2050,810,1300,75,5,1,8,1,False,33,False
48,Claude Opus 4.8,12,1802,1440,350,0,8,0,7,0,False,23,False
48,Gemini 3.1 Pro Preview,129,2069,1670,400,130,7,2,2,0,False,35,False
48,Grok 4.3,1189,2089,900,0,0,4,0,0,0,False,1,False
49,OpenAI GPT 5.5,15,2050,810,1300,75,5,1,8,1,False,33,False
49,Claude Opus 4.8,102,1892,1440,350,0,8,0,7,0,False,23,False
49,Gemini 3.1 Pro Preview,129,2069,1670,400,130,7,2,2,0,False,35,False
49,Grok 4.3,1099,1999,900,0,0,4,0,0,0,False,6,False
50,OpenAI GPT 5.5,25,2050,810,1400,185,5,2,4,2,False,36,False
50,Claude Opus 4.8,102,1892,1440,350,0,8,0,7,0,False,23,False
50,Gemini 3.1 Pro Preview,129,2069,1670,400,130,7,2,2,0,False,35,False
50,Grok 4.3,1099,1999,900,0,0,4,0,0,0,False,6,False
51,OpenAI GPT 5.5,25,2050,810,1400,185,5,2,4,2,False,36,False
51,Claude Opus 4.8,26,1866,1440,400,0,8,0,8,0,False,31,False
51,Gemini 3.1 Pro Preview,155,2095,1670,400,130,7,2,2,0,False,35,False
51,Grok 4.3,1099,1999,900,0,0,4,0,0,0,False,6,False
52,OpenAI GPT 5.5,25,2050,810,1400,185,5,2,4,2,False,36,False
52,Claude Opus 4.8,26,1866,1440,400,0,8,0,8,0,False,31,False
52,Gemini 3.1 Pro Preview,140,2280,1670,600,130,7,2,3,0,False,7,False
52,Grok 4.3,1099,1999,900,0,0,4,0,0,0,False,6,False
53,OpenAI GPT 5.5,25,2050,810,1400,185,5,2,4,2,False,36,False
53,Claude Opus 4.8,26,1866,1440,400,0,8,0,8,0,False,31,False
53,Gemini 3.1 Pro Preview,140,2280,1670,600,130,7,2,3,0,False,15,False
53,Grok 4.3,959,2059,1100,0,0,5,0,0,0,False,6,False
54,OpenAI GPT 5.5,925,2950,810,1400,185,5,2,4,2,False,36,False
54,Claude Opus 4.8,26,1866,1440,400,0,8,0,8,0,False,31,False
54,Gemini 3.1 Pro Preview,140,2280,1670,600,130,7,2,3,0,False,15,False
54,Grok 4.3,149,1159,1100,0,90,5,1,0,0,False,14,False
55,OpenAI GPT 5.5,670,3180,1010,1500,0,6,0,0,3,False,5,False
55,Claude Opus 4.8,26,1866,1440,400,0,8,0,8,0,False,31,False
55,Gemini 3.1 Pro Preview,140,2280,1670,600,130,7,2,3,0,False,15,False
55,Grok 4.3,149,1159,1100,0,90,5,1,0,0,False,14,False
56,OpenAI GPT 5.5,670,3180,1010,1500,0,6,0,0,3,False,5,False
56,Claude Opus 4.8,24,2064,1440,600,0,8,0,12,0,False,1,False
56,Gemini 3.1 Pro Preview,142,2282,1670,600,130,7,2,3,0,False,15,False
56,Grok 4.3,149,1159,1100,0,90,5,1,0,0,False,14,False
57,OpenAI GPT 5.5,670,3180,1010,1500,0,6,0,0,3,False,5,False
57,Claude Opus 4.8,49,2089,1440,600,0,8,0,12,0,False,1,False
57,Gemini 3.1 Pro Preview,117,2257,1670,600,130,7,2,3,0,False,25,False
57,Grok 4.3,149,1159,1100,0,90,5,1,0,0,False,14,False
58,OpenAI GPT 5.5,670,3180,1010,1500,0,6,0,0,3,False,5,False
58,Claude Opus 4.8,67,2107,1440,600,0,8,0,12,0,False,1,False
58,Gemini 3.1 Pro Preview,117,2257,1670,600,130,7,2,3,0,False,25,False
58,Grok 4.3,131,1141,1100,0,90,5,1,0,0,False,21,False
59,OpenAI GPT 5.5,552,3212,1160,1500,0,7,0,0,3,False,12,False
59,Claude Opus 4.8,67,2107,1440,600,0,8,0,12,0,False,1,False
59,Gemini 3.1 Pro Preview,117,2257,1670,600,130,7,2,3,0,False,25,False
59,Grok 4.3,131,1141,1100,0,90,5,1,0,0,False,21,False
60,OpenAI GPT 5.5,577,3237,1160,1500,0,7,0,0,3,False,12,False
60,Claude Opus 4.8,42,2082,1440,600,0,8,0,12,0,False,5,False
60,Gemini 3.1 Pro Preview,117,2257,1670,600,130,7,2,3,0,False,25,False
60,Grok 4.3,131,1141,1100,0,90,5,1,0,0,False,21,False
61,OpenAI GPT 5.5,577,3237,1160,1500,0,7,0,0,3,False,12,False
61,Claude Opus 4.8,66,2106,1440,600,0,8,0,12,0,False,5,False
61,Gemini 3.1 Pro Preview,93,2233,1670,600,130,7,2,3,0,False,29,False
61,Grok 4.3,131,1141,1100,0,90,5,1,0,0,False,21,False
62,OpenAI GPT 5.5,577,3237,1160,1500,0,7,0,0,3,False,12,False
62,Claude Opus 4.8,66,2106,1440,600,0,8,0,12,0,False,5,False
62,Gemini 3.1 Pro Preview,119,2259,1670,600,130,7,2,3,0,False,29,False
62,Grok 4.3,105,1115,1100,0,90,5,1,0,0,False,31,False
63,OpenAI GPT 5.5,577,3237,1160,1500,0,7,0,0,3,False,17,False
63,Claude Opus 4.8,66,2106,1440,600,0,8,0,12,0,False,5,False
63,Gemini 3.1 Pro Preview,119,2259,1670,600,130,7,2,3,0,False,29,False
63,Grok 4.3,105,1115,1100,0,90,5,1,0,0,False,31,False
64,OpenAI GPT 5.5,1327,3987,1160,1500,0,7,0,0,3,False,17,False
64,Claude Opus 4.8,1,1231,1440,350,560,8,5,7,0,False,13,False
64,Gemini 3.1 Pro Preview,119,2259,1670,600,130,7,2,3,0,False,29,False
64,Grok 4.3,105,1115,1100,0,90,5,1,0,0,False,31,False
65,OpenAI GPT 5.5,1327,3987,1160,1500,0,7,0,0,3,False,17,False
65,Claude Opus 4.8,1,1231,1440,350,560,8,5,7,0,False,13,False
65,Gemini 3.1 Pro Preview,69,2209,1670,600,130,7,2,3,0,False,35,False
65,Grok 4.3,155,1165,1100,0,90,5,1,0,0,False,31,False
66,OpenAI GPT 5.5,1327,3987,1160,1500,0,7,0,0,3,False,17,False
66,Claude Opus 4.8,1,1231,1440,350,560,8,5,7,0,False,13,False
66,Gemini 3.1 Pro Preview,69,2209,1670,600,130,7,2,3,0,False,35,False
66,Grok 4.3,155,1165,1100,0,90,5,1,0,0,False,35,False
67,OpenAI GPT 5.5,1327,3987,1160,1500,0,7,0,0,3,False,17,False
67,Claude Opus 4.8,1,1231,1440,350,560,8,5,7,0,False,13,False
67,Gemini 3.1 Pro Preview,69,2209,1670,600,130,7,2,3,0,False,35,False
67,Grok 4.3,155,1165,1100,0,90,5,1,0,0,False,35,False
68,OpenAI GPT 5.5,1327,3987,1160,1500,0,7,0,0,3,False,10,True
68,Claude Opus 4.8,1,1231,1440,350,560,8,5,7,0,False,21,False
68,Gemini 3.1 Pro Preview,69,2209,1670,600,130,7,2,3,0,False,35,False
68,Grok 4.3,155,1165,1100,0,90,5,1,0,0,False,35,False
69,OpenAI GPT 5.5,1327,3987,1160,1500,0,7,0,0,3,False,10,True
69,Claude Opus 4.8,1,1231,1440,350,560,8,5,7,0,False,21,False
69,Gemini 3.1 Pro Preview,69,2209,1670,600,130,7,2,3,0,False,39,False
69,Grok 4.3,155,1165,1100,0,90,5,1,0,0,False,35,False
70,OpenAI GPT 5.5,1327,3987,1160,1500,0,7,0,0,3,False,10,True
70,Claude Opus 4.8,1,1231,1440,350,560,8,5,7,0,False,21,False
70,Gemini 3.1 Pro Preview,69,2209,1670,600,130,7,2,3,0,False,39,False
70,Grok 4.3,305,1315,1100,0,90,5,1,0,0,False,2,False
71,OpenAI GPT 5.5,1327,3987,1160,1500,0,7,0,0,3,False,10,True
71,Claude Opus 4.8,1,1231,1440,350,560,8,5,7,0,False,21,False
71,Gemini 3.1 Pro Preview,69,2209,1670,600,130,7,2,3,0,False,39,False
71,Grok 4.3,305,1315,1100,0,90,5,1,0,0,False,2,False
72,OpenAI GPT 5.5,1327,3987,1160,1500,0,7,0,0,3,False,10,True
72,Claude Opus 4.8,1,1231,1440,350,560,8,5,7,0,False,21,False
72,Gemini 3.1 Pro Preview,69,2209,1670,600,130,7,2,3,0,False,39,False
72,Grok 4.3,305,1315,1100,0,90,5,1,0,0,False,2,False
73,OpenAI GPT 5.5,1352,4012,1160,1500,0,7,0,0,3,False,10,True
73,Claude Opus 4.8,1,1231,1440,350,560,8,5,7,0,False,10,True
73,Gemini 3.1 Pro Preview,244,2384,1670,600,130,7,2,3,0,False,5,False
73,Grok 4.3,305,1315,1100,0,90,5,1,0,0,False,2,False
74,OpenAI GPT 5.5,1352,4012,1160,1500,0,7,0,0,3,False,10,True
74,Claude Opus 4.8,91,1321,1440,350,560,8,5,7,0,False,10,True
74,Gemini 3.1 Pro Preview,244,2384,1670,600,130,7,2,3,0,False,5,False
74,Grok 4.3,215,1225,1100,0,90,5,1,0,0,False,8,False
75,OpenAI GPT 5.5,1352,4012,1160,1500,0,7,0,0,3,False,10,True
75,Claude Opus 4.8,91,1321,1440,350,560,8,5,7,0,False,10,True
75,Gemini 3.1 Pro Preview,244,2384,1670,600,130,7,2,3,0,False,5,False
75,Grok 4.3,215,1225,1100,0,90,5,1,0,0,False,8,False
76,OpenAI GPT 5.5,1352,4012,1160,1500,0,7,0,0,3,False,10,True
76,Claude Opus 4.8,91,1321,1440,350,560,8,5,7,0,False,10,True
76,Gemini 3.1 Pro Preview,244,2384,1670,600,130,7,2,3,0,False,5,False
76,Grok 4.3,215,1225,1100,0,90,5,1,0,0,False,8,False
77,OpenAI GPT 5.5,2252,4912,1160,1500,0,7,0,0,3,False,10,True
77,Claude Opus 4.8,91,1321,1440,350,560,8,5,7,0,False,10,True
77,Gemini 3.1 Pro Preview,19,1184,1670,0,505,7,4,0,0,False,14,False
77,Grok 4.3,215,1225,1100,0,90,5,1,0,0,False,8,False
78,OpenAI GPT 5.5,2252,4912,1160,1500,0,7,0,0,3,False,10,True
78,Claude Opus 4.8,91,1321,1440,350,560,8,5,7,0,False,10,True
78,Gemini 3.1 Pro Preview,19,1184,1670,0,505,7,4,0,0,False,14,False
78,Grok 4.3,215,1225,1100,0,90,5,1,0,0,False,16,False
79,OpenAI GPT 5.5,634,4254,2120,1500,0,10,0,0,3,False,16,False
79,Claude Opus 4.8,391,1481,1160,350,420,7,4,7,0,False,10,True
79,Gemini 3.1 Pro Preview,619,1384,1170,0,405,6,3,0,0,False,14,False
79,Grok 4.3,485,1405,920,0,0,4,0,0,0,False,16,False
80,OpenAI GPT 5.5,634,4254,2120,1500,0,10,0,0,3,False,16,False
80,Claude Opus 4.8,391,1481,1160,350,420,7,4,7,0,False,10,True
80,Gemini 3.1 Pro Preview,619,1384,1170,0,405,6,3,0,0,False,14,False
80,Grok 4.3,485,1405,920,0,0,4,0,0,0,False,16,False
81,OpenAI GPT 5.5,650,4270,2120,1500,0,10,0,0,3,False,16,False
81,Claude Opus 4.8,391,1481,1160,350,420,7,4,7,0,False,10,True
81,Gemini 3.1 Pro Preview,156,1326,1170,0,0,6,0,0,0,False,19,False
81,Grok 4.3,485,1405,920,0,0,4,0,0,0,False,16,False
82,OpenAI GPT 5.5,650,4270,2120,1500,0,10,0,0,3,False,16,False
82,Claude Opus 4.8,391,1481,1160,350,420,7,4,7,0,False,10,True
82,Gemini 3.1 Pro Preview,156,1326,1170,0,0,6,0,0,0,False,19,False
82,Grok 4.3,485,1405,920,0,0,4,0,0,0,False,27,False
83,OpenAI GPT 5.5,628,4248,2120,1500,0,10,0,0,3,False,26,False
83,Claude Opus 4.8,391,1481,1160,350,420,7,4,7,0,False,10,True
83,Gemini 3.1 Pro Preview,156,1326,1170,0,0,6,0,0,0,False,19,False
83,Grok 4.3,507,1427,920,0,0,4,0,0,0,False,27,False
84,OpenAI GPT 5.5,628,4248,2120,1500,0,10,0,0,3,False,29,False
84,Claude Opus 4.8,391,1481,1160,350,420,7,4,7,0,False,10,True
84,Gemini 3.1 Pro Preview,156,1326,1170,0,0,6,0,0,0,False,19,False
84,Grok 4.3,507,1427,920,0,0,4,0,0,0,False,27,False
85,OpenAI GPT 5.5,628,4248,2120,1500,0,10,0,0,3,False,29,False
85,Claude Opus 4.8,91,1431,1160,600,420,7,4,12,0,False,18,False
85,Gemini 3.1 Pro Preview,156,1326,1170,0,0,6,0,0,0,False,19,False
85,Grok 4.3,507,1427,920,0,0,4,0,0,0,False,27,False
86,OpenAI GPT 5.5,628,4248,2120,1500,0,10,0,0,3,False,29,False
86,Claude Opus 4.8,91,1431,1160,600,420,7,4,12,0,False,18,False
