turn_index,total_events,AUCTION_BID_PLACED,AUCTION_ENDED,AUCTION_PLAYER_DROPPED,AUCTION_STARTED,CARD_DRAWN,CASH_CHANGED,DICE_ROLLED,GAME_STARTED,HOTEL_BUILT,HOTEL_SOLD,HOUSE_BUILT,HOUSE_SOLD,LLM_DECISION_REQUESTED,LLM_DECISION_RESPONSE,LLM_PRIVATE_THOUGHT,LLM_PUBLIC_MESSAGE,PLAYER_MOVED,PROPERTY_MORTGAGED,PROPERTY_PURCHASED,PROPERTY_TRANSFERRED,PROPERTY_UNMORTGAGED,RENT_PAID,SENT_TO_JAIL,TRADE_ACCEPTED,TRADE_COUNTERED,TRADE_PROPOSED,TRADE_REJECTED,TURN_ENDED,TURN_STARTED
111,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1
112,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
113,23,0,0,0,0,0,5,1,0,0,0,0,0,2,2,2,2,1,2,4,0,0,0,0,0,0,0,0,1,1
114,18,0,0,0,0,0,3,1,0,0,1,0,1,2,2,2,2,1,0,0,0,0,1,0,0,0,0,0,1,1
115,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
116,51,0,0,0,0,0,2,1,0,0,2,0,0,9,9,9,9,1,0,0,0,1,0,0,0,0,3,3,1,1
117,14,0,0,0,0,1,1,1,0,0,0,0,0,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,1
118,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
119,44,0,0,0,0,0,1,1,0,0,0,0,0,8,8,8,8,1,1,0,0,0,0,0,0,0,3,3,1,1
120,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
121,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
122,19,0,0,0,0,0,1,1,0,0,0,0,0,3,3,3,3,1,0,0,0,0,0,0,0,0,1,1,1,1
123,38,0,0,0,0,0,0,1,0,0,0,0,0,7,7,7,7,1,0,0,0,0,0,0,0,0,3,3,1,1
124,29,0,0,0,0,0,1,1,0,0,0,0,0,5,5,5,5,1,0,0,0,0,0,0,0,0,2,2,1,1
125,9,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
126,15,0,0,0,0,0,3,1,0,0,0,0,0,1,1,1,1,1,0,4,0,0,0,0,0,0,0,0,1,1
127,9,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
128,11,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1
129,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
130,22,0,0,0,0,0,2,1,0,3,0,0,0,3,3,3,3,1,0,0,0,1,0,0,0,0,0,0,1,1
131,11,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
132,20,0,0,0,0,0,2,1,0,0,0,1,0,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,1,1
133,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
134,10,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1
135,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
136,15,0,0,0,0,0,2,1,0,0,0,1,0,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,1
137,19,0,0,0,0,0,3,1,0,3,0,0,0,2,2,2,2,1,0,0,0,0,1,0,0,0,0,0,1,1
138,23,0,0,0,0,0,4,1,0,0,0,2,0,3,3,3,3,1,0,0,0,0,1,0,0,0,0,0,1,1
139,9,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
140,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
141,10,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
142,28,0,0,0,0,0,0,1,0,0,0,0,0,5,5,5,5,1,0,0,0,0,0,0,0,0,2,2,1,1
143,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
144,18,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,3,1,0,0,0,0,0,0,0,0,1,1,1,1
145,11,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1
146,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
147,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
148,7,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
149,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
150,7,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
151,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
152,24,0,0,0,0,0,2,2,0,1,0,0,0,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,1,1
153,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
154,12,0,0,0,0,1,3,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
155,10,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1
156,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
157,28,0,0,0,0,0,0,1,0,0,0,0,0,5,5,5,5,1,0,0,0,0,0,0,0,0,2,2,1,1
158,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
159,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1
160,20,0,0,0,0,1,1,1,0,0,0,0,0,3,3,3,3,1,0,0,0,0,0,0,0,0,1,1,1,1
161,7,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
162,9,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
163,22,0,0,0,0,0,3,1,0,0,6,0,0,2,2,2,2,1,0,0,0,0,1,0,0,0,0,0,1,1
164,12,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,1
165,18,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,3,1,0,0,0,0,0,0,0,0,1,1,1,1
166,8,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
167,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
