turn_index,calls,cost,input_tokens,output_tokens,reasoning_tokens,total_tokens,latency_ms
60,2,0.10607,14094,1424,261,15518,21878
61,1,0.011584,3740,342,250,4082,4647
62,8,0.141353,29961,3805,3038,33766,62345
63,1,0.03182,3238,521,435,3759,13171
65,1,0.012642,3711,435,345,4146,4565
67,2,0.009737,7093,1074,883,8167,11789
68,2,0.056775,6423,822,661,7245,17326
69,1,0.04488,6036,588,174,6624,14437
70,1,0.014226,3393,620,533,4013,7013
71,1,0.005323,3760,491,393,4251,7453
72,1,0.043265,3253,900,820,4153,22018
73,2,0.08612,12839,877,248,13716,14316
74,1,0.009038,3301,203,119,3504,2942
75,3,0.089522,13749,3319,1515,17068,48110
76,1,0.0534,3306,1229,1150,4535,24548
77,1,0.04055,6965,229,43,7194,4706
78,3,0.035552,10288,1248,979,11536,14607
79,1,0.00541,3710,739,638,4449,7655
80,10,0.30374,42644,7414,4661,50058,128962
81,19,0.633552,75766,13171,10342,88937,235345
82,1,0.04924,8098,350,75,8448,5815
83,1,0.01485,4461,494,408,4955,5500
84,1,0.006759,4455,718,600,5173,9753
85,1,0.006096,4391,485,404,4876,6430
86,10,0.307972,47136,7045,2868,54181,110392
87,1,0.05504,3412,1266,1170,4678,26307
88,1,0.04983,7561,481,160,8042,7780
89,4,0.064068,17010,2504,2062,19514,25739
90,1,0.005577,4014,627,523,4641,8616
91,1,0.07193,3418,1828,1744,5246,36689
92,1,0.055945,7509,736,231,8245,13023
93,2,0.030098,7621,1238,1057,8859,13838
94,5,0.029983,18056,4363,3908,22419,49792
95,1,0.031065,3381,472,408,3853,10321
96,1,0.044675,7615,264,54,7879,5360
97,2,0.03202,7622,1398,1207,9020,14817
98,2,0.009752,7580,971,815,8551,10681
99,3,0.11109,10332,1981,1689,12313,43956
100,1,0.057885,3375,1367,1287,4742,28037
101,1,0.053005,3377,1204,1125,4581,23808
102,1,0.044655,7666,253,34,7919,5179
103,2,0.025056,7650,813,637,8463,9745
104,1,0.005843,3784,499,416,4283,6523
105,2,0.119345,6787,2847,2628,9634,58811
106,1,0.043855,7576,239,35,7815,3926
107,1,0.012276,3948,365,289,4313,4434
108,1,0.005478,3768,361,284,4129,5661
109,1,0.005665,3894,561,470,4455,7764
110,1,0.02855,3358,392,308,3750,9389
111,1,0.04353,7476,246,52,7722,4526
112,1,0.043805,7446,263,29,7709,4772
113,6,0.152713,23974,4306,2402,28280,65476
114,1,0.004713,3484,385,290,3869,5461
115,3,0.202075,10529,4981,4646,15510,100812
116,7,0.434625,54035,6578,1084,60613,95584
117,1,0.053765,7538,643,90,8181,11017
118,1,0.011176,4022,261,198,4283,3449
119,5,0.20714,17719,5150,4540,22869,91488
121,1,0.016716,4482,646,570,5128,6872
123,1,0.05291,6362,844,80,7206,14562
124,1,0.015376,4382,551,468,4933,6633
125,1,0.022295,3319,190,106,3509,4753
126,1,0.038745,6359,278,44,6637,5278
127,1,0.013256,4204,404,333,4608,5271
128,1,0.01261,4169,356,293,4525,4577
129,3,0.090345,10143,1321,1017,11464,27118
130,3,0.131525,20085,1244,214,21329,22396
131,1,0.01988,4144,966,869,5110,8959
132,2,0.05829,6684,829,630,7513,26579
133,1,0.052635,7612,583,142,8195,10173
134,1,0.018812,4336,845,771,5181,8361
135,2,0.058775,6769,831,633,7600,17719
136,1,0.060655,7726,881,212,8607,14356
137,1,0.015826,4289,604,528,4893,6086
138,1,0.016368,4284,650,545,4934,6688
139,1,0.020408,4252,992,886,5244,9024
140,1,0.054775,3425,1255,1160,4680,25311
141,5,0.413803,18194,12216,11550,30410,232598
142,1,0.06386,7912,972,142,8884,16055
143,1,0.020416,4478,955,835,5433,9567
144,1,0.12602,3616,3598,3499,7214,71577
145,28,1.406044,130888,33043,28673,163931,692724
146,2,0.12926,18452,1480,298,19932,22772
147,3,0.049344,13596,1846,1528,15442,18942
148,7,0.314269,28634,7836,6929,36470,151488
149,2,0.11439,17113,1153,264,18266,17946
150,1,0.015592,4040,626,537,4666,6218
152,1,0.047995,7849,350,82,8199,10357
153,1,0.043685,7732,201,44,7933,4462
154,1,0.031935,3159,538,448,3697,12188
155,1,0.043215,7538,221,46,7759,4873
156,1,0.04826,7372,456,91,7828,8156
157,1,0.02023,3062,164,81,3226,3931
158,1,0.04518,7391,329,44,7720,5671
159,5,0.191465,19035,3272,2568,22307,69775
160,1,0.024885,3315,277,195,3592,6503
161,1,0.05316,7707,585,71,8292,13895
162,1,0.018775,3215,90,15,3305,2494
