turn_index,calls,cost,input_tokens,output_tokens,reasoning_tokens,total_tokens,latency_ms
120,2,0.009897,7474,652,499,8126,14151
121,3,0.021091,10650,3411,3140,14061,32394
122,1,0.015303,4733,2114,931,6847,22558
123,2,0.054642,8936,4582,4250,13518,23393
124,1,0.005077,3796,536,465,4332,9901
125,1,0.003548,3441,215,150,3656,3722
126,1,0.014877,4712,2033,903,6745,19582
127,1,0.030398,4365,2650,2490,7015,23320
128,2,0.007377,7536,1145,991,8681,20337
129,1,0.004257,3620,296,220,3916,6939
130,3,0.013363,9693,1354,1137,11047,21401
131,9,0.093666,34576,9810,6808,44386,109548
132,2,0.04334,9201,3282,2917,12483,18374
133,1,0.005832,3770,663,585,4433,10338
134,6,0.051963,21779,8540,7898,30319,90258
135,1,0.029836,4786,5010,2355,9796,50890
136,1,0.030396,4670,2599,2444,7269,12422
137,1,0.020679,4462,1554,1451,6016,8471
138,4,0.026852,16409,3235,2701,19644,54452
139,1,0.00773,3701,1101,1023,4802,9167
140,1,0.011602,4867,1347,629,6214,14019
141,1,0.01886,4677,1316,1196,5993,15405
142,1,0.005886,4043,548,481,4591,11284
143,1,0.00891,3396,1414,1328,4810,16158
144,1,0.011336,4441,1379,678,5820,14675
146,3,0.020335,11917,3143,2827,15060,58380
147,1,0.01503,4475,2111,943,6586,23026
148,1,0.010268,3611,539,423,4150,3484
149,2,0.010624,7374,1154,978,8528,24405
150,4,0.07679,18580,11642,4594,30222,117958
151,1,0.009088,3773,381,266,4154,3006
152,4,0.026651,17124,3335,2891,20459,58604
153,2,0.026899,8834,3613,1288,12447,36767
154,16,0.200353,65822,12992,10676,78814,96296
155,1,0.008197,4887,889,796,5776,12349
156,1,0.016903,4321,1158,1027,5479,6663
